[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
0,12.15805,0,7.746428,0,5.838542,0,6.076006,0,11.25
0.16,12.3477,0.16,7.723214,0.16,6.026042,0.16,6.093144,0.16,11.3005
0.319,12.29885,0.319,7.628572,0.319,5.84375,0.319,6.078241,0.319,11.34848
0.479,12.36494,0.479,7.739286,0.479,5.773438,0.479,6.078241,0.479,11.20202
0.639,12.41667,0.639,7.748214,0.639,5.817708,0.639,6.073025,0.639,11.41162
0.799,12.35057,0.799,7.576786,0.799,5.822917,0.799,6.099106,0.799,11.2197
0.958,12.24425,0.958,7.7625,0.958,5.820312,0.958,6.062593,0.958,11.46212
1.118,12.30747,1.118,7.8125,1.118,5.734375,1.118,5.963487,1.118,11.34596
1.278,12.26149,1.278,7.764286,1.278,5.854167,1.278,6.061103,1.278,11.23232
1.438,12.05172,1.438,7.732143,1.438,5.828125,1.438,6,1.438,11.31313
1.597,12.25575,1.597,7.691072,1.597,5.950521,1.597,6.036513,1.597,11.18182
1.757,12.3908,1.757,7.608929,1.757,5.898438,1.757,6.02459,1.757,11.14646
1.917,12.25287,1.917,7.732143,1.917,5.861979,1.917,5.997019,1.917,11.20202
2.077,12.33621,2.077,7.607143,2.077,5.833333,2.077,5.999255,2.077,11.2096
2.236,12.24425,2.236,7.692857,2.236,5.830729,2.236,6.054397,2.236,11.16162
2.396,12.37069,2.396,7.666071,2.396,5.885417,2.396,6.054397,2.396,11.04545
2.556,12.3046,2.556,7.826786,2.556,5.768229,2.556,6.015648,2.556,11.39394
2.716,12.32184,2.716,7.5875,2.716,5.877604,2.716,6.081222,2.716,11.22727
2.875,12.52874,2.875,7.803571,2.875,5.773438,2.875,5.988822,2.875,11.12121
3.035,12.22414,3.035,7.735714,3.035,5.820312,3.035,6.060358,3.035,11.26263
3.195,12.24138,3.195,7.633929,3.195,5.841146,3.195,5.964978,3.195,11.19192
3.355,12.27011,3.355,7.705357,3.355,5.84375,3.355,6.015648,3.355,11.10606
3.514,12.27874,3.514,7.767857,3.514,5.695312,3.514,5.969449,3.514,11.32071
3.674,12.2931,3.674,7.7,3.674,5.841146,3.674,6.017884,3.674,11.21465
3.834,12.31897,3.834,7.657143,3.834,5.820312,3.834,6.040984,3.834,11.10354
