[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
0,20.7701,0,36.27143,0,22.80924,0,10.75253
0.16,21.3764,0.16,36.60357,0.16,23.02682,0.16,10.91414
0.319,21.9138,0.319,36.87143,0.319,23.538,0.319,11.2702
0.479,22.7902,0.479,37.27857,0.479,24.11848,0.479,11.49747
0.639,23.3563,0.639,37.83929,0.639,24.48435,0.639,11.91919
0.799,24.092,0.799,38.1375,0.799,25.01937,0.799,12.13889
0.958,24.2989,0.958,38.19464,0.958,25.48659,0.958,12.35606
1.118,24.6293,1.118,38.57322,1.118,25.79881,1.118,12.36364
1.278,25.0977,1.278,38.925,1.278,26.17511,1.278,12.54545
1.438,25.069,1.438,38.82322,1.438,26.38972,1.438,12.58838
1.597,25.3103,1.597,38.93929,1.597,26.45827,1.597,12.69192
1.757,25.3477,1.757,38.97679,1.757,26.66319,1.757,12.81061
1.917,25.3879,1.917,39.29643,1.917,26.71609,1.917,12.83586
2.077,26.0316,2.077,39.20179,2.077,26.85768,2.077,13.00253
2.236,25.7098,2.236,39.14464,2.236,27.00745,2.236,12.9798
2.396,25.7011,2.396,39.08393,2.396,27.04545,2.396,12.92929
2.556,25.7328,2.556,39.17678,2.556,27.11401,2.556,12.82323
2.716,26.2069,2.716,39.34643,2.716,27.07824,2.716,12.90152
2.875,25.6466,2.875,39.2375,2.875,27.20864,2.875,12.84343
3.035,25.8046,3.035,38.96429,3.035,27.231,3.035,12.82828
3.195,25.8649,3.195,38.75893,3.195,27.3003,3.195,12.90657
3.355,25.9511,3.355,38.68571,3.355,27.24963,3.355,13.07576
3.514,25.9943,3.514,38.94822,3.514,27.30998,3.514,12.89899
3.674,25.9684,3.674,38.91786,3.674,27.34724,3.674,12.73485
3.834,25.9569,3.834,38.93929,3.834,27.37109,3.834,12.84848
3.994,25.9828,3.994,39.21429,3.994,27.31967,3.994,12.75505
4.153,25.8563,4.153,39.02143,4.153,27.32861,4.153,13.04798
4.313,26.0029,4.313,39.12679,4.313,27.30551,4.313,12.75253
4.473,25.8822,4.473,39.00714,4.473,27.47094,4.473,12.91667
4.633,25.9828,4.633,38.98571,4.633,27.33308,4.633,12.8005
4.792,25.7011,4.792,39.26786,4.792,27.25112,4.792,12.99495
4.952,26.2414,4.952,38.74107,4.952,27.31967,4.952,13.12374
5.112,25.9971,5.112,39.025,5.112,27.32563,5.112,12.83081
5.272,25.9684,5.272,38.90179,5.272,27.31073,5.272,12.94192
5.431,25.9799,5.431,38.99464,5.431,27.41282,5.431,13.0202
5.591,26.1379,5.591,39.1125,5.591,27.32563,5.591,12.93687
5.751,26.092,5.751,38.69464,5.751,27.32489,5.751,13.12626
5.911,26.0029,5.911,38.59821,5.911,27.46125,5.911,13.01263
6.07,25.9684,6.07,38.6,6.07,27.53055,6.07,12.82323
6.23,26.1868,6.23,38.23928,6.23,27.33979,6.23,12.86616
6.39,26.1121,6.39,38.41786,6.39,27.3532,6.39,12.91667
6.55,25.908,6.55,38.42143,6.55,27.46349,6.55,12.83838
6.709,25.9914,6.709,38.35536,6.709,27.36885,6.709,13.08081
6.869,26.4885,6.869,38.24286,6.869,27.33458,6.869,12.80556
