X,Y,X,Y,X,Y,X,Y,X,Y
0,17933.445,0,7373.155,0,6665.853,0,5318.146,0,4896.128
0.946,18081.215,0.946,7171.022,0.946,6631.497,0.946,5180.154,0.946,4872.171
1.891,17882.035,1.891,7210.956,1.891,6651.875,1.891,5179.931,1.891,4893.503
2.837,17902.008,2.837,7291.293,2.837,6618.205,2.837,5187.278,2.837,4838.047
3.782,17644.232,3.782,7429.137,3.782,6627.092,3.782,5246.679,3.782,4898.293
4.728,17689.236,4.728,7433.502,4.728,6597.498,4.728,5229.977,4.728,4886.487
5.673,17862.07,5.673,7243.714,5.673,6563.727,5.673,5111.972,5.673,4868.498
6.619,17540.105,6.619,7443.398,6.619,6594.502,6.619,5180.596,6.619,4868.838
7.564,17551.469,7.564,7173.967,7.564,6537.664,7.564,5170.763,7.564,4845.855
8.51,17386.061,8.51,7137.016,8.51,6512.705,8.51,5174.193,8.51,4848.342
9.456,17307.752,9.456,7404.742,9.456,6511.638,9.456,5220.304,9.456,4820.663
10.401,17442.201,10.401,7237.157,10.401,6480.02,10.401,5226.628,10.401,4838.719
11.347,17289.223,11.347,7168.328,11.347,6453.873,11.347,5179.574,11.347,4847.957
12.292,17174.262,12.292,7419.238,12.292,6504.233,12.292,5126.228,12.292,4827.148
13.238,17314.926,13.238,7078.155,13.238,6478.534,13.238,5174.723,13.238,4796.548
14.183,17095.205,14.183,7225.308,14.183,6464.64,14.183,5246.068,14.183,4810.867
15.129,16950.562,15.129,7185.196,15.129,6467.223,15.129,5169.109,15.129,4809.32
16.075,16806.09,16.075,7152.842,16.075,6443.941,16.075,5152.147,16.075,4806.618
17.02,17156.633,17.02,7184.545,17.02,6428.598,17.02,5180.859,17.02,4823.501
17.966,16868.143,17.966,7305.375,17.966,6396.968,17.966,5176.547,17.966,4825.827
18.911,16802.137,18.911,7307.254,18.911,6373.035,18.911,5156.228,18.911,4830.482
19.857,16702.203,19.857,7188.827,19.857,6398.467,19.857,5229.944,19.857,4793.94
20.802,16588.398,20.802,7402.758,20.802,6364.038,20.802,5158.081,20.802,4810.736
21.748,16679.424,21.748,7337.825,21.748,6317.444,21.748,5207.89,21.748,4784.819
22.693,16547.924,22.693,7261.664,22.693,6344.654,22.693,5219.853,22.693,4779.777
23.639,16473.918,23.639,7224.866,23.639,6314.953,23.639,5176.252,23.639,4767.312
24.585,16443.92,24.585,7230.97,24.585,6310.332,24.585,5127.639,24.585,4811.366
25.53,16361.865,25.53,7324.64,25.53,6301.195,25.53,5095.411,25.53,4797.191
26.476,16557.102,26.476,7149.346,26.476,6272.257,26.476,5151.197,26.476,4824.303
27.421,16451.207,27.421,7166.273,27.421,6296.147,27.421,5150.535,27.421,4760.036
28.367,16308.394,28.367,7053.02,28.367,6260.821,28.367,5202.469,28.367,4803.46
29.312,16120.127,29.312,7388.243,29.312,6254.991,29.312,5119.791,29.312,4762.556
30.258,16220.376,30.258,7183.756,30.258,6221.778,30.258,5142.235,30.258,4806.049
31.204,16093.19,31.204,7187.208,31.204,6236.272,31.204,5180.65,31.204,4782.989
32.149,16022.615,32.149,7213.587,32.149,6205.586,32.149,5160.98,32.149,4770.17
33.095,16237.661,33.095,7104.081,33.095,6194.642,33.095,5132.502,33.095,4802.225
34.04,15899.778,34.04,7071.135,34.04,6223.374,34.04,5162.199,34.04,4778.007
34.986,15938.59,34.986,7393.68,34.986,6181.532,34.986,5083.209,34.986,4747.491
35.931,16011.732,35.931,7419.63,35.931,6196.687,35.931,5121.694,35.931,4801.418
36.877,15757.427,36.877,7326.43,36.877,6157.023,36.877,5138.352,36.877,4761.346
37.822,15857.593,37.822,7252.728,37.822,6166.586,37.822,5119.638,37.822,4779.797
38.768,15668.602,38.768,7371.57,38.768,6165.538,38.768,5152.161,38.768,4743.22
39.714,15809.902,39.714,7253.16,39.714,6150.581,39.714,5099.191,39.714,4717.435
40.659,15788.717,40.659,7146.127,40.659,6137.915,40.659,5070.434,40.659,4724.846
41.605,15539.633,41.605,7207.682,41.605,6125.092,41.605,5101.424,41.605,4738.977
42.55,15558.568,42.55,7203.708,42.55,6131.768,42.55,5186.601,42.55,4744.004
43.496,15567.402,43.496,7238.976,43.496,6111.675,43.496,5108.102,43.496,4744.554
44.441,15569.702,44.441,7260.649,44.441,6116.646,44.441,5126.198,44.441,4725.926
45.387,15583.68,45.387,7075.971,45.387,6090.47,45.387,5178.146,45.387,4752.4
46.333,15362.365,46.333,7317.31,46.333,6089.69,46.333,5151.825,46.333,4712.121
47.278,15316.646,47.278,7310.187,47.278,6077.514,47.278,5143.608,47.278,4750.861
48.224,15310.354,48.224,7187.947,48.224,6057.164,48.224,5108.271,48.224,4704.567
49.169,15416.129,49.169,7190.521,49.169,6053.902,49.169,5095.639,49.169,4720.605
50.115,15334.69,50.115,7203.949,50.115,6055.606,50.115,5123.336,50.115,4732.31
51.06,15391.946,51.06,6959.75,51.06,6063.983,51.06,5078.4,51.06,4715.31
52.006,15223.295,52.006,7121.512,52.006,6017.875,52.006,5145.364,52.006,4734.717
52.951,15073.685,52.951,7155.099,52.951,6028.018,52.951,5170.907,52.951,4731.585
53.897,15097.961,53.897,7229.866,53.897,6010.715,53.897,5091.285,53.897,4743.214
54.843,15256.918,54.843,7154.368,54.843,6006.754,54.843,5093.336,54.843,4709.657
55.788,15165.354,55.788,7138.164,55.788,5990.201,55.788,5092.88,55.788,4747.401
56.734,15138.554,56.734,7108.063,56.734,5990.833,56.734,5071.609,56.734,4678.326
57.679,15183.869,57.679,7159.843,57.679,5971.246,57.679,5103.529,57.679,4720.01
58.625,14868.691,58.625,7086.453,58.625,5975.974,58.625,5082.441,58.625,4689.073
59.57,14833.022,59.57,7080.449,59.57,5976.058,59.57,5118.016,59.57,4708.913
60.516,14846.012,60.516,7102.895,60.516,5945.201,60.516,5117.384,60.516,4707.661
61.462,14690.811,61.462,7413.838,61.462,5946.52,61.462,5116.176,61.462,4707.296
62.407,14940.615,62.407,7035.687,62.407,5929.204,62.407,5151.122,62.407,4696.465
63.353,14700.023,63.353,7104.675,63.353,5936.591,63.353,5173.783,63.353,4714.055
64.298,14644.15,64.298,7218.048,64.298,5921.221,64.298,5112.102,64.298,4694.897
65.244,14846.764,65.244,7130.87,65.244,5946.302,65.244,5084.744,65.244,4688.008
66.189,14672.847,66.189,7171.381,66.189,5907.923,66.189,5092.572,66.189,4693.978
67.135,14701.336,67.135,7191.605,67.135,5884.134,67.135,5082.944,67.135,4672.786
68.08,14547.909,68.08,7200.782,68.08,5901.73,68.08,5145.997,68.08,4687.346
69.026,14675.158,69.026,7140.706,69.026,5884.473,69.026,5070.648,69.026,4720.246
69.972,14663.336,69.972,7153.048,69.972,5883.293,69.972,5146.1,69.972,4684.716
70.917,14546.562,70.917,7166.537,70.917,5882.845,70.917,5053.644,70.917,4705.041
71.863,14428.463,71.863,7106.784,71.863,5876.111,71.863,5128.305,71.863,4671.856
72.808,14566.79,72.808,6966.943,72.808,5849.704,72.808,5095.13,72.808,4701.214
73.754,14493.426,73.754,7067.752,73.754,5839.843,73.754,5125.112,73.754,4686.771
74.699,14406.319,74.699,7164.136,74.699,5851.471,74.699,5137.209,74.699,4700.478
75.645,14271.251,75.645,7100.389,75.645,5854.143,75.645,5137.232,75.645,4717.395
76.59,14346.092,76.59,7301.808,76.59,5874.662,76.59,5150.545,76.59,4685.85
77.536,14308.48,77.536,7150.018,77.536,5831.602,77.536,5116.284,77.536,4717.105
78.482,14381.912,78.482,7300.567,78.482,5868.721,78.482,5075.786,78.482,4734.273
79.427,14458.337,79.427,7129.682,79.427,5815.36,79.427,5082.257,79.427,4695.271
80.373,14304.214,80.373,7077.156,80.373,5818.121,80.373,5095.767,80.373,4700.527
81.318,14202.154,81.318,7223.509,81.318,5832.491,81.318,5148.204,81.318,4723.526
82.264,14205.803,82.264,7066.782,82.264,5869.835,82.264,5101.639,82.264,4707.623
83.209,14129.493,83.209,7094.713,83.209,5841.043,83.209,5125.01,83.209,4681.739
84.155,14074.668,84.155,7226.141,84.155,5862.102,84.155,5135.451,84.155,4728.75
85.101,14179.294,85.101,7158.979,85.101,5865.267,85.101,5111.575,85.101,4721.087
86.046,14240.495,86.046,7257.312,86.046,5855.358,86.046,5087.195,86.046,4715.444
86.992,14196.262,86.992,7188.564,86.992,5845.929,86.992,5085.28,86.992,4715.87
87.937,14164.514,87.937,7212.879,87.937,5818.713,87.937,5144.828,87.937,4698.671
88.883,13916.443,88.883,7064.564,88.883,5856.255,88.883,5187.762,88.883,4695.737
89.828,14141.771,89.828,7214.173,89.828,5805.394,89.828,5169.356,89.828,4704.016
90.774,13882.057,90.774,7089.251,90.774,5829.645,90.774,5138.027,90.774,4718.617
91.719,14054.986,91.719,7107.812,91.719,5811.082,91.719,5051.076,91.719,4680.803
92.665,13823.751,92.665,7022.321,92.665,5817.391,92.665,5071.412,92.665,4691.308
93.611,13970.454,93.611,7203.955,93.611,5803.263,93.611,5102.153,93.611,4682.686
94.556,13936.742,94.556,7156.8,94.556,5818.886,94.556,5124.742,94.556,4710.302
95.502,13739.225,95.502,7263.272,95.502,5805.757,95.502,5129.711,95.502,4724.642
96.447,13777.702,96.447,7116.538,96.447,5805.38,96.447,5071.52,96.447,4664.907
97.393,13952.824,97.393,7093.728,97.393,5794.258,97.393,5134.665,97.393,4680.385
98.338,13849.871,98.338,7213.067,98.338,5791.857,98.338,5093.729,98.338,4730.136
99.284,13908.003,99.284,7043.551,99.284,5812.008,99.284,5071.184,99.284,4718.396
100.23,13957.421,100.23,7085.356,100.23,5812.102,100.23,5094.906,100.23,4677.393
101.175,14534.437,101.175,7186.124,101.175,5801.403,101.175,5067.501,101.175,4716.917
102.121,14364.955,102.121,7023.063,102.121,5782.66,102.121,5171.047,102.121,4699.601
103.066,14335.749,103.066,7184.625,103.066,5783.577,103.066,5112.566,103.066,4683.339
104.012,14394.707,104.012,7122.894,104.012,5775.529,104.012,5123.248,104.012,4694.684
104.957,14553.219,104.957,7246.704,104.957,5768.54,104.957,5099.997,104.957,4708.654
105.903,14806.825,105.903,7179.731,105.903,5772.312,105.903,5109.967,105.903,4665.948
106.848,15669.091,106.848,7142.454,106.848,5772.092,106.848,5110.708,106.848,4703.799
107.794,16809.557,107.794,6902.612,107.794,5766.142,107.794,5181.546,107.794,4691.63
108.74,18500.219,108.74,7204.028,108.74,5738.149,108.74,5085.671,108.74,4706.291
109.685,21217.715,109.685,7100.993,109.685,5756.899,109.685,5115.59,109.685,4697.383
110.631,22329.691,110.631,7134.381,110.631,5734.393,110.631,5088.813,110.631,4661.552
111.576,21873.912,111.576,7299.999,111.576,5719.454,111.576,5211.813,111.576,4685.717
112.522,21762.561,112.522,7043.729,112.522,5756.777,112.522,5129.069,112.522,4686.37
113.467,21405.229,113.467,7149.689,113.467,5758.492,113.467,5036.59,113.467,4694.627
114.413,21357.111,114.413,7064.791,114.413,5736.918,114.413,5132.805,114.413,4663.692
115.359,21245.98,115.359,7035.325,115.359,5753.332,115.359,5070.955,115.359,4679.621
116.304,20940.83,116.304,7208.2,116.304,5712.3,116.304,5043.978,116.304,4677.427
117.25,20785.584,117.25,6987.967,117.25,5705.458,117.25,5090.641,117.25,4697.045
118.195,20685.182,118.195,7360.544,118.195,5742.872,118.195,5145.117,118.195,4717.247
119.141,20334.855,119.141,7279.308,119.141,5703.34,119.141,5110.279,119.141,4690.892
120.086,20250.539,120.086,7077.667,120.086,5657.42,120.086,5065.25,120.086,4687.295
121.032,20299.461,121.032,7274.128,121.032,5668.699,121.032,5066.468,121.032,4705.804
121.977,19906.555,121.977,7346.862,121.977,5717.066,121.977,5070.417,121.977,4680.282
122.923,19707.994,122.923,7191.029,122.923,5680.084,122.923,5113.897,122.923,4697.226
123.869,19692.223,123.869,7069.265,123.869,5698.406,123.869,5087.049,123.869,4657.433
124.814,19666.975,124.814,7026.865,124.814,5686.414,124.814,5136.228,124.814,4703.296
125.76,19674.875,125.76,7176.366,125.76,5701.826,125.76,5141.134,125.76,4710.001
126.705,19402.287,126.705,7081.064,126.705,5697.914,126.705,5164.479,126.705,4725.404
127.651,19177.539,127.651,7292.047,127.651,5674.901,127.651,5128.166,127.651,4680.909
128.596,19430.635,128.596,7165.125,128.596,5651.859,128.596,5078.927,128.596,4703.156
129.542,19030.221,129.542,7162.77,129.542,5660.536,129.542,5103.999,129.542,4686.553
130.488,18855.686,130.488,7235.936,130.488,5657.148,130.488,5116.123,130.488,4698.508
131.433,18825.043,131.433,7180.397,131.433,5665.471,131.433,5115.571,131.433,4725.582
132.379,18699.145,132.379,7230.474,132.379,5663.057,132.379,5071.365,132.379,4704.917
133.324,18778.52,133.324,7116.008,133.324,5699.311,133.324,5157.609,133.324,4691.153
134.27,18646.504,134.27,7142.647,134.27,5670.958,134.27,5057.193,134.27,4709.411
135.215,18480.621,135.215,7177.23,135.215,5651.867,135.215,5076.055,135.215,4654.337
136.161,18457.426,136.161,7218.167,136.161,5644.012,136.161,5019.016,136.161,4708.036
137.106,18553.248,137.106,7035.193,137.106,5643.826,137.106,5131.984,137.106,4721.22
138.052,18361.348,138.052,7103.804,138.052,5654.958,138.052,5142.387,138.052,4714.782
138.998,18164.209,138.998,7246.79,138.998,5610.167,138.998,5087.354,138.998,4716.352
139.943,18138.197,139.943,7144.223,139.943,5701.209,139.943,5109.321,139.943,4701.72
140.889,18171.723,140.889,7145.991,140.889,5716.986,140.889,5051.524,140.889,4742.924
141.834,17885.295,141.834,7122.999,141.834,5710.513,141.834,5141.821,141.834,4712.8
142.78,17757.799,142.78,7201.183,142.78,5722.907,142.78,5114.735,142.78,4691.515
143.725,17443.041,143.725,7352.74,143.725,5720.542,143.725,5128.055,143.725,4690.715
144.671,17760.52,144.671,7287.196,144.671,5731.213,144.671,5093.997,144.671,4675.143
145.616,17726.99,145.616,7187.979,145.616,5714.822,145.616,5091.383,145.616,4720.431
146.562,17543.627,146.562,7096.805,146.562,5702.914,146.562,5085.12,146.562,4723.427
147.508,17591.211,147.508,7248.858,147.508,5711.306,147.508,5082.081,147.508,4697.343
148.453,17399.074,148.453,7116.128,148.453,5702.406,148.453,5103.226,148.453,4689.19
149.399,17489.498,149.399,7278.218,149.399,5693.727,149.399,5039.591,149.399,4668.331
150.344,17477.213,150.344,7162.785,150.344,5670.92,150.344,5006.257,150.344,4689.189
151.29,17231.619,151.29,7065.838,151.29,5708.823,151.29,5100.853,151.29,4695.504
152.235,17082.217,152.235,7237.017,152.235,5697.439,152.235,5026.9,152.235,4682.098
153.181,17094.113,153.181,7251.64,153.181,5674.002,153.181,5130.608,153.181,4680.346
154.127,16920.705,154.127,7178.328,154.127,5682.584,154.127,5103.027,154.127,4704.514
155.072,16872.336,155.072,7291.574,155.072,5639.082,155.072,5068.268,155.072,4696.961
156.018,16883.133,156.018,7097.183,156.018,5646.139,156.018,5109.817,156.018,4661.378
156.963,16663.271,156.963,7166.014,156.963,5645.28,156.963,5134.087,156.963,4679.803
157.909,16660.484,157.909,7078.627,157.909,5651.444,157.909,5166.438,157.909,4691.266
