X,Y
0.000,3787.301
0.946,3768.193
1.891,3684.592
2.837,3669.126
3.782,3762.633
4.728,3754.912
5.673,3738.828
6.619,3648.977
7.564,3722.759
8.510,3762.901
9.456,3613.831
10.401,3837.986
11.347,3703.856
12.292,3727.731
13.238,3737.677
14.183,3746.754
15.129,3768.695
16.075,3686.381
17.020,3745.097
17.966,3665.306
18.911,3686.123
19.857,3729.141
20.802,3676.213
21.748,3718.760
22.693,3631.879
23.639,3719.942
24.585,3610.980
25.530,3656.408
26.476,3724.668
27.421,3755.373
28.367,3697.888
29.312,3792.701
30.258,3695.752
31.204,3751.018
32.149,3700.924
33.095,3709.488
34.040,3670.994
34.986,3689.086
35.931,3707.901
36.877,3608.681
37.822,3722.732
38.768,3661.439
39.714,3646.962
40.659,3669.006
41.605,3730.097
42.550,3735.707
43.496,3685.780
44.441,3691.490
45.387,3670.341
46.333,3729.750
47.278,3659.129
48.224,3675.630
49.169,3664.812
50.115,3637.325
51.060,3742.380
52.006,3705.326
52.951,3719.714
53.897,3732.790
54.843,3681.175
55.788,3810.904
56.734,3748.896
57.679,3799.583
58.625,3890.641
59.570,3821.545
60.516,3807.170
61.462,3739.670
62.407,3689.826
63.353,3778.504
64.298,3781.542
65.244,3785.181
66.189,3780.974
67.135,3729.156
68.080,3822.664
69.026,3770.119
69.972,3783.496
70.917,3828.959
71.863,3892.691
72.808,3760.980
73.754,3819.568
74.699,3720.313
75.645,3769.131
76.590,3902.217
77.536,3916.190
78.482,3877.691
79.427,3842.927
80.373,3756.605
81.318,3686.957
82.264,3692.755
83.209,3817.567
84.155,3791.424
85.101,3748.317
86.046,3782.832
86.992,3722.666
87.937,3746.879
88.883,3777.727
89.828,3804.952
90.774,3885.179
91.719,3838.140
92.665,3779.828
93.611,3791.971
94.556,3760.125
95.502,3827.379
96.447,3700.512
97.393,3778.584
98.338,3889.787
99.284,3702.403
100.230,3847.876
101.175,3771.891
102.121,3787.757
103.066,3857.113
104.012,3604.299
104.957,3333.792
105.903,3426.208
106.848,3632.623
107.794,3694.568
108.740,4006.692
109.685,3619.874
110.631,3709.946
111.576,3741.449
112.522,3850.860
113.467,3829.302
114.413,3807.852
115.359,3809.841
116.304,3813.652
117.250,3741.241
118.195,3861.123
119.141,3859.856
120.086,3880.062
121.032,3809.207
121.977,3790.662
122.923,3862.088
123.869,3835.798
124.814,3834.098
125.760,3694.188
126.705,3697.265
127.651,3787.300
128.596,3906.220
129.542,3891.375
130.488,3649.984
131.433,3818.041
132.379,3786.555
133.324,3780.210
134.270,3761.150
135.215,3811.997
136.161,3800.804
137.106,3743.749
138.052,3764.875
138.998,3747.584
139.943,3762.806
140.889,3711.851
141.834,3814.174
142.780,3770.132
143.725,3850.406
144.671,3758.804
145.616,3798.762
146.562,3871.328
147.508,3765.374
148.453,3771.776
149.399,3765.962
150.344,3733.862
151.290,3793.412
152.235,3731.446
153.181,3756.361
154.127,3726.353
155.072,3790.492
156.018,3780.069
156.963,3761.453
157.909,3783.829
158.854,3774.824
159.800,3812.100
160.745,3772.408
161.691,3667.351
162.637,3773.105
163.582,3752.340
164.528,3742.331
165.473,3833.073
166.419,3800.815
167.364,3763.662
168.310,3847.655
169.256,3844.284
170.201,3943.672
171.147,3837.335
172.092,3948.726
173.038,3933.414
173.983,3889.914
174.929,3984.688
175.874,3943.019
176.820,3858.799
177.766,3939.806
178.711,3776.312
179.657,3892.348
180.602,3922.044
181.548,3823.899
182.493,3810.793
183.439,3808.633
184.385,3821.946
185.330,3807.203
186.276,3832.108
187.221,3795.384
188.167,3873.154
189.112,3740.049
190.058,3811.702
191.003,3847.737
191.949,3796.185
192.895,3692.165
193.840,3782.520
194.786,3672.134
195.731,3687.585
196.677,3780.754
197.622,3825.202
198.568,3752.398
199.513,3826.308
200.459,3678.950
201.405,3769.576
202.350,3908.254
203.296,3789.129
204.241,3878.432
205.187,3943.745
206.132,3950.972
207.078,3919.744
208.024,3897.055
208.969,3947.670
209.915,3968.600
210.860,3919.214
211.806,3883.494
212.751,3931.782
213.697,3855.912
214.642,3856.423
215.588,3923.843
216.534,3907.771
217.479,3803.425
218.425,3956.753
219.370,3881.135
220.316,3935.276
221.261,3953.712
222.207,3868.680
223.153,3860.928
224.098,3944.079
225.044,3822.628
225.989,3886.676
226.935,3921.285
227.880,3757.898
228.826,3918.185
229.771,3967.128
230.717,3944.677
231.663,3858.604
232.608,3877.824
233.554,3886.011
234.499,3903.267
235.445,3873.205
236.390,3932.413
237.336,3931.584
238.282,3927.222
239.227,3919.839
240.173,3835.191
241.118,3912.278
242.064,3841.210
243.009,3905.743
243.955,4005.302
244.900,3980.645
245.846,3941.025
246.792,4027.094
247.737,3922.878
248.683,3907.794
249.628,3858.156
250.574,3990.695
251.519,3970.534
252.465,4025.201
253.411,3979.828
254.356,4003.882
255.302,3989.150
256.247,3903.855
257.193,3919.156
258.138,3969.435
259.084,3819.763
260.029,3992.846
260.975,3945.393
261.921,3946.301
262.866,3868.032
263.812,3824.241
264.757,3985.224
265.703,3896.984
266.648,3929.811
267.594,3970.705
268.539,3967.923
269.485,4029.508
270.431,3961.189
271.376,3883.224
272.322,3982.202
273.267,3929.330
274.213,3894.974
275.158,3916.738
276.104,4010.583
277.050,3911.933
277.995,3966.996
278.941,3880.306
279.886,3918.968
280.832,3984.898
281.777,3997.967
282.723,3869.156
283.668,3826.023
284.614,3859.457
285.560,3963.946
286.505,3853.282
287.451,3991.089
288.396,3997.438
289.342,4083.536
290.287,3955.325
291.233,4010.071
292.179,3929.560
293.124,3975.728
294.070,3991.734
295.015,3923.599
295.961,3983.250
296.906,3989.356
297.852,3917.692
298.797,3932.629
299.743,3815.122
300.689,3965.452
301.634,3938.453
302.580,3800.441
303.525,3789.250
304.471,3923.879
305.416,3980.438
306.362,3924.678
307.308,3914.674
308.253,3913.038
309.199,3986.848
310.144,4009.665
311.090,3990.377
312.035,3957.940
312.981,3976.532
313.926,3857.107
314.872,3951.256
315.818,3996.471
316.763,3992.688
317.709,3937.832
318.654,4001.300
319.600,4007.278
320.545,3982.440
321.491,3987.507
322.436,3930.135
323.382,3924.910
324.328,3893.981
325.273,3904.702
326.219,3984.580
327.164,3924.858
328.110,3854.079
329.055,3815.404
330.001,3827.347
330.947,3872.606
331.892,3917.892
332.838,3907.016
333.783,3845.320
334.729,3921.639
335.674,3948.477
336.620,4018.994
337.565,3964.933
338.511,3982.821
339.457,3892.582
340.402,3896.467
341.348,3816.988
342.293,3921.490
343.239,3782.985
344.184,3782.043
345.130,3765.159
346.076,3235.297
347.021,3793.840
347.967,3557.927
348.912,3694.886
349.858,3865.273
350.803,3823.710
351.749,3939.690
352.694,3859.793
353.640,3811.135
354.586,3990.207
355.531,3885.128
356.477,3848.397
357.422,3893.892
358.368,3909.680
359.313,3912.650
360.259,3877.653
361.205,3925.899
362.150,3889.422
363.096,3901.275
364.041,3871.044
364.987,3871.160
365.932,3819.679
366.878,3885.545
367.823,3891.694
368.769,3888.693
369.715,3836.545
370.660,3882.615
371.606,3875.980
372.551,3825.748
373.497,3931.464
374.442,3931.306
375.388,3929.267
376.334,3922.786
377.279,3981.426
378.225,3855.025
379.170,3910.712
380.116,3852.597
381.061,3951.583
382.007,3882.800
382.952,3897.966
383.898,3854.198
384.844,3766.867
385.789,3886.529
386.735,3843.135
387.680,3860.292
388.626,3827.103
389.571,3867.960
390.517,3843.428
391.462,3918.297
392.408,3886.556
393.354,3942.917
394.299,3875.218
395.245,3829.212
396.190,3953.233
397.136,3881.515
398.081,3857.824
399.027,3803.343
399.973,3876.021
400.918,3965.784
401.864,3954.434
402.809,3942.559
403.755,3858.822
404.700,3890.644
405.646,3891.503
406.591,3825.237
407.537,3825.872
408.483,3945.901
409.428,3868.865
410.374,3764.748
411.319,3811.777
412.265,3860.206
413.210,3837.021
414.156,3837.529
415.102,3906.743
416.047,3825.071
416.993,3845.783
417.938,3889.096
418.884,3866.147
419.829,3774.387
420.775,3927.549
421.720,3844.736
422.666,3978.285
423.612,3932.397
424.557,3923.586
425.503,3942.557
426.448,3864.804
427.394,3931.506
428.339,3861.439
429.285,3896.610
430.231,3875.339
431.176,3882.816
432.122,3900.697
433.067,3852.049
434.013,3918.546
434.958,3920.589
435.904,3910.672
436.849,3911.502
437.795,3938.441
438.741,3879.841
439.686,3857.154
440.632,3874.192
441.577,3848.954
442.523,3981.037
443.468,3993.167
444.414,3945.657
445.359,3996.130
446.305,3950.392
447.251,3961.610
448.196,3979.921
449.142,3946.146
450.087,3973.847
451.033,4044.323
451.978,3956.036
452.924,3992.645
453.870,3915.306
454.815,4010.882
455.761,3936.464
456.706,3928.488
457.652,3889.013
458.597,3912.706
459.543,3937.421
460.488,3997.531
461.434,4040.632
462.380,3877.940
463.325,3961.287
464.271,3949.289
465.216,3897.419
466.162,3985.259
467.107,3950.480
468.053,3997.497
468.999,3937.621
469.944,3911.323
470.890,3901.373
471.835,4008.620
472.781,3939.670
473.726,3915.607
474.672,3954.782
475.617,3977.873
476.563,3893.156
477.509,3932.766
478.454,3898.130
479.400,3998.204
480.345,3923.047
481.291,3866.129
482.236,3924.913
483.182,3956.491
484.128,3909.184
485.073,3914.840
486.019,3878.624
486.964,3932.673
487.910,3915.510
488.855,3931.678
489.801,3909.311
490.746,3936.385
491.692,3969.395
492.638,3967.021
493.583,4039.360
494.529,4082.572
495.474,4077.108
496.420,4053.431
497.365,4095.195
498.311,4087.551
499.257,4083.683
500.202,4078.677
501.148,4106.630
502.093,4029.093
503.039,4088.661
503.984,4149.107
504.930,4069.801
505.875,4022.361
506.821,3983.791
507.767,3826.007
508.712,3993.330
509.658,3998.245
510.603,3980.427
511.549,3999.712
512.494,3962.148
513.440,4038.333
514.385,4075.266
515.331,3189.622
516.277,5090.087
517.222,4928.007
518.168,4948.951
519.113,4858.505
520.059,4883.367
521.004,4745.632
521.950,4809.697
522.896,4759.777
523.841,4806.398
524.787,4664.305
525.732,4702.761
526.678,4629.992
527.623,4624.895
528.569,4647.461
529.514,4596.381
530.460,4566.810
531.406,4646.071
532.351,4500.842
533.297,4509.893
534.242,4587.323
535.188,4494.626
536.133,4484.650
537.079,4461.090
538.025,4471.773
538.970,4439.162
539.916,4383.777
540.861,4381.215
541.807,4420.582
542.752,4418.877
543.698,4399.293
544.643,4408.964
545.589,4327.822
546.535,4385.273
547.480,4347.337
