X,Y
0.000,7640.630
0.946,7624.251
1.891,7692.962
2.837,7887.500
3.782,7758.645
4.728,7692.833
5.673,7761.669
6.619,7772.794
7.565,7654.447
8.510,7798.770
9.456,7562.510
10.401,7453.773
11.347,7475.225
12.292,7690.334
13.238,7706.916
14.183,7609.244
15.129,7785.838
16.075,7679.801
17.020,7782.493
17.966,7695.016
18.911,7734.575
19.857,7662.203
20.802,7768.709
21.748,7663.531
22.694,7572.058
23.639,7615.259
24.585,7702.273
25.530,7623.959
26.476,7682.046
27.421,7567.893
28.367,7662.266
29.312,7611.881
30.258,7559.092
31.204,7613.392
32.149,7625.399
33.095,7590.053
34.040,7616.768
34.986,7745.224
35.931,7624.826
36.877,7664.008
37.823,8245.625
38.768,8433.924
39.714,9230.281
40.659,10361.769
41.605,11292.440
42.550,12026.117
43.496,12085.771
44.441,11926.191
45.387,11846.454
46.333,11699.183
47.278,11649.388
48.224,11424.856
49.169,11389.815
50.115,11301.275
51.060,11397.771
52.006,11012.036
52.952,11108.596
53.897,10984.225
54.843,10866.132
55.788,10797.572
56.734,10949.992
57.679,10682.997
58.625,10667.355
59.570,10608.202
60.516,10521.978
61.462,10468.325
62.407,10234.445
63.353,10277.255
64.298,10318.290
65.244,10229.384
66.189,10217.097
67.135,10146.433
68.081,10187.413
69.026,10065.661
69.972,10089.524
70.917,9889.369
71.863,9784.767
72.808,9852.802
73.754,9731.894
74.699,9663.405
75.645,9733.386
76.591,9729.100
77.536,9575.980
78.482,9539.651
79.427,9563.195
80.373,9429.261
81.318,9478.799
82.264,9374.335
83.210,9256.625
84.155,9341.297
85.101,9417.638
86.046,9283.918
86.992,9260.230
87.937,9229.854
88.883,9046.376
89.828,9154.438
90.774,9194.801
91.720,9035.515
92.665,9022.264
93.611,8990.194
94.556,9010.573
95.502,8945.942
96.447,8937.847
97.393,8911.382
98.339,8968.605
99.284,8806.595
100.230,8775.896
101.175,8814.490
102.121,8690.338
103.066,8600.585
104.012,8638.403
104.957,8701.586
105.903,8590.971
106.849,8620.201
107.794,8622.849
108.740,8566.933
109.685,8579.674
110.631,8551.163
111.576,8603.560
112.522,8583.240
113.468,8550.492
114.413,8429.630
115.359,8402.462
116.304,8488.614
117.250,8487.388
118.195,8397.438
119.141,8428.384
120.086,8368.700
121.032,8380.524
121.978,8273.151
122.923,8154.074
123.869,8347.246
124.814,8253.817
125.760,8182.449
126.705,8157.527
127.651,8173.975
128.597,8307.384
129.542,8195.667
130.488,8159.544
131.433,8090.091
132.379,8112.291
133.324,8153.124
134.270,8037.040
135.215,8061.462
136.161,7882.614
137.107,8039.791
138.052,8030.550
138.998,8077.141
139.943,8153.164
140.889,8090.579
141.834,8018.296
