X,Y
0.000,5318.146
0.946,5180.154
1.891,5179.931
2.837,5187.278
3.782,5246.679
4.728,5229.977
5.673,5111.972
6.619,5180.596
7.564,5170.763
8.510,5174.193
9.456,5220.304
10.401,5226.628
11.347,5179.574
12.292,5126.228
13.238,5174.723
14.183,5246.068
15.129,5169.109
16.075,5152.147
17.020,5180.859
17.966,5176.547
18.911,5156.228
19.857,5229.944
20.802,5158.081
21.748,5207.890
22.693,5219.853
23.639,5176.252
24.585,5127.639
25.530,5095.411
26.476,5151.197
27.421,5150.535
28.367,5202.469
29.312,5119.791
30.258,5142.235
31.204,5180.650
32.149,5160.980
33.095,5132.502
34.040,5162.199
34.986,5083.209
35.931,5121.694
36.877,5138.352
37.822,5119.638
38.768,5152.161
39.714,5099.191
40.659,5070.434
41.605,5101.424
42.550,5186.601
43.496,5108.102
44.441,5126.198
45.387,5178.146
46.333,5151.825
47.278,5143.608
48.224,5108.271
49.169,5095.639
50.115,5123.336
51.060,5078.400
52.006,5145.364
52.951,5170.907
53.897,5091.285
54.843,5093.336
55.788,5092.880
56.734,5071.609
57.679,5103.529
58.625,5082.441
59.570,5118.016
60.516,5117.384
61.462,5116.176
62.407,5151.122
63.353,5173.783
64.298,5112.102
65.244,5084.744
66.189,5092.572
67.135,5082.944
68.080,5145.997
69.026,5070.648
69.972,5146.100
70.917,5053.644
71.863,5128.305
72.808,5095.130
73.754,5125.112
74.699,5137.209
75.645,5137.232
76.590,5150.545
77.536,5116.284
78.482,5075.786
79.427,5082.257
80.373,5095.767
81.318,5148.204
82.264,5101.639
83.209,5125.010
84.155,5135.451
85.101,5111.575
86.046,5087.195
86.992,5085.280
87.937,5144.828
88.883,5187.762
89.828,5169.356
90.774,5138.027
91.719,5051.076
92.665,5071.412
93.611,5102.153
94.556,5124.742
95.502,5129.711
96.447,5071.520
97.393,5134.665
98.338,5093.729
99.284,5071.184
100.230,5094.906
101.175,5067.501
102.121,5171.047
103.066,5112.566
104.012,5123.248
104.957,5099.997
105.903,5109.967
106.848,5110.708
107.794,5181.546
108.740,5085.671
109.685,5115.590
110.631,5088.813
111.576,5211.813
112.522,5129.069
113.467,5036.590
114.413,5132.805
115.359,5070.955
116.304,5043.978
117.250,5090.641
118.195,5145.117
119.141,5110.279
120.086,5065.250
121.032,5066.468
121.977,5070.417
122.923,5113.897
123.869,5087.049
124.814,5136.228
125.760,5141.134
126.705,5164.479
127.651,5128.166
128.596,5078.927
129.542,5103.999
130.488,5116.123
131.433,5115.571
132.379,5071.365
133.324,5157.609
134.270,5057.193
135.215,5076.055
136.161,5019.016
137.106,5131.984
138.052,5142.387
138.998,5087.354
139.943,5109.321
140.889,5051.524
141.834,5141.821
142.780,5114.735
143.725,5128.055
144.671,5093.997
145.616,5091.383
146.562,5085.120
147.508,5082.081
148.453,5103.226
149.399,5039.591
150.344,5006.257
151.290,5100.853
152.235,5026.900
153.181,5130.608
154.127,5103.027
155.072,5068.268
156.018,5109.817
156.963,5134.087
157.909,5166.438
158.854,5109.549
159.800,5069.838
160.745,5145.514
161.691,5082.726
162.637,5177.899
163.582,5090.610
164.528,5084.657
165.473,5089.807
166.419,5101.465
167.364,5105.282
168.310,5115.097
169.256,5132.105
170.201,5142.315
171.147,5098.736
172.092,5126.912
173.038,5101.430
173.983,5126.380
174.929,5108.075
175.874,5090.942
176.820,5085.179
177.766,5098.685
178.711,5085.262
179.657,5093.863
180.602,5107.340
181.548,5086.937
182.493,5061.020
183.439,5074.554
184.385,5087.435
185.330,5083.186
186.276,5091.199
187.221,5095.497
188.167,5070.652
189.112,5104.029
190.058,5112.228
191.003,5058.722
191.949,5058.984
192.895,5025.056
193.840,5188.957
194.786,5059.934
195.731,5114.821
196.677,5107.597
197.622,5115.001
198.568,5086.078
199.513,5160.203
200.459,5077.196
201.405,5109.906
202.350,5033.544
203.296,5049.032
204.241,5084.750
205.187,5087.519
206.132,5086.614
207.078,5124.688
208.024,5133.124
208.969,5084.709
209.915,5099.744
210.860,5114.993
211.806,5090.215
212.751,5090.782
213.697,5073.265
214.642,5094.884
215.588,5035.294
216.534,5096.896
217.479,5078.993
218.425,5056.497
219.370,5097.029
220.316,5043.827
221.261,5143.949
222.207,5102.776
223.153,5025.303
224.098,5089.765
225.044,5095.920
225.989,5118.348
226.935,5039.562
227.880,5069.245
228.826,5125.881
229.771,5059.005
230.717,5108.421
231.663,5076.058
232.608,5044.691
233.554,5113.917
234.499,5129.542
235.445,5103.518
236.390,5138.663
237.336,5101.541
238.282,5005.676
239.227,5064.803
240.173,5042.384
241.118,5084.562
242.064,5056.742
243.009,5063.133
243.955,5089.165
244.900,5054.298
245.846,5118.506
246.792,5111.697
247.737,5040.584
248.683,5092.328
249.628,5054.303
250.574,5062.746
251.519,5026.098
252.465,5053.149
253.411,5047.382
254.356,5068.305
255.302,5105.670
256.247,5016.503
257.193,5081.553
258.138,5048.744
259.084,5023.896
260.029,5092.231
260.975,5045.678
261.921,5067.900
262.866,5072.312
263.812,5050.460
264.757,5016.628
265.703,5054.112
266.648,5043.911
267.594,5066.234
268.539,5147.768
269.485,5073.490
270.431,4989.665
271.376,5108.191
272.322,5092.042
273.267,5017.037
274.213,5094.806
275.158,5060.047
276.104,5145.448
277.050,5059.583
277.995,5089.942
278.941,4991.551
279.886,5117.228
280.832,5090.519
281.777,5125.777
282.723,5049.875
283.668,5074.610
284.614,5112.456
285.560,5092.888
286.505,5103.490
287.451,5119.229
288.396,5015.745
289.342,5047.007
290.287,5101.659
291.233,5065.062
292.179,5126.404
293.124,5031.632
294.070,5066.520
295.015,5099.017
295.961,5107.665
296.906,5060.046
297.852,5079.774
298.797,5067.475
299.743,5098.965
300.689,5058.667
301.634,5041.277
302.580,5103.017
303.525,5160.248
304.471,5064.007
305.416,5060.748
306.362,5084.242
307.308,5075.790
308.253,5015.860
309.199,5105.745
310.144,5081.530
311.090,5154.756
312.035,5064.333
312.981,5051.720
313.926,5108.987
314.872,5092.117
315.818,5083.374
316.763,5051.146
317.709,5068.253
318.654,5038.321
319.600,5038.762
320.545,4943.149
321.491,5016.781
322.436,5066.558
323.382,5093.881
324.328,5060.798
325.273,5042.639
326.219,5078.416
327.164,5030.967
328.110,5058.942
329.055,5081.675
330.001,5009.438
330.947,5022.620
331.892,5054.200
332.838,5070.298
333.783,5062.399
334.729,5042.182
335.674,5008.820
336.620,5017.271
337.565,5104.578
338.511,5084.521
339.457,5051.725
340.402,5059.205
341.348,5062.592
342.293,5067.436
343.239,5080.131
344.184,5086.961
345.130,5014.127
346.076,5100.488
347.021,4998.608
347.967,5131.202
348.912,5083.041
349.858,5064.979
350.803,5065.713
351.749,5054.063
352.694,5032.073
353.640,5112.250
354.586,5017.486
355.531,5083.735
356.477,5075.413
357.422,5111.366
358.368,5042.392
359.313,5069.185
360.259,5021.648
361.205,5038.511
362.150,5057.709
363.096,5089.447
364.041,5089.771
364.987,5112.009
365.932,5058.004
366.878,5060.227
367.823,5077.138
368.769,4986.466
369.715,5041.573
370.660,5145.402
371.606,5092.471
372.551,5027.487
373.497,5107.604
374.442,5099.223
375.388,5085.472
376.334,4995.873
377.279,5074.081
378.225,5034.056
379.170,5022.161
380.116,4989.821
381.061,5054.764
382.007,5097.515
382.952,5061.982
383.898,5084.970
384.844,5079.709
385.789,5042.887
386.735,5073.126
387.680,5092.735
388.626,5060.498
389.571,4983.059
390.517,5015.081
391.462,5025.991
392.408,5118.028
393.354,5113.505
394.299,4993.572
395.245,5023.444
396.190,5040.304
397.136,5013.896
398.081,4992.007
399.027,5078.160
399.973,5061.105
400.918,5036.055
401.864,5031.559
402.809,5046.458
403.755,4988.609
404.700,5018.230
405.646,5063.925
406.591,4978.731
407.537,4975.906
408.483,4981.124
409.428,5086.578
410.374,4989.361
411.319,5043.161
412.265,5056.843
413.210,5052.078
414.156,4919.005
415.102,5034.193
416.047,4982.871
416.993,5025.971
417.938,5092.969
418.884,4986.671
419.829,4965.336
420.775,5000.212
421.720,5027.310
422.666,5011.963
423.612,4971.645
424.557,5087.018
425.503,4980.429
426.448,5024.857
427.394,5014.782
428.339,5105.738
429.285,5031.818
430.231,5062.974
431.176,5016.432
432.122,5068.649
433.067,5115.634
434.013,5023.807
434.958,5093.478
435.904,5016.724
436.849,5028.818
437.795,5009.431
438.741,5037.594
439.686,4971.466
440.632,5019.530
441.577,5034.967
442.523,5025.995
443.468,4981.481
444.414,5013.149
445.359,5056.886
446.305,4993.442
447.251,5003.342
448.196,4960.049
449.142,5010.684
450.087,4972.967
451.033,4982.868
451.978,4984.664
452.924,5009.879
453.870,5034.235
454.815,5028.765
455.761,5052.592
456.706,4976.997
457.652,4982.891
458.597,4997.577
459.543,5038.777
460.488,5019.979
461.434,5006.964
462.380,4999.389
463.325,5010.056
464.271,4990.815
465.216,4985.695
466.162,5039.578
467.107,4973.347
468.053,5026.597
468.999,5086.631
469.944,5066.131
470.890,5044.456
471.835,5057.647
472.781,4949.975
473.726,4992.044
474.672,4985.871
475.617,5089.377
476.563,5055.244
477.509,5052.994
478.454,5011.008
479.400,4997.276
480.345,4971.655
481.291,5059.835
482.236,5058.867
483.182,5018.461
484.128,4985.673
485.073,5079.057
486.019,5046.651
486.964,5097.225
487.910,5027.733
488.855,5016.852
489.801,5060.874
490.746,5094.913
491.692,5075.029
492.638,5017.522
493.583,5009.623
494.529,5042.981
495.474,4990.295
496.420,5038.337
497.365,5049.410
498.311,4975.104
499.257,5012.199
500.202,5035.661
501.148,4994.992
502.093,4967.920
503.039,5008.301
503.984,5013.570
504.930,4996.327
505.875,5058.062
506.821,5071.019
507.767,5064.952
508.712,4961.230
509.658,5007.969
510.603,4937.936
511.549,5017.915
512.494,5048.390
513.440,5026.570
514.385,5032.954
515.331,5003.146
516.277,4977.738
517.222,5013.509
518.168,5013.073
519.113,4955.428
520.059,5034.275
521.004,4995.460
521.950,5053.574
522.896,4998.708
523.841,5023.675
524.787,5012.136
525.732,5018.558
526.678,5018.518
527.623,4996.204
528.569,4981.697
529.514,5005.064
530.460,5015.479
531.406,5060.796
532.351,5033.955
533.297,5058.673
534.242,4922.374
535.188,4978.416
536.133,5014.650
537.079,4937.981
538.025,5018.640
538.970,4989.976
539.916,4939.663
540.861,4989.933
541.807,4972.949
542.752,5016.060
543.698,5018.309
544.643,4976.139
545.589,4953.566
546.535,4987.066
547.480,4900.831
548.426,5030.079
549.371,5042.070
550.317,5003.857
551.262,5000.460
552.208,4992.831
553.154,4993.384
554.099,4963.873
555.045,4993.045
555.990,4987.809
556.936,4984.862
557.881,5086.408
558.827,4980.455
559.772,4994.152
560.718,4994.121
561.664,5007.127
562.609,4930.740
563.555,4995.786
564.500,5050.629
565.446,4956.926
566.391,4935.369
567.337,4981.955
568.283,4969.739
569.228,4960.832
570.174,4974.333
571.119,4958.607
572.065,4968.912
573.010,4971.503
573.956,4920.740
574.901,4983.495
575.847,4938.300
576.793,5010.611
577.738,5044.788
578.684,4991.465
579.629,5004.975
580.575,4954.086
581.520,4992.967
582.466,4991.843
583.411,4987.495
584.357,4968.422
585.303,4947.742
586.248,4988.009
587.194,4958.651
588.139,4938.251
589.085,4923.756
590.030,4997.899
590.976,4919.135
591.922,4996.124
592.867,4947.466
593.813,4978.203
594.758,4958.543
595.704,4942.418
596.649,4925.880
597.595,4942.986
598.540,5028.553
599.486,4983.858
600.432,4973.228
601.377,4992.947
602.323,4962.297
603.268,4900.954
604.214,4940.692
605.159,5029.243
606.105,4939.157
607.051,4937.530
607.996,5043.870
608.942,4901.097
609.887,4986.915
610.833,4910.555
611.778,4962.341
612.724,4890.468
613.669,4946.046
614.615,4976.584
615.561,4883.533
616.506,4943.833
617.452,4898.448
618.397,5005.734
619.343,4929.688
620.288,4980.890
621.234,4866.309
622.180,4912.661
623.125,4962.145
624.071,4916.685
625.016,4929.498
625.962,4940.846
626.907,4888.571
627.853,4945.218
628.798,4970.924
629.744,4985.356
630.690,4891.281
631.635,4948.157
632.581,4925.958
633.526,4904.790
634.472,4983.351
635.417,5029.208
636.363,4975.037
637.309,4944.101
638.254,4903.479
639.200,4965.214
640.145,4914.934
641.091,4955.569
642.036,4896.878
642.982,4918.658
643.927,4949.348
644.873,4926.933
645.819,5023.400
646.764,4982.104
647.710,4867.359
648.655,4957.266
649.601,4942.142
650.546,4970.266
651.492,4939.322
652.438,4909.819
653.383,4902.033
654.329,4975.576
655.274,4952.909
656.220,4951.464
657.165,4899.737
658.111,5003.303
659.056,4957.262
660.002,4925.712
660.948,4969.783
661.893,4912.331
662.839,4963.629
663.784,4963.583
664.730,4922.061
665.675,4951.696
666.621,4951.856
667.566,4853.575
668.512,4944.950
669.458,4940.456
670.403,4930.264
671.349,4935.205
672.294,4906.948
673.240,4987.111
674.185,4943.300
675.131,4842.230
676.077,4934.925
677.022,4902.253
677.968,4916.919
678.913,4891.610
679.859,4917.104
680.804,4926.798
681.750,4918.055
682.695,4963.930
683.641,4852.137
684.587,4974.570
685.532,4844.490
686.478,4929.315
687.423,4914.182
688.369,4955.892
689.314,4974.291
690.260,4932.200
691.206,4833.072
692.151,4909.381
693.097,4873.271
694.042,4905.140
694.988,5002.918
695.933,4865.641
696.879,4930.513
697.824,4865.888
698.770,4941.310
699.716,4897.586
700.661,4855.409
701.607,4972.475
702.552,4921.591
703.498,4952.281
704.443,4969.933
705.389,4929.062
706.335,4986.289
707.280,4854.576
708.226,4908.681
709.171,4929.708
710.117,4965.610
711.062,4838.611
712.008,4916.023
712.953,4976.765
713.899,4915.225
714.845,4945.113
715.790,5006.959
716.736,5222.340
717.681,5278.496
718.627,5646.585
719.572,6145.780
720.518,6940.805
721.464,6967.292
722.409,7009.062
723.355,6860.634
724.300,6878.297
725.246,6749.919
726.191,6691.786
727.137,6702.135
728.082,6641.803
729.028,6633.377
729.974,6643.459
730.919,6472.312
731.865,6413.888
732.810,6495.744
733.756,6509.476
734.701,6468.053
735.647,6359.188
736.592,6365.276
737.538,6312.770
738.484,6299.392
739.429,6170.700
740.375,6227.415
741.320,6204.823
742.266,6068.824
743.211,6085.910
744.157,6112.989
745.103,6042.063
746.048,6085.856
746.994,5919.809
747.939,5890.646
748.885,5957.477
749.830,5925.627
750.776,5842.493
751.721,5858.791
752.667,5883.891
753.613,5788.492
754.558,5821.331
755.504,5770.664
756.449,5757.081
757.395,5770.121
758.340,5712.626
759.286,5590.181
760.232,5658.150
761.177,5696.227
762.123,5669.448
763.068,5649.519
764.014,5675.158
764.959,5616.980
765.905,5525.771
766.850,5576.938
767.796,5506.314
768.742,5485.574
769.687,5508.285
770.633,5447.151
771.578,5521.581
772.524,5393.604
773.469,5473.930
774.415,5356.147
775.360,5390.580
776.306,5431.359
777.252,5431.108
778.197,5401.192
779.143,5370.861
780.088,5359.194
781.034,5397.862
781.979,5361.109
782.925,5367.137
783.871,5346.049
784.816,5301.976
785.762,5307.124
786.707,5319.067
787.653,5228.480
788.598,5216.547
789.544,5294.837
790.490,5227.935
791.435,5215.681
792.381,5163.906
793.326,5204.452
794.272,5184.359
795.217,5247.173
796.163,5235.792
797.108,5162.381
798.054,5191.708
799.000,5119.317
799.945,5149.306
800.891,5123.281
801.836,5184.439
802.782,5129.957
803.727,5156.830
804.673,5167.432
805.618,5102.444
806.564,5163.129
807.510,5127.460
808.455,5150.393
809.401,5128.773
810.346,5109.386
811.292,5051.971
812.237,5062.883
813.183,4988.925
814.129,5072.774
815.074,5103.587
816.020,5056.647
816.965,4973.955
817.911,5066.217
818.856,5091.236
819.802,5030.578
820.747,5026.725
821.693,5067.915
822.639,5013.960
823.584,4977.869
824.530,5049.399
825.475,5033.489
826.421,5006.138
827.366,5020.592
828.312,4951.339
829.258,4957.671
830.203,4976.463
831.149,4964.642
832.094,4983.098
833.040,4977.548
833.985,4984.949
834.931,4962.363
835.876,4942.925
836.822,4934.685
837.768,4928.865
838.713,4997.787
839.659,4891.580
840.604,4932.687
841.550,4995.550
842.495,5001.160
843.441,4979.224
844.386,4982.340
845.332,4968.157
846.278,4905.632
847.223,5013.062
848.169,4964.559
849.114,4873.959
850.060,4908.484
851.005,5006.176
851.951,4907.539
852.897,4939.041
853.842,4941.092
854.788,4891.251
855.733,5012.636
856.679,4919.658
857.624,4915.422
858.570,4887.216
859.516,4952.309
860.461,4947.343
861.407,4910.629
862.352,4900.223
863.298,4930.002
864.243,4880.756
865.189,4896.417
866.134,4926.363
867.080,4887.437
868.026,4859.381
868.971,4899.110
869.917,4901.337
870.862,4877.944
871.808,4901.558
872.753,4857.289
873.699,4870.168
874.644,4902.890
875.590,4858.115
876.536,4843.843
877.481,4905.292
878.427,4847.470
879.372,4906.626
880.318,4920.550
881.263,4905.841
882.209,4836.950
883.155,4890.385
884.100,4876.584
885.046,4855.529
885.991,4661.380
886.937,4868.437
887.882,4844.126
888.828,4913.517
889.773,4935.831
890.719,4868.399
891.665,4859.556
892.610,4847.945
893.556,4796.949
894.501,4875.992
895.447,4911.167
896.392,4824.496
897.338,4897.242
898.284,4895.056
899.229,4851.665
900.175,4813.443
901.120,4876.604
902.066,4839.785
903.011,4863.656
903.957,4812.825
904.902,4707.907
905.848,4879.300
906.794,4853.610
907.739,4825.039
908.685,4807.884
909.630,4842.934
910.576,4770.749
911.521,4773.621
912.467,4845.921
913.412,4821.055
914.358,4862.406
915.304,4802.999
916.249,4744.360
917.195,4842.255
918.140,4867.100
919.086,4843.603
920.031,4856.064
920.977,4817.839
921.923,4821.004
922.868,4769.636
923.814,4809.465
924.759,4810.571
925.705,4829.159
926.650,4872.678
927.596,4821.934
928.542,4768.855
929.487,4832.941
930.433,4838.689
931.378,4756.271
932.324,4840.408
933.269,4821.714
934.215,4830.681
935.160,4841.488
936.106,4808.011
937.052,4805.539
937.997,4836.643
938.943,4745.600
939.888,4859.447
940.834,4821.205
941.779,4749.163
942.725,4836.347
943.670,4793.440
944.616,4742.321
