X,Y
0.000,11273.515
0.500,11189.888
1.000,11187.539
1.500,11141.581
2.000,11217.133
2.500,11235.803
3.000,11240.916
3.500,11154.587
4.000,11186.331
4.500,11242.328
5.000,11215.133
5.500,11151.643
6.000,11199.509
6.500,11238.902
7.000,11200.878
7.500,11164.995
8.000,11186.907
8.500,11172.550
9.000,11245.869
9.500,11203.503
10.000,11152.083
10.500,11206.401
11.000,11177.925
11.500,11153.910
12.000,11229.226
12.500,11240.503
13.000,11162.014
13.500,11243.974
14.000,11149.621
14.500,11218.614
15.000,11100.419
15.500,11179.297
16.000,11195.886
16.500,11180.565
17.000,11147.317
17.500,11167.990
18.000,11124.639
18.500,11193.204
19.000,11122.756
19.500,11227.313
20.000,11208.126
20.500,11281.302
21.000,11252.318
21.500,11151.996
22.000,11220.359
22.500,11176.279
23.000,11211.635
23.500,11190.323
24.000,11221.009
24.500,11153.584
25.000,11257.918
25.500,11259.626
26.000,11134.844
26.500,11184.635
27.000,11100.605
27.500,11192.321
28.000,11215.180
28.500,11110.910
29.000,11183.405
29.500,11204.821
30.000,11214.453
30.500,11125.011
31.000,11134.697
31.500,11149.175
32.000,11109.734
32.500,11203.827
33.000,11684.904
33.500,11704.591
34.000,11761.461
34.500,11646.697
35.000,11680.329
35.500,11728.595
36.000,11665.515
36.500,11670.116
37.000,11544.926
37.500,11571.859
38.000,11607.822
38.500,11654.015
39.000,11568.230
39.500,11523.294
40.000,11468.826
40.500,11503.950
41.000,11507.778
41.500,11538.118
42.000,11534.862
42.500,11484.627
43.000,11513.279
43.500,11556.415
44.000,11493.520
44.500,11468.718
45.000,11546.018
45.501,11452.432
46.001,11547.640
46.501,11470.008
47.001,11428.786
47.501,11453.942
48.001,11462.972
48.501,11464.240
49.001,11412.741
49.501,11344.486
50.001,11430.093
50.501,11400.540
51.001,11488.267
51.501,11469.929
52.001,11397.774
52.501,11415.831
53.001,11420.890
53.501,11342.300
54.001,11473.736
54.501,11288.574
55.001,11369.569
55.501,11380.375
56.001,11400.833
56.501,11332.793
57.001,11330.027
57.501,11407.722
58.001,11371.946
58.501,11292.555
59.001,11339.866
59.501,11446.058
60.001,11376.357
60.501,11406.163
61.001,11398.070
61.501,11347.087
62.001,11308.763
62.501,11291.415
63.001,11314.540
63.501,11377.110
64.001,11332.414
64.501,11370.938
65.001,11290.953
65.501,11381.272
66.001,11424.829
66.501,11324.998
67.001,11336.646
67.501,11345.168
68.001,11360.266
68.501,11347.054
69.001,11350.477
69.501,11338.687
70.001,11348.749
70.501,11312.206
71.001,11241.503
71.501,11342.525
72.001,11355.935
72.501,11421.155
73.001,11315.964
73.501,11370.236
74.001,11294.212
74.501,11352.537
75.001,11414.388
75.501,11410.603
76.001,11307.323
76.501,11265.534
77.001,11384.325
77.501,11257.505
78.001,11322.008
78.501,11211.390
79.001,11383.292
79.501,11409.363
80.001,11350.399
80.501,11278.707
81.001,11435.728
81.501,11330.456
82.001,11384.313
82.501,11272.740
83.001,11277.917
83.501,11265.281
84.001,11291.596
84.501,11256.315
85.001,11299.828
85.501,11244.134
86.001,11318.173
86.501,11293.660
87.001,11345.820
87.501,11384.374
88.001,11284.872
88.501,11313.229
89.001,11323.558
89.501,11331.354
90.001,11276.333
90.501,11229.860
91.001,11311.868
91.501,11242.159
92.001,11292.242
92.501,11249.199
93.001,11269.751
93.501,11279.586
94.001,11299.574
94.501,11278.949
95.001,11336.699
95.501,11270.167
96.001,11271.510
96.501,11309.735
97.001,11283.776
97.501,11319.903
98.001,11314.261
98.501,11313.250
99.001,11345.142
99.501,11273.360
100.001,11317.807
100.501,11229.795
101.001,11298.913
101.501,11299.282
102.001,11258.759
102.501,11278.511
103.001,11261.709
103.501,11326.525
104.001,11306.361
104.501,11212.313
105.001,11276.030
105.501,11320.747
106.001,11250.786
106.501,11283.304
107.001,11288.897
107.501,11318.948
108.001,11294.278
108.501,11262.806
109.001,11283.795
109.501,11269.521
110.001,11268.484
110.501,11331.417
111.001,11296.227
111.501,11310.105
112.001,11251.647
112.501,11266.589
113.001,11316.736
113.501,11370.167
114.001,11347.244
114.501,11153.379
115.001,11280.006
115.501,11287.703
116.001,11248.206
116.501,11261.443
117.001,11225.306
117.501,11286.805
118.001,11270.902
118.501,11191.186
119.001,11292.707
119.501,11319.303
120.001,11298.553
120.501,11299.240
121.001,11211.408
121.501,11272.550
122.001,11208.171
122.501,11209.747
123.001,11339.285
123.501,11287.976
124.001,11323.978
124.501,11317.891
125.001,11322.438
125.501,11333.037
126.001,11176.813
126.501,11297.953
127.001,11250.606
127.501,11264.095
128.001,11327.941
128.501,11308.324
129.001,11220.119
129.501,11290.574
130.001,11176.244
130.501,11231.275
131.001,11357.248
131.501,11312.599
132.001,11241.887
132.501,11277.581
133.001,11243.993
133.501,11198.410
134.001,11396.863
134.501,11325.418
135.001,11270.112
135.501,11305.631
136.002,11359.749
136.502,11219.370
137.002,11272.812
137.502,11288.888
138.002,11300.330
138.502,11243.250
139.002,11300.586
139.502,11241.310
140.002,11247.098
140.502,11316.454
141.002,11340.511
141.502,11265.846
142.002,11362.744
142.502,11199.058
143.002,11267.624
143.502,11296.678
144.002,11294.202
144.502,11288.488
145.002,11253.595
145.502,11352.769
146.002,11286.093
146.502,11351.014
147.002,11310.950
147.502,11326.652
148.002,11231.785
148.502,11313.464
149.002,11259.409
149.502,11420.303
150.002,11228.805
150.502,11340.242
151.002,11293.343
151.502,11251.267
152.002,11299.491
152.502,11301.523
153.002,11269.592
153.502,11234.732
154.002,11253.642
154.502,11307.555
155.002,11233.590
155.502,11280.366
156.002,11336.921
156.502,11281.050
157.002,11197.469
157.502,11151.738
158.002,11232.855
158.502,11235.397
159.002,11238.186
159.502,11234.724
160.002,11303.116
160.502,11152.368
161.002,11293.324
161.502,11209.367
162.002,11277.305
162.502,11199.404
163.002,11213.070
163.502,11281.175
164.002,11206.193
164.502,11261.025
165.002,11178.285
165.502,11271.074
166.002,11303.715
166.502,11242.531
167.002,11308.021
167.502,11250.509
168.002,11257.070
168.502,11258.520
169.002,11291.843
169.502,11353.974
170.002,11285.881
170.502,11258.485
171.002,11223.598
171.502,11214.562
172.002,11351.041
172.502,11262.903
173.002,11343.023
173.502,11164.455
174.002,11225.621
174.502,11299.721
175.002,11313.063
175.502,11271.000
176.002,11269.564
176.502,11259.308
177.002,11335.539
177.502,11195.748
178.002,11265.736
178.502,11295.233
179.002,11293.120
179.502,11215.139
180.002,11233.812
180.502,11185.979
181.002,11283.560
181.502,11312.162
182.002,11287.625
182.502,11253.583
183.002,11274.980
183.502,11304.832
184.002,11172.163
184.502,11325.690
185.002,11327.780
185.502,11300.553
186.002,11339.729
186.502,11385.410
187.002,11266.984
187.502,11172.427
188.002,11318.727
188.502,11259.440
189.002,11312.228
189.502,11315.454
190.002,11305.634
190.502,11271.906
191.002,11296.708
191.502,11289.241
192.002,11256.648
192.502,11292.419
193.002,11297.049
193.502,11329.969
194.002,11324.436
194.502,11243.871
195.002,11384.096
195.502,11332.103
196.002,11301.990
196.502,11328.193
197.002,11355.562
197.502,11288.465
198.002,11344.869
198.502,11257.883
199.002,11324.750
199.502,11346.862
200.002,11274.556
200.502,11279.486
201.002,11270.562
201.502,11259.354
202.002,11253.944
202.502,11290.137
203.002,11335.164
203.502,11221.990
204.002,11279.400
204.502,11258.585
205.002,11247.794
205.502,11284.153
206.002,11190.327
206.502,11276.385
207.002,11318.659
207.502,11229.543
208.002,11262.305
208.502,11205.550
209.002,11193.657
209.502,11289.596
210.002,11379.980
210.502,11226.666
211.002,11258.630
211.502,11277.935
212.002,11368.522
212.502,11289.721
213.002,11340.545
213.502,11297.766
214.002,11281.077
214.502,11232.735
215.002,11272.170
215.502,11317.243
216.002,11293.557
216.502,11277.013
217.002,11286.750
217.502,11165.026
218.002,11338.296
218.502,11301.311
219.002,11291.381
219.502,11320.737
220.002,11312.606
220.502,11300.876
221.002,11291.064
221.502,11334.270
222.002,11313.634
222.502,11256.152
223.002,11252.396
223.502,11303.199
224.002,11339.902
224.502,11274.856
225.002,11339.953
225.503,11296.007
226.003,11293.201
226.503,11308.719
227.003,11289.049
227.503,11332.312
228.003,11198.887
228.503,11274.478
229.003,11288.418
229.503,11276.317
230.003,11373.375
230.503,11337.318
231.003,11309.625
231.503,11284.986
232.003,11240.556
232.503,11223.886
233.003,11235.951
233.503,11352.318
234.003,11272.269
234.503,11301.409
235.003,11263.756
235.503,11262.993
236.003,11241.258
236.503,11263.512
237.003,11199.286
237.503,11262.238
238.003,11244.220
238.503,11195.161
239.003,11245.398
239.503,11332.975
240.003,11211.722
240.503,11353.114
241.003,11321.982
241.503,11342.548
242.003,11236.915
242.503,11230.157
243.003,11326.257
243.503,11324.614
244.003,11321.481
244.503,11168.591
245.003,11259.183
245.503,11337.416
246.003,11255.387
246.503,11379.393
247.003,11200.128
247.503,11317.217
248.003,11244.066
248.503,11236.620
249.003,11389.306
249.503,11318.486
250.003,11297.398
250.503,11258.924
251.003,11299.349
251.503,11251.688
252.003,11336.051
252.503,11260.728
253.003,11263.305
253.503,11293.716
254.003,11365.253
254.503,11343.650
255.003,11258.678
255.503,11284.796
256.003,11361.993
256.503,11321.166
257.003,11347.670
257.503,11310.820
258.003,11329.371
258.503,11334.811
259.003,11278.328
259.503,11259.409
260.003,11328.359
260.503,11312.739
261.003,11241.085
261.503,11313.095
262.003,11284.651
262.503,11400.214
263.003,11315.749
263.503,11301.792
264.003,11378.450
264.503,11337.500
265.003,11215.682
265.503,11336.280
266.003,11211.058
266.503,11275.328
267.003,11371.102
267.503,11334.415
268.003,11290.094
268.503,11249.555
269.003,11342.536
269.503,11326.466
270.003,11377.262
270.503,11237.496
271.003,11203.385
271.503,11316.094
272.003,11183.754
272.503,11276.146
273.003,11347.554
273.503,11397.737
274.003,11274.502
274.503,11320.098
275.003,11370.704
275.503,11309.861
276.003,11299.237
276.503,11329.850
277.003,11273.542
277.503,11290.538
278.003,11272.580
278.503,11292.227
279.003,11378.637
279.503,11368.462
280.003,11371.696
280.503,11325.953
281.003,11302.071
281.503,11214.750
282.003,11312.671
282.503,11275.493
283.003,11245.720
283.503,11225.293
284.003,11365.361
284.503,11299.273
285.003,11417.063
285.503,11262.614
286.003,11336.500
286.503,11389.595
287.003,11255.749
287.503,11396.971
288.003,11316.827
288.503,11329.196
