X,Y
0.000,11090.909
0.500,11001.938
1.000,11011.968
1.500,10978.333
2.000,10978.039
2.500,10995.800
3.000,11026.528
3.500,10993.686
4.000,11026.984
4.500,10971.687
5.000,11040.864
5.500,11074.396
6.000,11002.081
6.500,10952.689
7.000,11021.035
7.500,11012.973
8.000,10989.869
8.500,11013.206
9.000,10931.118
9.500,10961.381
10.000,11025.412
10.500,11016.420
11.000,11071.261
11.500,10983.015
12.000,11012.409
12.500,10928.599
13.000,11098.049
13.500,11048.458
14.000,11036.577
14.500,10996.715
15.000,10967.805
15.500,11040.890
16.000,10982.149
16.500,10952.616
17.000,11000.886
17.500,10976.151
18.000,11010.034
18.500,10954.572
19.000,10975.634
19.500,10980.073
20.000,10989.148
20.500,11002.541
21.000,10996.381
21.500,10951.091
22.000,11012.255
22.500,10954.724
23.000,11027.700
23.500,10882.651
24.000,10964.954
24.500,11031.867
25.000,10911.340
25.500,11011.738
26.000,10949.870
26.500,10996.375
27.000,11014.991
27.500,10988.619
28.000,11013.541
28.500,11003.807
29.000,10945.763
29.500,10962.504
30.000,11023.857
30.500,11081.684
31.000,10919.396
31.500,11027.687
32.000,11007.708
32.500,11013.501
33.000,10990.394
33.500,10922.949
34.000,10890.607
34.500,11029.631
35.000,11014.459
35.500,10961.151
36.000,10902.069
36.500,10940.580
37.000,10944.039
37.500,10952.024
38.000,11017.868
38.500,10951.603
39.000,10950.070
39.500,10985.067
40.000,10951.891
40.500,11003.211
41.000,10937.342
41.500,10931.083
42.000,10984.149
42.500,10958.897
43.000,10967.159
43.500,10994.984
44.000,10953.614
44.500,10966.674
45.000,10916.240
45.500,10995.735
46.000,11014.792
46.500,11000.899
47.000,10947.202
47.500,10979.501
48.000,10958.252
48.500,10972.203
49.000,10923.419
49.500,10916.450
50.000,11017.505
50.500,10966.445
51.000,11016.391
51.500,10979.801
52.000,11005.973
52.500,10951.429
53.000,11002.168
53.500,10948.497
54.000,11029.203
54.500,10945.104
55.000,10898.651
55.500,10963.613
56.000,10966.089
56.500,11104.083
57.000,11038.202
57.500,11095.355
58.000,10989.969
58.500,10981.814
59.000,11074.127
59.500,10923.613
60.000,11004.659
60.500,10960.447
61.000,10944.389
61.500,10976.321
62.000,10995.419
62.500,10986.042
63.000,11026.976
63.500,10995.531
64.000,11081.680
64.500,10992.388
65.000,10915.569
65.500,10972.835
66.000,11004.462
66.500,11024.370
67.000,11081.683
67.500,11020.582
68.000,11074.485
68.500,10979.356
69.000,11089.094
69.500,10955.987
70.000,11007.193
70.500,10974.347
71.000,10970.032
71.500,11089.481
72.000,11069.755
72.500,10937.697
73.000,11011.813
73.500,10994.976
74.000,10853.803
74.500,10965.937
75.001,11028.728
75.501,11006.969
76.001,11073.208
76.501,10938.331
77.001,10996.898
77.501,11032.102
78.001,11013.966
78.501,10956.092
79.001,10937.760
79.501,10994.155
80.001,10944.951
80.501,10892.823
81.001,10923.124
81.501,10994.400
82.001,10988.062
82.501,11005.306
83.001,10953.026
83.501,11021.066
84.001,10997.655
84.501,10996.735
85.001,11080.612
85.501,10930.395
86.001,11063.979
86.501,11035.382
87.001,10959.579
87.501,11026.829
88.001,10951.417
88.501,11021.419
89.001,11016.436
89.501,10979.794
90.001,10915.598
90.501,11025.335
91.001,10942.104
91.501,11039.781
92.001,10971.468
92.501,10996.639
93.001,11075.323
93.501,11036.952
94.001,11036.347
94.501,11054.302
95.001,10964.898
95.501,10923.083
96.001,11076.100
96.501,11021.543
97.001,11043.284
97.501,10995.662
98.001,11060.413
98.501,11000.459
99.001,11085.310
99.501,11031.551
100.001,11037.114
100.501,11053.740
101.001,11037.379
101.501,11145.364
102.001,11150.396
102.501,11066.309
103.001,10945.705
103.501,11048.718
104.001,10988.351
104.501,11111.799
105.001,11005.451
105.501,11062.003
106.001,11030.646
106.501,10947.191
107.001,10982.837
107.501,11017.771
108.001,11002.808
108.501,11004.104
109.001,10997.382
109.501,10953.915
110.001,10953.629
110.501,10971.928
111.001,11012.540
111.501,11045.757
112.001,10935.850
112.501,11003.454
113.001,11006.622
113.501,10972.400
114.001,11021.355
114.501,11052.039
115.001,10994.239
115.501,10982.025
116.001,11015.730
116.501,10997.130
117.001,10975.473
117.501,10968.763
118.001,10955.565
118.501,11013.057
119.001,11014.278
119.501,10841.880
120.001,11008.749
120.501,10995.153
121.001,11017.691
121.501,10974.365
122.001,11069.286
122.501,10962.557
123.001,10974.603
123.501,11081.814
124.001,11003.272
124.501,10945.228
125.001,11044.317
125.501,10930.554
126.001,10964.405
