X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,5405.146,0,5594.138,0,7297.972,0,5227.107,0,6968.958,0,6384.858,0,5747.722
0.946,5492.278,0.946,5575.267,0.946,7333.57,0.946,5279.19,0.946,6962.664,0.946,6406.972,0.946,5753.247
1.891,5455.599,1.891,5545.529,1.891,7296.314,1.891,5292.674,1.891,6970.818,1.891,6441.75,1.891,5739.695
2.837,5408.874,2.837,5565.186,2.837,7292.211,2.837,5248.998,2.837,6960.845,2.837,6383.821,2.837,5751.687
3.782,5441.888,3.782,5538.526,3.782,7274.567,3.782,5239.998,3.782,6959.892,3.782,6404.913,3.782,5760.768
4.728,5456.687,4.728,5545.226,4.728,7272.834,4.728,5252.845,4.728,6982.008,4.728,6385.008,4.728,5755.119
5.673,5348.146,5.673,5572.537,5.673,7282.605,5.673,5235.739,5.673,6970.878,5.673,6349.672,5.673,5740.26
6.619,5470.138,6.619,5541.427,6.619,7257.569,6.619,5265.385,6.619,6961.866,6.619,6390.77,6.619,5752.058
7.564,5467.908,7.564,5541.371,7.564,7259.03,7.564,5239.172,7.564,6981.125,7.564,6386.806,7.564,5797.141
8.51,5505.316,8.51,5552.355,8.51,7264.497,8.51,5275.019,8.51,6969.292,8.51,6404.398,8.51,5748.387
9.456,5544.315,9.456,5574.727,9.456,7285.183,9.456,5264.214,9.456,6952.209,9.456,6389.901,9.456,5756.066
10.401,5493.07,10.401,5570.357,10.401,7257.176,10.401,5270.786,10.401,6987.247,10.401,6350.028,10.401,5719.976
11.347,5478.089,11.347,5573.663,11.347,7258.501,11.347,5251.959,11.347,6950.452,11.347,6327.836,11.347,5733.572
12.292,5481.074,12.292,5544.491,12.292,7280.855,12.292,5210.842,12.292,6942.099,12.292,6373.274,12.292,5758.419
13.238,5435.241,13.238,5570.704,13.238,7225.378,13.238,5221.375,13.238,6951.284,13.238,6370.664,13.238,5755.809
14.183,5471.963,14.183,5585.915,14.183,7253.134,14.183,5216.671,14.183,6948.557,14.183,6315.813,14.183,5735.902
15.129,5518.967,15.129,5599.193,15.129,7242.52,15.129,5211.972,15.129,6948.499,15.129,6371.386,15.129,5733.94
16.075,5456.411,16.075,5571.484,16.075,7211.885,16.075,5211.03,16.075,6976.37,16.075,6334.772,16.075,5698.441
17.02,5479.872,17.02,5549.831,17.02,7203.43,17.02,5248.496,17.02,6949.498,17.02,6386.205,17.02,5732.27
17.966,5519.891,17.966,5563.28,17.966,7211.118,17.966,5190.23,17.966,6947.515,17.966,6340.505,17.966,5715.219
18.911,5460.166,18.911,5593.682,18.911,7207.003,18.911,5233.485,18.911,6931.192,18.911,6338.207,18.911,5676.279
19.857,5470.083,19.857,5561.109,19.857,7243.368,19.857,5224.649,19.857,6947.06,19.857,6348.954,19.857,5712.643
20.802,5503.438,20.802,5585.425,20.802,7205.537,20.802,5194.476,20.802,6949.227,20.802,6353.553,20.802,5724.159
21.748,5493.678,21.748,5545.822,21.748,7229.242,21.748,5195.234,21.748,6926.602,21.748,6344.883,21.748,5736.036
22.693,5465.626,22.693,5561.872,22.693,7205.234,22.693,5201.88,22.693,6926.17,22.693,6398.407,22.693,5737.509
23.639,5459.12,23.639,5553.016,23.639,7224.777,23.639,5185.621,23.639,6943.198,23.639,6320.433,23.639,5705.445
