X,Y
0.000,5594.138
0.946,5575.267
1.891,5545.529
2.837,5565.186
3.782,5538.526
4.728,5545.226
5.673,5572.537
6.619,5541.427
7.564,5541.371
8.510,5552.355
9.456,5574.727
10.401,5570.357
11.347,5573.663
12.292,5544.491
13.238,5570.704
14.183,5585.915
15.129,5599.193
16.075,5571.484
17.020,5549.831
17.966,5563.280
18.911,5593.682
19.857,5561.109
20.802,5585.425
21.748,5545.822
22.693,5561.872
23.639,5553.016
24.585,5535.383
25.530,5560.967
26.476,5535.652
27.421,5559.391
28.367,5547.577
29.312,5551.704
30.258,5539.947
31.204,5539.197
32.149,5533.839
33.095,5531.536
34.040,5556.841
34.986,5547.363
35.931,5541.272
36.877,5537.459
37.822,5553.553
38.768,5552.447
39.714,5557.812
40.659,5576.604
41.605,5552.698
42.550,5514.809
43.496,5536.601
44.441,5556.766
45.387,5521.825
46.333,5551.203
47.278,5536.093
48.224,5509.641
49.169,5515.880
50.115,5502.875
51.060,5583.397
52.006,5518.886
52.951,5544.297
53.897,5530.649
54.843,5549.178
55.788,5542.752
56.734,5546.183
57.679,5530.441
58.625,5509.200
59.570,5546.217
60.516,5573.946
61.462,5554.273
62.407,5528.973
63.353,5539.038
64.298,5530.357
65.244,5543.800
66.189,5573.462
67.135,5564.333
68.080,5566.800
69.026,5529.984
69.972,5553.043
70.917,5544.610
71.863,5530.080
72.808,5512.967
73.754,5532.190
74.699,5548.206
75.645,5542.281
76.590,5535.006
77.536,5517.287
78.482,5553.602
79.427,5509.293
80.373,5530.222
81.318,5513.188
82.264,5548.320
83.209,5496.960
84.155,5544.188
85.101,5523.562
86.046,5544.069
86.992,5495.489
87.937,5549.595
88.883,5510.214
89.828,5554.443
90.774,5537.225
91.719,5512.710
92.665,5532.361
93.611,5570.519
94.556,5517.431
95.502,5522.912
96.447,5519.673
97.393,5583.099
98.338,5508.292
99.284,5534.740
100.230,5521.796
101.175,5519.669
102.121,5516.736
103.066,5521.958
104.012,5503.127
104.957,5484.177
105.903,5510.425
106.848,5517.110
107.794,5528.008
108.740,5505.667
109.685,5515.420
110.631,5483.574
111.576,5522.015
112.522,5522.195
113.467,5446.729
114.413,5484.202
115.359,5504.270
116.304,5433.213
117.250,5539.124
118.195,5565.579
119.141,5594.324
120.086,5570.371
121.032,5535.674
121.977,5570.548
122.923,5556.033
123.869,5554.699
124.814,5567.821
125.760,5553.577
126.705,5547.834
127.651,5545.498
128.596,5555.554
129.542,5553.151
130.488,5542.875
131.433,5538.821
132.379,5549.516
133.324,5562.045
134.270,5553.557
135.215,5528.571
136.161,5553.755
137.106,5550.222
138.052,5536.945
138.998,5522.607
139.943,5533.026
140.889,5538.715
141.834,5540.840
142.780,5544.937
143.725,5551.580
144.671,5549.222
145.616,5524.834
146.562,5539.012
147.508,5518.165
148.453,5512.347
149.399,5494.427
150.344,5503.785
151.290,5530.681
152.235,5548.503
153.181,5493.678
154.127,5514.070
155.072,5547.148
156.018,5520.311
156.963,5555.102
157.909,5522.699
158.854,5527.628
159.800,5549.834
160.745,5538.683
161.691,5525.535
162.637,5523.544
163.582,5524.341
164.528,5489.427
165.473,5496.018
166.419,5506.771
167.364,5536.136
168.310,5482.563
169.256,5509.463
170.201,5499.473
171.147,5486.610
172.092,5524.612
173.038,5522.641
173.983,5504.782
174.929,5492.292
175.874,5491.144
176.820,5499.851
177.766,5483.604
178.711,5479.816
179.657,5472.621
180.602,5477.212
181.548,5465.509
182.493,5481.845
183.439,5497.248
184.385,5469.418
185.330,5480.235
186.276,5472.883
187.221,5492.602
188.167,5470.613
189.112,5470.894
190.058,5467.245
191.003,5472.299
191.949,5452.793
192.895,5450.560
193.840,5454.441
194.786,5447.318
195.731,5453.507
196.677,5440.875
197.622,5476.782
198.568,5452.002
199.513,5444.140
200.459,5444.362
201.405,5427.285
202.350,5440.444
203.296,5466.905
204.241,5480.756
205.187,5430.519
206.132,5430.629
207.078,5437.986
208.024,5435.515
208.969,5431.691
209.915,5455.577
210.860,5443.559
211.806,5420.524
212.751,5429.228
213.697,5425.147
214.642,5400.845
215.588,5430.154
216.534,5428.477
217.479,5390.049
218.425,5425.273
219.370,5409.145
220.316,5425.744
221.261,5377.709
222.207,5407.434
223.153,5422.899
224.098,5415.690
225.044,5409.538
225.989,5396.947
226.935,5389.410
227.880,5386.551
228.826,5406.088
229.771,5391.581
230.717,5424.404
231.663,5388.465
232.608,5393.466
233.554,5388.690
234.499,5383.949
235.445,5372.527
236.390,5392.402
237.336,5417.333
238.282,5414.222
239.227,5420.105
240.173,5396.297
241.118,5395.872
242.064,5433.337
243.009,5389.764
243.955,5389.021
244.900,5371.986
245.846,5394.624
246.792,5360.874
247.737,5376.811
248.683,5363.979
249.628,5382.963
250.574,5372.165
251.519,5384.992
252.465,5400.706
253.411,5366.987
254.356,5364.525
255.302,5353.695
256.247,5355.244
257.193,5353.052
258.138,5386.016
259.084,5345.377
260.029,5352.302
260.975,5385.584
261.921,5377.454
262.866,5342.859
263.812,5360.850
264.757,5345.294
265.703,5379.379
266.648,5351.552
267.594,5318.235
268.539,5367.759
269.485,5377.028
270.431,5345.564
271.376,5386.415
272.322,5389.964
273.267,5361.817
274.213,5371.003
275.158,5382.400
276.104,5347.019
277.050,5357.720
277.995,5363.731
278.941,5387.482
279.886,5353.758
280.832,5375.806
281.777,5354.469
282.723,5350.381
283.668,5352.694
284.614,5331.072
285.560,5341.680
286.505,5385.587
287.451,5357.389
288.396,5338.834
289.342,5333.429
290.287,5368.186
291.233,5364.857
292.179,5349.228
293.124,5372.771
294.070,5318.401
295.015,5370.535
295.961,5363.502
296.906,5332.593
297.852,5349.040
298.797,5375.375
299.743,5334.605
300.689,5340.416
301.634,5334.938
302.580,5345.469
303.525,5356.407
304.471,5359.219
305.416,5353.779
306.362,5353.473
307.308,5354.573
308.253,5358.190
309.199,5318.144
310.144,5332.420
311.090,5330.869
312.035,5334.550
312.981,5349.125
313.926,5312.303
314.872,5334.778
315.818,5369.370
316.763,5342.741
317.709,5292.600
318.654,5315.285
319.600,5327.503
320.545,5327.354
321.491,5324.658
322.436,5354.250
323.382,5335.532
324.328,5298.293
325.273,5309.296
326.219,5322.934
327.164,5326.497
328.110,5324.818
329.055,5285.382
330.001,5285.823
330.947,5312.499
331.892,5302.583
332.838,5286.986
333.783,5323.828
334.729,5325.911
335.674,5305.560
336.620,5281.429
337.565,5284.353
338.511,5304.229
339.457,5322.668
340.402,5322.652
341.348,5308.871
342.293,5298.085
343.239,5325.734
344.184,5313.779
345.130,5301.120
346.076,5336.604
347.021,5305.658
347.967,5320.905
348.912,5324.773
349.858,5325.387
350.803,5309.772
351.749,5333.961
352.694,5335.581
353.640,5330.632
354.586,5302.592
355.531,5304.610
356.477,5290.057
357.422,5297.596
358.368,5304.127
359.313,5268.845
360.259,5301.519
361.205,5289.744
362.150,5277.596
363.096,5336.905
364.041,5303.212
364.987,5307.514
365.932,5306.602
366.878,5315.515
367.823,5305.065
368.769,5299.437
369.715,5238.579
370.660,5286.685
371.606,5315.320
372.551,5300.142
373.497,5301.215
374.442,5285.397
375.388,5296.688
376.334,5276.497
377.279,5312.570
378.225,5298.610
379.170,5318.396
380.116,5292.786
381.061,5295.952
382.007,5293.872
382.952,5300.444
383.898,5300.354
384.844,5318.027
385.789,5301.545
386.735,5315.408
387.680,5307.253
388.626,5306.286
389.571,5283.089
390.517,5262.649
391.462,5267.812
392.408,5323.927
393.354,5292.675
394.299,5293.514
395.245,5286.967
396.190,5305.728
397.136,5278.000
398.081,5287.190
399.027,5275.350
399.973,5299.439
400.918,5310.416
401.864,5271.496
402.809,5313.159
403.755,5262.929
404.700,5266.325
405.646,5253.910
406.591,5292.156
407.537,5247.391
408.483,5297.663
409.428,5309.027
410.374,5299.518
411.319,5266.029
412.265,5263.031
413.210,5254.894
414.156,5268.887
415.102,5268.182
416.047,5253.402
416.993,5257.690
417.938,5257.166
418.884,5257.034
419.829,5277.687
420.775,5272.019
421.720,5281.294
422.666,5255.131
423.612,5279.628
424.557,5278.712
425.503,5263.554
426.448,5277.950
427.394,5295.804
428.339,5274.410
429.285,5299.321
430.231,5235.328
431.176,5252.250
432.122,5275.433
433.067,5258.845
434.013,5255.709
434.958,5246.265
435.904,5253.150
436.849,5267.960
437.795,5261.759
438.741,5251.084
439.686,5239.915
440.632,5249.274
441.577,5251.375
442.523,5243.621
443.468,5270.229
444.414,5252.771
445.359,5219.844
446.305,5300.048
447.251,5263.461
448.196,5268.586
449.142,5254.364
450.087,5256.660
451.033,5222.096
451.978,5276.736
452.924,5285.725
453.870,5259.995
