X,Y
0.000,5721.484
0.946,5854.104
1.891,5888.559
2.837,5783.919
3.782,5803.723
4.728,5831.225
5.673,5717.634
6.619,5863.399
7.564,5764.742
8.510,5867.687
9.456,5834.512
10.401,5868.887
11.347,5872.157
12.292,5728.420
13.238,5778.858
14.183,5776.225
15.129,5766.787
16.075,5726.394
17.020,5805.909
17.966,5868.197
18.911,5803.343
19.857,5780.614
20.802,5742.168
21.748,5763.196
22.693,5823.645
23.639,5795.854
24.585,5508.107
25.530,5798.388
26.476,5786.587
27.421,5821.762
28.367,5765.958
29.312,5768.163
30.258,5840.335
31.204,5806.483
32.149,5730.929
33.095,5995.609
34.040,5946.659
34.986,5835.985
35.931,5891.468
36.877,5774.077
37.822,5849.681
38.768,5798.494
39.714,5815.473
40.659,5785.848
41.605,5817.623
42.550,5813.723
43.496,5844.833
44.441,5939.373
45.387,5857.037
46.333,5905.680
47.278,5695.514
48.224,5902.396
49.169,5721.131
50.115,5844.558
51.060,5822.934
52.006,5886.741
52.951,5857.512
53.897,5826.364
54.843,5820.852
55.788,5868.605
56.734,5878.692
57.679,5934.761
58.625,5878.837
59.570,5814.677
60.516,5858.467
61.462,5923.069
62.407,5831.384
63.353,5810.299
64.298,5810.301
65.244,5849.682
66.189,5772.222
67.135,5801.256
68.080,5899.139
69.026,5867.629
69.972,5769.569
70.917,5771.792
71.863,5928.724
72.808,5859.218
73.754,5868.992
74.699,5844.124
75.645,5774.374
76.590,5886.256
77.536,5784.934
78.482,5807.843
79.427,5843.175
80.373,5896.412
81.318,5894.981
82.264,5783.225
83.209,5822.021
84.155,5825.766
85.101,5821.493
86.046,5839.892
86.992,5877.327
87.937,5817.444
88.883,5861.539
89.828,5842.205
90.774,5820.046
91.719,5806.411
92.665,5939.066
93.611,5781.254
94.556,5939.227
95.502,5806.669
96.447,6000.627
97.393,5868.146
98.338,5799.265
99.284,5896.270
100.230,5819.942
101.175,5905.028
102.121,5796.012
103.066,5793.701
104.012,5816.276
104.957,5834.186
105.903,5900.448
106.848,5901.816
107.794,5897.457
108.740,5826.419
109.685,5821.007
110.631,5758.707
111.576,5824.254
112.522,5814.000
113.467,5829.166
114.413,5758.555
115.359,5923.190
116.304,5853.494
117.250,5753.140
118.195,5785.812
119.141,5862.586
120.086,5823.354
121.032,5812.000
121.977,5775.638
122.923,5854.983
123.869,5859.246
124.814,5818.165
125.760,5819.136
126.705,5799.945
127.651,5805.118
128.596,5898.022
129.542,5744.248
130.488,5864.402
131.433,5881.500
132.379,5855.590
133.324,5906.197
134.270,5732.642
135.215,5831.869
136.161,5912.657
137.106,5827.731
138.052,5751.551
138.998,5876.539
139.943,5789.559
140.889,5786.779
141.834,5813.091
142.780,5893.681
143.725,5917.105
144.671,5829.126
145.616,5785.844
146.562,5382.249
147.508,5930.156
148.453,5912.557
149.399,5839.616
150.344,5910.086
151.290,5986.527
152.235,5881.537
153.181,5878.770
154.127,5836.075
155.072,5873.024
156.018,5731.914
156.963,5900.558
157.909,5928.908
158.854,5815.466
159.800,5921.188
160.745,5938.646
161.691,5882.074
162.637,5902.298
163.582,6079.267
164.528,5831.829
165.473,5852.446
166.419,6008.161
167.364,5873.902
168.310,5961.940
169.256,5825.910
170.201,5898.345
171.147,5855.474
172.092,5911.320
173.038,5859.513
173.983,5974.604
174.929,5961.555
175.874,5873.922
176.820,5830.835
177.766,5884.442
178.711,5869.494
179.657,5831.346
180.602,5943.719
181.548,5884.027
182.493,5875.761
183.439,5983.875
184.385,5889.699
185.330,5938.118
186.276,5825.219
187.221,5969.256
188.167,5876.876
189.112,5943.883
190.058,5907.611
191.003,5943.921
191.949,5852.417
192.895,5922.327
193.840,5804.352
194.786,5790.568
195.731,5899.661
196.677,5946.831
197.622,5866.288
198.568,5891.049
199.513,5905.099
200.459,5872.679
201.405,5844.696
202.350,5818.368
203.296,5928.161
204.241,5869.147
205.187,5822.048
206.132,5918.851
207.078,5920.292
208.024,5938.227
208.969,5847.316
209.915,5895.792
210.860,5874.180
211.806,5855.273
212.751,5913.521
213.697,5917.946
214.642,5856.116
215.588,5907.453
216.534,5854.221
217.479,5759.232
218.425,5805.086
219.370,5841.945
220.316,5893.947
221.261,5876.945
222.207,5859.812
223.153,5794.689
224.098,5869.190
225.044,5754.817
225.989,5859.190
226.935,5804.613
227.880,5882.958
228.826,5870.611
229.771,5936.722
230.717,5810.350
231.663,5720.455
232.608,5924.074
233.554,5894.013
234.499,5837.429
235.445,5905.902
236.390,5808.001
237.336,5888.960
238.282,5984.146
239.227,5697.864
240.173,5948.690
241.118,5920.763
242.064,5936.605
243.009,5977.762
243.955,5866.450
244.900,5894.704
245.846,5978.145
246.792,5763.112
247.737,5921.588
248.683,5902.000
249.628,5865.231
250.574,5898.096
251.519,5803.903
252.465,5884.737
253.411,5898.742
254.356,5856.696
255.302,5757.135
256.247,5878.729
257.193,5951.025
258.138,5846.508
259.084,5872.951
260.029,5919.060
260.975,5842.154
261.921,5913.771
262.866,5838.038
263.812,5902.486
264.757,5843.405
265.703,5963.093
266.648,5901.486
267.594,5860.167
268.539,5868.490
269.485,5838.284
270.431,5930.734
271.376,5950.473
272.322,5916.104
273.267,5811.392
274.213,5850.457
275.158,5800.399
276.104,5910.663
277.050,5822.192
277.995,5861.625
278.941,5892.792
279.886,5853.700
280.832,5824.341
281.777,5844.922
282.723,5783.715
283.668,5878.632
284.614,5814.380
285.560,5798.614
286.505,5786.136
287.451,5898.303
288.396,5821.923
289.342,5838.056
290.287,5904.400
291.233,5910.631
292.179,5802.881
293.124,5783.770
294.070,5810.470
295.015,5796.180
295.961,5868.083
296.906,5837.649
297.852,5861.059
298.797,5813.367
299.743,5760.285
300.689,5808.353
301.634,5779.614
302.580,5776.037
303.525,5811.436
304.471,5796.628
305.416,5776.008
306.362,5807.750
307.308,5796.299
308.253,5837.431
309.199,5841.267
310.144,5771.075
311.090,5828.130
312.035,5828.865
312.981,5796.489
313.926,5764.032
314.872,5765.701
315.818,5836.988
316.763,5800.653
317.709,5771.848
318.654,5792.226
319.600,5719.100
320.545,5837.543
321.491,5821.206
322.436,5804.425
323.382,5774.793
324.328,5757.642
325.273,5778.845
326.219,5830.958
327.164,5733.351
328.110,5820.895
329.055,5760.185
330.001,5692.811
330.947,5840.563
331.892,5769.119
332.838,5721.380
333.783,5826.794
334.729,5710.352
335.674,5704.367
336.620,5697.349
337.565,5780.451
338.511,5814.676
339.457,5784.283
340.402,5791.845
341.348,5682.011
342.293,5609.124
343.239,5687.058
344.184,5785.000
345.130,5785.211
346.076,5737.555
347.021,5753.786
347.967,5791.736
348.912,5765.273
349.858,5701.565
350.803,5821.878
351.749,5731.173
352.694,5793.124
353.640,5835.300
354.586,5760.151
355.531,5710.116
356.477,5752.211
357.422,5776.529
358.368,5689.314
359.313,5742.774
360.259,5709.953
361.205,5772.144
362.150,5682.216
363.096,5695.497
364.041,5663.768
364.987,5833.415
365.932,5729.003
366.878,5746.808
367.823,5733.229
368.769,5714.253
369.715,5816.653
370.660,5865.613
371.606,5801.093
372.551,5814.744
373.497,5740.749
374.442,5708.123
375.388,5746.680
376.334,5727.200
377.279,5736.344
378.225,5730.782
379.170,5738.508
380.116,5735.017
381.061,5753.243
382.007,5657.521
382.952,5651.162
383.898,5679.927
384.844,5710.092
385.789,5746.343
386.735,5745.007
387.680,5780.513
388.626,5633.771
389.571,5700.823
390.517,5704.015
391.462,5761.324
392.408,5667.834
393.354,5680.771
394.299,5667.348
395.245,5665.355
396.190,5671.966
397.136,5613.786
398.081,5716.227
399.027,5617.135
399.973,5749.551
400.918,5681.717
401.864,5760.719
402.809,5689.737
403.755,5700.825
404.700,5577.964
405.646,5731.507
406.591,5749.821
407.537,5716.338
408.483,5683.239
409.428,5560.296
410.374,5624.440
411.319,5709.221
412.265,5767.896
413.210,5761.113
414.156,5606.174
415.102,5594.315
416.047,5626.349
416.993,5688.844
417.938,5669.596
418.884,5713.920
419.829,5694.417
420.775,5683.570
421.720,5643.543
422.666,5641.294
