X,Y
0.000,6384.858
0.946,6406.972
1.891,6441.750
2.837,6383.821
3.782,6404.913
4.728,6385.008
5.673,6349.672
6.619,6390.770
7.564,6386.806
8.510,6404.398
9.456,6389.901
10.401,6350.028
11.347,6327.836
12.292,6373.274
13.238,6370.664
14.183,6315.813
15.129,6371.386
16.075,6334.772
17.020,6386.205
17.966,6340.505
18.911,6338.207
19.857,6348.954
20.802,6353.553
21.748,6344.883
22.693,6398.407
23.639,6320.433
24.585,6343.881
25.530,6348.404
26.476,6317.484
27.421,6305.772
28.367,6378.740
29.312,6302.461
30.258,6313.940
31.204,6336.004
32.149,6359.185
33.095,6357.096
34.040,6298.371
34.986,6359.401
35.931,6293.008
36.877,6361.957
37.822,6355.353
38.768,6362.018
39.714,6350.336
40.659,6345.758
41.605,6341.928
42.550,6353.546
43.496,6331.489
44.441,6381.516
45.387,6346.864
46.333,6326.753
47.278,6354.229
48.224,6365.189
49.169,6306.195
50.115,6359.813
51.060,6335.993
52.006,6344.261
52.951,6348.419
53.897,6291.167
54.843,6329.045
55.788,6289.181
56.734,6333.502
57.679,6317.803
58.625,6315.125
59.570,6317.063
60.516,6341.283
61.462,6329.107
62.407,6304.053
63.353,6351.196
64.298,6334.512
65.244,6323.044
66.189,6308.953
67.135,6328.207
68.080,6319.932
69.026,6345.847
69.972,6334.471
70.917,6360.062
71.863,6337.992
72.808,6347.245
73.754,6338.290
74.699,6335.092
75.645,6320.740
76.590,6347.606
77.536,6326.762
78.482,6339.593
79.427,6372.155
80.373,6336.682
81.318,6302.986
82.264,6333.308
83.209,6295.213
84.155,6344.247
85.101,6347.289
86.046,6354.740
86.992,6355.051
87.937,6325.015
88.883,6338.622
89.828,6308.359
90.774,6327.596
91.719,6297.832
92.665,6326.957
93.611,6333.305
94.556,6356.283
95.502,6366.912
96.447,6352.638
97.393,6316.069
98.338,6330.815
99.284,6339.050
100.230,6308.917
101.175,6320.429
102.121,6341.909
103.066,6303.842
104.012,6314.331
104.957,6397.210
105.903,6321.300
106.848,6314.422
107.794,6310.253
108.740,6341.334
109.685,6294.691
110.631,6338.130
111.576,6348.643
112.522,6344.200
113.467,6378.858
114.413,6343.746
115.359,6341.283
116.304,6337.339
117.250,6329.217
118.195,6338.978
119.141,6328.788
120.086,6350.231
121.032,6335.111
121.977,6324.547
122.923,6364.381
123.869,6383.663
124.814,6342.531
125.760,6346.483
126.705,6346.992
127.651,6353.827
128.596,6296.078
129.542,6317.895
130.488,6322.292
131.433,6290.965
132.379,6317.159
133.324,6329.838
134.270,6304.364
135.215,6336.666
136.161,6336.100
137.106,6323.603
138.052,6315.325
138.998,6343.950
139.943,6348.668
140.889,6309.723
141.834,6339.792
142.780,6316.751
143.725,6332.121
144.671,6321.853
145.616,6330.156
146.562,6317.193
147.508,6339.208
148.453,6330.927
149.399,6312.268
150.344,6353.311
151.290,6353.496
152.235,6378.076
153.181,6332.005
154.127,6316.889
155.072,6332.619
156.018,6333.015
156.963,6322.705
157.909,6329.905
158.854,6295.329
159.800,6341.595
160.745,6295.833
161.691,6304.667
162.637,6301.942
163.582,6300.726
164.528,6326.532
165.473,6315.592
166.419,6308.278
167.364,6303.035
168.310,6343.375
169.256,6325.218
170.201,6345.250
171.147,6297.037
172.092,6320.925
173.038,6271.505
173.983,6321.974
174.929,6291.964
175.874,6353.746
176.820,6436.819
177.766,6427.868
178.711,6398.549
179.657,6415.838
180.602,6420.004
181.548,6438.800
182.493,6428.729
183.439,6399.899
184.385,6389.114
185.330,6420.161
186.276,6385.592
187.221,6382.776
188.167,6363.325
189.112,6387.994
190.058,6385.420
191.003,6385.653
191.949,6405.552
192.895,6400.838
193.840,6383.745
194.786,6385.297
195.731,6380.042
196.677,6391.917
197.622,6398.838
198.568,6383.797
199.513,6372.277
200.459,6343.696
201.405,6347.219
202.350,6371.499
203.296,6371.896
204.241,6386.112
205.187,6400.579
206.132,6376.294
207.078,6336.201
208.024,6388.343
208.969,6343.843
209.915,6372.438
210.860,6368.805
211.806,6371.934
212.751,6357.386
213.697,6395.181
214.642,6388.091
215.588,6343.656
216.534,6343.788
217.479,6354.344
218.425,6372.052
219.370,6366.161
220.316,6324.640
221.261,6364.208
222.207,6336.279
223.153,6362.661
224.098,6381.655
225.044,6380.598
225.989,6356.250
226.935,6338.712
227.880,6350.297
228.826,6368.685
229.771,6358.032
230.717,6329.871
231.663,6326.855
232.608,6361.717
233.554,6333.700
234.499,6356.780
235.445,6320.775
236.390,6325.893
237.336,6341.359
238.282,6356.727
239.227,6361.822
240.173,6330.674
241.118,6360.664
242.064,6357.239
243.009,6360.508
243.955,6345.472
244.900,6357.732
245.846,6367.070
246.792,6374.397
247.737,6394.209
248.683,6395.470
249.628,6442.492
250.574,6405.223
251.519,6455.382
252.465,6461.716
253.411,6431.612
254.356,6459.947
255.302,6436.497
256.247,6450.962
257.193,6453.959
258.138,6443.130
259.084,6450.663
260.029,6442.553
260.975,6422.719
261.921,6452.841
262.866,6441.750
263.812,6408.409
264.757,6436.980
265.703,6439.799
266.648,6424.334
267.594,6418.668
268.539,6487.336
269.485,6443.977
270.431,6422.387
271.376,6415.670
272.322,6416.161
273.267,6417.224
274.213,6394.770
275.158,6421.487
276.104,6408.213
277.050,6414.312
277.995,6360.454
278.941,6401.399
279.886,6414.568
280.832,6392.991
281.777,6399.304
282.723,6418.733
283.668,6394.717
284.614,6423.625
285.560,6367.552
286.505,6391.526
287.451,6390.488
288.396,6431.486
289.342,6380.093
290.287,6379.229
291.233,6405.086
292.179,6392.751
293.124,6404.393
294.070,6393.510
295.015,6378.245
295.961,6389.188
296.906,6359.182
297.852,6378.628
298.797,6400.995
299.743,6407.011
300.689,6393.832
301.634,6407.375
302.580,6398.437
303.525,6398.158
304.471,6398.099
305.416,6408.141
306.362,6379.543
307.308,6363.789
308.253,6431.971
309.199,6393.034
310.144,6373.966
311.090,6369.607
312.035,6398.254
312.981,6406.599
313.926,6389.597
314.872,6414.427
315.818,6357.617
316.763,6343.158
317.709,6412.635
318.654,6369.167
319.600,6402.113
320.545,6390.278
321.491,6360.166
322.436,6388.009
323.382,6378.625
324.328,6373.734
325.273,6357.927
326.219,6407.697
327.164,6383.951
328.110,6344.924
329.055,6374.997
330.001,6413.434
330.947,6341.408
331.892,6368.479
332.838,6376.917
333.783,6390.859
334.729,6366.498
335.674,6372.177
336.620,6364.368
337.565,6380.845
338.511,6356.077
339.457,6367.390
340.402,6403.144
341.348,6346.923
342.293,6361.207
343.239,6399.964
344.184,6372.690
345.130,6385.373
346.076,6371.951
347.021,6359.656
347.967,6356.382
348.912,6373.021
349.858,6345.249
350.803,6361.080
351.749,6403.355
352.694,6355.462
353.640,6341.333
354.586,6347.903
355.531,6339.723
356.477,6382.599
357.422,6355.378
358.368,6366.972
359.313,6416.381
360.259,6412.519
361.205,6442.344
362.150,6416.249
363.096,6445.134
364.041,6403.050
364.987,6428.298
365.932,6424.148
366.878,6399.125
367.823,6384.097
368.769,6391.918
369.715,6400.983
370.660,6423.225
371.606,6383.204
372.551,6390.959
373.497,6377.207
374.442,6373.262
375.388,6432.775
376.334,6391.767
377.279,6418.073
378.225,6398.234
379.170,6362.360
380.116,6384.762
381.061,6378.984
382.007,6354.792
382.952,6392.632
383.898,6409.812
384.844,6367.215
385.789,6372.281
386.735,6390.044
387.680,6393.767
388.626,6361.469
389.571,6376.843
390.517,6351.675
391.462,6314.585
392.408,6377.722
393.354,6373.496
394.299,6380.871
395.245,6369.965
396.190,6371.112
397.136,6353.451
398.081,6393.650
399.027,6355.205
399.973,6400.629
400.918,6352.513
401.864,6398.453
402.809,6369.556
403.755,6381.979
404.700,6371.502
405.646,6347.705
406.591,6364.666
407.537,6358.988
408.483,6390.835
409.428,6349.389
410.374,6379.414
411.319,6343.510
412.265,6395.875
413.210,6380.094
414.156,6377.101
415.102,6394.800
416.047,6396.888
416.993,6313.051
417.938,6382.493
418.884,6357.929
419.829,6366.582
420.775,6378.684
421.720,6356.650
422.666,6322.417
423.612,6354.050
424.557,6319.437
425.503,6352.472
426.448,6343.490
427.394,6362.300
428.339,6346.057
429.285,6332.789
430.231,6358.079
431.176,6359.515
432.122,6375.146
433.067,6359.174
434.013,6360.479
434.958,6357.373
435.904,6338.976
436.849,6337.458
437.795,6346.636
438.741,6291.519
439.686,6345.862
440.632,6333.796
441.577,6366.212
442.523,6342.691
443.468,6334.848
444.414,6346.755
445.359,6342.841
446.305,6362.340
447.251,6363.815
448.196,6354.350
449.142,6349.000
450.087,6325.384
451.033,6387.172
451.978,6333.320
452.924,6322.839
453.870,6358.313
454.815,6375.787
455.761,6351.772
456.706,6358.812
457.652,6333.785
458.597,6345.322
459.543,6367.191
460.488,6327.146
461.434,6347.366
462.380,6369.681
463.325,6387.500
464.271,6351.109
465.216,6367.376
466.162,6382.128
467.107,6366.333
468.053,6322.833
468.999,6347.517
469.944,6348.777
470.890,6343.707
471.835,6352.022
472.781,6349.479
473.726,6368.236
474.672,6333.929
475.617,6362.968
476.563,6360.405
477.509,6343.268
478.454,6352.095
479.400,6366.746
480.345,6339.752
481.291,6358.530
482.236,6394.132
483.182,6346.941
484.128,6356.670
485.073,6374.050
486.019,6327.322
486.964,6358.113
487.910,6345.628
488.855,6371.995
489.801,6349.229
490.746,6343.636
491.692,6349.325
492.638,6372.095
493.583,6330.118
494.529,6363.581
495.474,6352.669
496.420,6315.283
497.365,6333.035
498.311,6323.472
499.257,6356.828
500.202,6336.713
501.148,6352.660
502.093,6329.771
503.039,6385.552
503.984,6326.887
504.930,6361.816
505.875,6334.645
506.821,6340.491
507.767,6331.128
508.712,6353.268
509.658,6346.504
510.603,6354.031
511.549,6325.553
512.494,6367.643
513.440,6319.090
514.385,6334.907
515.331,6353.368
516.277,6298.001
517.222,6348.277
518.168,6311.098
519.113,6358.026
520.059,6346.280
521.004,6293.194
521.950,6378.769
522.896,6348.051
523.841,6283.826
524.787,6342.393
525.732,6332.884
526.678,6336.003
527.623,6366.793
528.569,6354.176
529.514,6349.316
530.460,6297.407
531.406,6348.691
532.351,6316.376
533.297,6303.966
534.242,6291.630
535.188,6327.822
536.133,6351.241
537.079,6336.207
538.025,6312.692
538.970,6369.034
539.916,6331.083
540.861,6347.406
541.807,6369.031
542.752,6353.767
543.698,6341.653
544.643,6328.205
545.589,6398.176
546.535,6447.083
547.480,6420.666
548.426,6417.127
549.371,6405.030
550.317,6447.248
551.262,6423.185
552.208,6389.058
553.154,6424.790
554.099,6363.291
555.045,6367.128
555.990,6421.643
