X,Y
0.000,2192.748
0.946,2238.234
1.891,2249.499
2.837,2251.055
3.782,2258.637
4.728,2260.305
5.673,2253.420
6.619,2292.322
7.564,2290.567
8.510,2270.830
9.456,2257.445
10.401,2256.693
11.347,2256.406
12.292,2281.874
13.238,2268.484
14.183,2265.777
15.129,2258.687
16.075,2255.793
17.020,2250.301
17.966,2267.353
18.911,2281.513
19.857,2259.422
20.802,2259.578
21.748,2231.361
22.693,2292.583
23.639,2290.562
24.585,2257.561
25.530,2242.109
26.476,2256.037
27.421,2303.929
28.367,2267.243
29.312,2270.214
30.258,2268.880
31.204,2265.227
32.149,2265.212
33.095,2257.760
34.040,2276.934
34.986,2267.651
35.931,2296.206
36.877,2284.901
37.822,2292.260
38.768,2245.858
39.714,2285.467
40.659,2261.675
41.605,2274.354
42.550,2276.536
43.496,2276.720
44.441,2288.505
45.387,2271.093
46.333,2298.321
47.278,2287.397
48.224,2298.409
49.169,2259.198
50.115,2283.496
51.060,2290.398
52.006,2314.251
52.951,2284.708
53.897,2303.784
54.843,2256.600
55.788,2275.642
56.734,2293.175
57.679,2299.356
58.625,2291.370
59.570,2299.847
60.516,2265.903
61.462,2281.949
62.407,2260.653
63.353,2289.749
64.298,2295.475
65.244,2249.914
66.189,2261.234
67.135,2306.604
68.080,2299.745
69.026,2284.431
69.972,2289.662
70.917,2280.848
71.863,2311.230
72.808,2286.462
73.754,2283.937
74.699,2279.059
75.645,2269.997
76.590,2314.019
77.536,2287.213
78.482,2300.697
79.427,2284.634
80.373,2280.305
81.318,2320.546
82.264,2281.265
83.209,2292.546
84.155,2302.763
85.101,2266.287
86.046,2288.842
86.992,2263.768
87.937,2301.158
88.883,2291.186
89.828,2269.854
90.774,2309.868
91.719,2301.566
92.665,2269.121
93.611,2278.367
94.556,2286.860
95.502,2290.628
96.447,2315.037
97.393,2294.941
98.338,2285.874
99.284,2314.885
100.230,2272.842
101.175,2281.716
102.121,2280.156
103.066,2304.315
104.012,2274.803
104.957,2319.445
105.903,2300.308
106.848,2301.347
107.794,2315.344
108.740,2292.258
109.685,2316.738
110.631,2334.793
111.576,2307.263
112.522,2318.316
113.467,2322.745
114.413,2309.043
115.359,2291.580
116.304,2334.540
117.250,2315.249
118.195,2345.400
119.141,2305.354
120.086,2287.971
121.032,2324.430
121.977,2319.811
122.923,2301.779
123.869,2309.737
124.814,2330.153
125.760,2339.150
126.705,2313.736
127.651,2295.755
128.596,2305.136
129.542,2302.223
130.488,2283.080
131.433,2321.370
132.379,2314.562
133.324,2296.758
134.270,2341.802
135.215,2305.881
136.161,2313.785
137.106,2318.343
138.052,2299.673
138.998,2313.874
139.943,2331.123
140.889,2342.484
141.834,2348.447
142.780,2301.649
143.725,2344.576
144.671,2350.445
145.616,2385.286
146.562,2349.466
147.508,2333.603
148.453,2342.342
149.399,2328.959
150.344,2323.005
151.290,2335.480
152.235,2324.027
153.181,2364.928
154.127,2339.480
155.072,2348.196
156.018,2327.808
156.963,2329.216
157.909,2336.395
158.854,2323.503
159.800,2336.111
160.745,2332.950
161.691,2339.260
162.637,2337.344
163.582,2362.431
164.528,2368.700
165.473,2357.242
166.419,2356.985
167.364,2356.291
168.310,2322.113
169.256,2340.351
170.201,2291.056
171.147,2362.344
172.092,2362.026
173.038,2351.273
173.983,2330.017
174.929,2342.973
175.874,2130.052
176.820,2276.318
177.766,2348.068
178.711,2330.976
179.657,2373.068
180.602,2380.150
181.548,2394.266
182.493,2400.899
183.439,2383.845
184.385,2355.033
185.330,2384.010
186.276,2384.898
187.221,2394.905
188.167,2377.950
189.112,2358.580
190.058,2388.643
191.003,2401.918
191.949,2403.776
192.895,2408.864
193.840,2390.192
194.786,2402.924
195.731,2390.184
196.677,2386.934
197.622,2396.877
198.568,2369.387
199.513,2396.730
200.459,2407.851
