X,Y,X,Y,X,Y,X,Y,X,Y
0,2565.221,0,6154.885,0,4753.992,0,15031.954,0,8521.669
1.891,2521.877,1.891,6186.241,1.891,4658.108,1.891,15122.526,1.891,8636.393
3.782,2507.814,3.782,6066.124,3.782,4774.09,3.782,14804.964,3.782,8436.687
5.673,2474.827,5.673,6147.976,5.673,4803.343,5.673,14897.85,5.673,8431.14
7.565,2542.447,7.565,6098.042,7.565,4719.046,7.565,14796.055,7.565,8502.354
9.456,2486.645,9.456,6069.201,9.456,4778.688,9.456,14900.782,9.456,8382.088
11.347,2467.022,11.347,6100.004,11.347,4858.621,11.347,14841.747,11.347,8438.1
13.238,2440.314,13.238,6039.503,13.238,4866.395,13.238,14768.776,13.238,8485.701
15.129,2481.824,15.129,6152.284,15.129,4764.584,15.129,14779.358,15.129,8291.408
17.02,2465.993,17.02,6238.802,17.02,4932.435,17.02,14732.878,17.02,8513.705
18.911,2518.729,18.911,6060.492,18.911,4855.844,18.911,14574.634,18.911,8351.645
20.802,2445.116,20.802,6099.845,20.802,4830.208,20.802,14479.398,20.802,8279.109
22.694,2467.324,22.694,6103.736,22.694,4807.768,22.694,14643.375,22.694,8305.21
24.585,2476.558,24.585,5997.545,24.585,4776.046,24.585,14613.059,24.585,8204.4
26.476,2392.825,26.476,6000.693,26.476,4872.112,26.476,14515.837,26.476,8273.171
28.367,2478.266,28.367,5974.053,28.367,4760.871,28.367,14438.28,28.367,8305.354
30.258,2403.621,30.258,5849.8,30.258,4744.307,30.258,14483.998,30.258,8299.9
32.149,2357.321,32.149,6024.259,32.149,4755.854,32.149,14344.835,32.149,8340.657
34.04,2386.488,34.04,6027.103,34.04,4766,34.04,14417.958,34.04,8227.062
35.932,2398.941,35.931,6200.787,35.932,4724.437,35.931,14513.354,35.931,7962.19
37.823,2384.854,37.823,6052.722,37.823,4612.875,37.823,14772.3,37.823,8328.706
39.714,2387.48,39.714,5791.386,39.714,4838.643,39.714,14286.667,39.714,8125.381
41.605,2387.739,41.605,5842.452,41.605,4830.92,41.605,14182.013,41.605,8151.936
43.496,2340.845,43.496,5729.225,43.496,4802.547,43.496,14022.962,43.496,8156.12
45.387,2314.278,45.387,5886.292,45.387,4629.086,45.387,14052.242,45.387,8219.062
47.278,2369.525,47.278,6029.081,47.278,4731.224,47.278,14115.209,47.278,8060.018
49.169,2341.961,49.169,5956.609,49.169,4798.34,49.169,14095.109,49.169,7998.788
51.061,2294.288,51.06,5963.048,51.061,4686.126,51.06,14039.866,51.06,8111.529
52.952,2282.311,52.952,5982.454,52.952,4796.682,52.952,13977.837,52.952,7988.007
54.843,2325.752,54.843,5964.777,54.843,4670.094,54.843,13922.352,54.843,8007.752
56.734,2299.89,56.734,5771.764,56.734,4728.052,56.734,13845.125,56.734,8053.979
58.625,2324.7,58.625,5903.644,58.625,4648.005,58.625,13956.334,58.625,7936.982
60.516,2276.042,60.516,5911.451,60.516,4568.823,60.516,13625.547,60.516,8012.618
