X,Y
0.000,2565.221
1.891,2521.877
3.782,2507.814
5.673,2474.827
7.565,2542.447
9.456,2486.645
11.347,2467.022
13.238,2440.314
15.129,2481.824
17.020,2465.993
18.911,2518.729
20.802,2445.116
22.694,2467.324
24.585,2476.558
26.476,2392.825
28.367,2478.266
30.258,2403.621
32.149,2357.321
34.040,2386.488
35.932,2398.941
37.823,2384.854
39.714,2387.480
41.605,2387.739
43.496,2340.845
45.387,2314.278
47.278,2369.525
49.169,2341.961
51.061,2294.288
52.952,2282.311
54.843,2325.752
56.734,2299.890
58.625,2324.700
60.516,2276.042
62.407,2274.385
64.299,2234.500
66.190,2247.493
68.081,2259.317
69.972,2256.477
71.863,2299.588
73.754,2276.043
75.645,2225.166
77.537,2236.974
79.428,2198.988
81.319,2266.472
83.210,2213.290
85.101,2200.001
86.992,2183.181
88.883,2210.096
90.774,2203.341
92.666,2160.079
94.557,2168.428
96.448,2173.222
98.339,2130.002
100.230,2112.126
102.121,2170.754
104.012,2130.981
105.904,2111.035
107.795,2160.165
109.686,2123.119
111.577,2152.043
113.468,2141.588
115.359,2145.315
117.250,2156.602
119.141,2306.985
121.033,2316.764
122.924,2280.032
124.815,2207.553
126.706,2240.078
128.597,2221.936
130.488,2193.630
132.379,2236.062
134.271,2289.422
136.162,2302.059
138.053,2217.654
139.944,2214.820
141.835,2213.153
143.726,2199.739
145.617,2184.801
147.508,2184.592
149.400,2167.673
151.291,2187.744
153.182,2248.836
155.073,2184.974
156.964,2290.135
158.855,2111.814
160.746,2140.049
162.638,2207.839
164.529,2109.187
166.420,2161.944
168.311,2192.570
170.202,2215.298
172.093,2153.531
173.984,2144.615
175.876,2182.479
177.767,2174.772
179.658,2158.234
181.549,2123.523
183.440,2122.888
185.331,2117.075
187.222,2099.700
189.113,2140.658
191.005,2076.488
192.896,2102.154
194.787,2079.533
196.678,2157.840
198.569,1989.612
200.460,2003.677
202.351,2064.928
204.243,2064.508
206.134,2056.020
208.025,2118.424
209.916,2035.393
211.807,2035.134
213.698,2051.125
215.589,1969.808
217.480,2027.077
219.372,2012.728
221.263,2061.223
223.154,1996.930
225.045,2062.797
