X,Y
0.000,4291.651
1.891,4404.918
3.782,4450.840
5.673,4357.980
7.565,4388.663
9.456,4411.118
11.347,4353.568
13.238,4386.931
15.129,4433.162
17.020,4485.731
18.911,4489.290
20.802,4455.046
22.694,4451.855
24.585,4386.615
26.476,4394.713
28.367,4317.000
30.258,4416.288
32.149,4378.844
34.040,4441.940
35.932,4518.962
37.823,4275.501
39.714,4375.596
41.605,4375.122
43.496,4340.668
45.387,4326.718
47.278,4293.165
49.169,4326.226
51.061,4304.011
52.952,4431.142
54.843,4333.262
56.734,4404.662
58.625,4404.903
60.516,4466.395
62.407,4433.358
64.299,4478.849
66.190,4397.677
68.081,4505.814
69.972,4441.069
71.863,4413.773
73.754,4367.657
75.645,4466.760
77.537,4420.541
79.428,4480.291
81.319,4634.194
83.210,4562.292
85.101,4458.518
86.992,4525.317
88.883,4522.231
90.774,4496.058
92.666,4584.171
94.557,4681.393
96.448,4614.933
98.339,4699.894
100.230,4879.136
102.121,4755.306
104.012,4718.033
105.904,4726.350
107.795,4629.946
109.686,4647.729
111.577,4579.803
113.468,4331.970
115.359,5514.747
117.250,6485.345
119.141,7102.201
121.033,7381.767
122.924,7515.827
124.815,7273.652
126.706,7285.306
128.597,7030.055
130.488,6943.106
132.379,6730.485
134.271,6565.488
136.162,6472.666
138.053,6403.514
139.944,6344.562
141.835,6121.280
143.726,6075.993
145.617,5910.832
147.508,5718.998
149.400,5766.090
151.291,5748.532
153.182,5577.433
155.073,5509.748
156.964,5372.614
158.855,5404.429
160.746,5378.313
162.638,5237.332
164.529,5206.128
166.420,5217.904
168.311,5286.008
170.202,5107.417
172.093,5107.147
173.984,5100.412
175.876,5016.380
177.767,4997.387
179.658,5026.737
181.549,4880.371
183.440,4977.246
185.331,4996.743
187.222,4912.036
189.113,4948.351
191.005,4953.979
192.896,4867.636
194.787,4898.289
196.678,4825.924
198.569,4851.432
200.460,4861.777
202.351,4805.196
204.243,4794.205
206.134,4777.500
208.025,4791.486
209.916,4740.234
211.807,4760.194
213.698,4721.244
215.589,4827.447
217.480,4762.178
219.372,4694.523
221.263,4670.224
223.154,4785.182
225.045,4741.377
