Slice,Mean
1,40.7622
2,41.3987
3,40.4890
4,41.0500
5,40.7085
6,40.8285
7,40.6060
8,40.9441
9,41.1138
10,41.2218
11,41.5133
12,40.8098
13,41.0585
14,41.3420
15,41.1497
16,41.1430
17,41.2964
18,41.2319
19,40.6369
20,40.7936
21,41.1930
22,41.5050
23,40.9269
24,40.6192
25,40.7376
26,41.2162
27,40.6686
28,40.8025
29,40.1290
30,40.6296
31,40.0717
32,40.6379
33,40.1125
34,39.9724
35,40.1678
36,40.3108
37,39.9524
38,40.8252
39,40.5466
40,41.1861
41,40.3429
42,40.3491
43,40.0926
44,40.3090
45,39.4532
46,39.8229
47,39.9258
48,39.6221
49,40.2291
50,39.1542
51,39.5797
52,40.4599
53,39.3027
54,39.6915
55,36.2845
56,36.3365
57,30.9033
58,32.6762
59,39.1027
60,39.4890
61,36.5513
62,35.6883
63,39.5164
64,39.6895
65,39.3066
66,39.2517
67,39.6791
68,39.3880
69,39.4384
70,39.1140
71,39.7117
72,39.2251
73,39.7522
74,39.3575
75,39.6752
76,40.1663
77,39.8226
78,39.1976
79,40.1408
80,39.7442
81,39.8197
82,39.8859
83,39.2635
84,39.7074
85,38.8279
86,39.0327
87,39.0671
88,39.4506
89,39.3905
90,38.6702
91,39.6808
92,39.1691
93,39.1258
94,39.3600
95,39.5851
96,39.3135
97,39.6992
98,39.7247
99,39.1576
100,39.5224
101,38.9819
102,39.1475
103,39.1264
104,39.0071
105,39.2670
106,38.7617
107,38.8751
108,38.7685
109,39.0607
110,38.3900
111,39.0849
112,38.6968
113,38.8173
114,39.1931
115,39.3342
116,39.2931
117,39.2253
118,39.3466
119,39.1967
120,38.7680
121,38.9779
122,38.5734
123,38.9121
124,38.9685
125,38.9548
126,39.2449
127,39.2025
128,39.0176
129,38.8957
130,38.7295
131,38.9825
132,38.6206
133,39.1167
134,38.9551
135,38.3366
136,38.1222
137,38.0623
138,38.8580
139,38.2693
140,38.8788
141,38.9458
142,38.2969
143,38.3925
144,38.6593
145,38.7144
146,38.1600
147,38.6554
148,38.6271
149,38.2629
150,38.3112
151,38.7202
152,37.8807
153,38.7209
154,38.1385
155,38.6972
156,38.4726
157,38.3831
158,38.2099
159,38.1994
160,38.0242
161,37.8355
162,38.2861
163,38.0065
164,37.8836
165,37.9292
166,38.2459
167,37.9138
168,38.3689
169,38.5963
170,38.2562
171,38.7376
172,37.8102
173,37.4902
174,38.1917
175,38.2346
176,38.2786
177,38.3650
178,38.6509
179,37.9647
180,37.5341
181,37.8807
182,38.3199
183,38.7996
184,37.9941
185,38.7586
186,38.4243
187,38.1017
188,38.2705
189,37.8700
190,37.7199
191,37.8454
192,38.2564
193,37.7337
194,37.7948
195,38.3952
196,37.1456
197,37.6794
198,38.3775
199,37.6056
200,37.8664
201,37.6872
202,37.4149
203,37.7976
204,38.3396
205,37.5246
206,38.4163
207,38.1845
208,37.7711
209,37.6032
210,38.2303
211,37.5242
212,37.3923
213,38.1441
214,37.9981
215,37.5733
216,37.3831
217,38.1726
218,37.9961
219,37.6052
220,37.6969
221,37.9443
222,38.0427
223,37.9615
224,37.4588
225,37.6953
226,37.3460
227,37.9699
228,38.1709
229,38.0981
230,38.2954
231,37.7127
232,37.7586
233,37.5375
234,38.3662
235,37.4102
236,37.4965
237,37.6259
238,37.8040
239,38.1571
240,37.7904
241,37.7689
242,37.5369
243,37.9212
244,37.9030
245,37.6807
246,37.7943
247,37.7933
248,37.6536
249,37.7097
250,37.6323
251,37.7821
252,37.3852
253,37.7851
254,37.4242
255,37.7270
256,38.0023
257,38.1997
258,37.2841
259,37.3126
260,37.6538
261,37.9670
262,37.4026
263,37.9783
264,37.7496
265,37.6376
266,37.3566
267,37.5999
268,37.6318
269,37.7601
270,37.6055
271,37.6168
272,37.2013
273,36.8815
274,37.7761
275,37.5693
276,37.4378
277,37.5519
278,37.7803
279,37.5075
280,37.6037
281,37.2204
282,37.6584
283,37.1331
284,37.8556
285,37.3448
286,37.3595
287,37.8204
288,37.8153
289,37.5154
290,37.1001
291,37.7062
292,37.6121
293,37.5085
294,37.4701
295,38.2787
296,37.8689
297,37.4338
298,37.9190
299,38.1234
300,36.9807
301,37.4244
302,37.4569
303,37.1174
304,37.9130
305,37.3810
306,37.6662
307,37.8409
308,37.7131
309,37.5299
310,37.6320
311,37.4581
312,37.8872
313,37.2762
314,37.4367
315,37.5795
316,37.7099
317,38.3636
318,37.5120
319,37.8438
320,37.9401
321,37.5430
322,37.5986
323,38.2393
324,37.7567
325,37.7947
326,37.9358
327,37.7123
328,37.4177
329,37.8974
330,37.7498
331,37.6253
332,37.5912
333,37.5583
334,37.8585
335,38.2998
336,37.8174
337,37.8981
338,38.0961
339,37.9192
340,37.8869
341,37.4405
342,37.8953
343,37.9459
344,38.2601
345,37.7404
346,38.4201
347,38.2433
348,37.8461
349,38.3289
350,38.7569
351,38.4809
352,39.0055
353,38.9459
354,39.4576
355,38.9553
356,39.2338
357,38.9881
358,39.4991
359,39.8556
360,39.7867
361,39.2980
362,39.7483
363,39.5672
364,39.9972
365,39.4310
366,39.1957
367,39.4364
368,40.2131
369,39.2058
370,39.6508
371,39.7129
372,39.8854
373,39.8717
374,40.6754
375,40.8223
376,41.6111
377,41.4534
378,42.5811
379,42.8670
380,43.5839
381,44.2624
382,45.0249
383,46.2811
384,46.5901
385,47.5723
386,48.2633
387,49.2020
388,49.4807
389,50.7030
390,50.8087
391,51.3206
392,52.2112
393,52.5480
394,53.0550
395,53.9456
396,53.5908
397,53.9071
398,54.3854
399,54.6242
400,54.9675
401,54.9660
402,55.3256
403,55.2629
404,55.5307
405,55.3925
406,55.7393
407,55.6964
408,55.5610
409,56.2656
410,55.3833
411,55.6640
412,56.0781
413,56.0525
414,56.3855
415,56.6250
416,55.9545
417,55.9986
418,56.2960
419,56.5347
420,56.1237
421,56.2475
422,56.0463
423,55.8014
424,56.1122
425,56.0095
426,55.7271
427,55.8849
428,56.0895
429,56.3774
430,56.0957
431,55.8541
432,55.4923
433,56.1500
434,55.8710
435,56.0901
436,55.6797
437,55.5490
438,55.9337
439,55.7343
440,55.5505
441,55.8110
442,55.7371
443,55.2493
444,55.6407
445,55.5867
446,55.5192
447,55.3621
448,55.0969
449,55.0091
450,54.8044
451,55.6446
452,55.2424
453,55.0621
454,54.9450
455,54.8422
456,54.7302
457,54.8332
458,55.1288
459,54.2622
460,54.5152
461,54.5242
462,54.3059
463,54.6424
464,54.6145
465,54.4591
466,54.0247
467,54.2721
468,54.6667
469,54.8007
470,53.9454
471,54.4813
472,54.3457
473,54.4284
474,53.9307
475,54.1095
476,54.2425
477,54.0949
478,54.2920
479,54.2055
480,53.8016
481,53.9571
482,53.7564
483,53.6454
484,53.3907
485,54.6566
486,53.5600
487,52.9421
488,54.0534
489,54.0083
490,53.3220
491,53.5943
492,53.7018
493,53.1459
494,53.3340
495,53.4399
496,53.5705
497,54.1230
498,53.3910
499,53.2634
500,53.6174
501,53.2304
502,52.9510
503,53.3405
504,52.4447
505,53.4411
506,53.2329
507,53.5092
508,53.1625
509,53.3229
510,53.3915
511,53.4722
512,53.6566
513,53.7325
514,53.2892
515,52.6895
516,53.3327
517,52.5485
518,52.8221
519,52.8206
520,52.3650
521,52.5191
522,52.9453
523,52.4955
524,52.6230
525,52.6287
526,52.6572
527,52.9754
528,52.6533
529,52.7850
530,52.6290
531,52.3026
532,52.3130
533,52.8747
534,52.6707
535,52.2390
536,51.7119
537,52.1003
538,52.4295
539,52.6661
540,52.2878
541,52.5232
542,52.5287
543,52.2549
544,52.1136
545,52.3308
546,52.0406
547,52.0119
548,52.4672
549,52.1370
550,51.8114
551,52.1643
552,51.7960
553,51.9825
554,51.9491
555,51.4390
556,51.7853
557,51.5188
558,51.2431
559,51.6615
560,51.1996
561,51.4882
562,51.2902
563,51.9330
564,51.5789
565,51.1182
566,51.2170
567,51.3113
568,50.9506
569,51.4939
570,51.2713
571,51.5545
572,51.4914
573,51.4753
574,51.6922
575,51.2158
576,51.0438
577,51.1981
578,51.4853
579,51.3033
580,51.7398
581,51.7510
582,51.2296
583,50.9406
584,51.0772
585,50.9317
586,50.0706
587,50.7541
588,50.7046
589,50.4397
590,51.4054
591,50.2380
592,50.6932
593,50.1563
594,50.4229
595,50.2072
596,50.4462
597,50.1739
598,50.3485
599,50.1863
600,50.3505
601,50.7979
602,50.2338
603,50.3590
604,50.6388
605,50.1090
606,50.7399
607,50.3283
608,49.8474
609,49.8145
610,49.4352
611,49.4329
612,49.5539
613,49.9766
614,50.1022
615,50.1208
616,50.1862
617,49.9952
618,49.9594
619,50.9409
620,49.9545
621,50.0225
622,49.7282
623,50.0562
624,49.4504
625,50.0277
626,50.1575
627,49.7955
628,49.2842
629,49.5608
630,49.9321
631,50.0266
632,49.1611
633,49.6047
634,49.1637
635,50.2006
636,49.8119
637,50.3201
638,49.6218
639,49.5477
640,49.5055
641,49.8498
642,49.6319
643,49.2721
644,49.3227
645,49.2084
646,49.6757
647,49.5911
648,49.5466
649,49.3240
650,49.8563
651,49.5293
652,49.2675
653,49.9016
654,49.0227
655,49.6934
656,49.3678
657,49.5316
658,48.7954
659,49.3342
660,48.7270
661,49.3007
662,49.0186
663,49.3458
664,49.3230
665,49.2735
666,49.2590
667,48.7434
668,48.5156
669,49.3672
670,48.7972
671,49.1441
672,48.3643
673,49.0135
674,48.5530
675,49.0464
676,48.8014
677,48.7580
678,48.6118
679,48.4835
680,48.5670
681,48.6564
682,48.9856
683,49.1373
684,48.3990
685,48.4376
686,48.9989
687,48.4654
688,48.5997
689,48.3789
690,48.6485
691,48.4681
692,48.0323
693,48.4111
694,48.0424
695,48.6660
696,48.0700
697,48.5869
698,48.4392
699,48.3731
700,47.8852
701,48.7033
702,48.7108
703,48.2359
704,48.6790
