,condition,passive,rate,int_cl,int_ol,rate_ol,struggle_rate
0,control,25.82391103,0.350324374,8.235773834,9.476858409,0.350324374,0.104378462
1,control,13.45078777,0.518813716,9.387841246,7.626826715,0.518813716,0.070391173
2,control,36.15013902,0.201853568,12.1645348,9.059274257,0.201853568,0.011111111
3,control,19.79165894,0.261909175,,5.873120171,0.261909175,0.047199701
4,control,31.89696071,0.236842105,10.71145602,5.017699151,0.236842105,0
5,control,6.441438102,0.542068199,4.456080931,4.679726735,0.542068199,0.015364208
7,ketamine,3.349768304,0.767377201,3.845442716,5.361161669,0.527988879,0.082441725
8,ketamine,0,1.010936052,2.029819268,3.570413737,0.849953661,0.026600674
9,ketamine,0,0.937187326,3.58773387,4.404270022,1.071428571,0.060593345
10,ketamine,1.824684952,0.717197924,,3.777089803,0.608784285,0.061496643
11,ketamine,0,0.994069681,2.900102035,7.149383033,0.559581171,0.620566546
