X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,13322.97,0,5934.035,0,5258.334,0,8676.318,0,7330.589,0,10043.63,0,7472.199
0.946,13332.474,0.946,5955.378,0.946,5445.742,0.946,8513.304,0.946,7737.273,0.946,10147.379,0.946,7428.873
1.891,13202.947,1.891,5897.731,1.891,5318.006,1.891,8684.262,1.891,7623.956,1.891,10204.979,1.891,7496.249
2.837,13541.91,2.837,5904.909,2.837,5450.274,2.837,8653.946,2.837,7789.487,2.837,10123.599,2.837,7456.836
3.782,13588.274,3.782,5902.954,3.782,5494.706,3.782,8471.211,3.782,7501.32,3.782,10103.082,3.782,7433.518
4.728,13142.737,4.728,5847.199,4.728,5396.805,4.728,8621.752,4.728,7596.658,4.728,10057.477,4.728,7374.31
5.673,12940.896,5.673,5919.729,5.673,5416.981,5.673,8732.428,5.673,7580.302,5.673,10199.428,5.673,7375.726
6.619,13172.975,6.619,5931.6,6.619,5436.053,6.619,7503.361,6.619,7644.105,6.619,9990.985,6.619,7396.624
7.564,13213.463,7.564,5826.816,7.564,5239.568,7.564,8809.072,7.564,7617.904,7.564,10060.408,7.565,7373.561
8.51,13192.962,8.51,5870.738,8.51,5341.291,8.51,8759.212,8.51,7793.789,8.51,10218.169,8.51,7411.927
9.456,13203.036,9.456,5858.161,9.456,5413.303,9.456,9062.706,9.456,7702.123,9.456,10151.286,9.456,7354.707
10.401,13156.707,10.401,5861.535,10.401,5413.439,10.401,8945.845,10.401,7615.316,10.401,10031.295,10.401,7359.232
11.347,13061.33,11.347,5785.68,11.347,5502.903,11.347,9212.147,11.347,7747.881,11.347,10057.785,11.347,7404.59
12.292,13188.117,12.292,5815.963,12.292,5562.597,12.292,9357.884,12.292,7646.54,12.292,10048.825,12.292,7396.653
13.238,13226.763,13.238,5852.816,13.238,5452.666,13.238,9817.707,13.238,7756.898,13.238,10123.77,13.238,7335.406
14.183,13186.154,14.183,5780.416,14.183,5632.651,14.183,9906.925,14.183,7589.644,14.183,10091.182,14.183,7425.763
15.129,13343.885,15.129,5817.74,15.129,5414.587,15.129,9913.897,15.129,7700.673,15.129,9997.797,15.129,7303.607
16.075,13325.814,16.075,5836.029,16.075,5356.192,16.075,10076.181,16.075,7875.319,16.075,9966.054,16.075,7338.844
17.02,13024.535,17.02,5821.106,17.02,5391.604,17.02,10114.69,17.02,7737.723,17.02,10097.595,17.02,7426.44
17.966,12882.314,17.966,5790.013,17.966,5709.324,17.966,9923.7,17.966,7574.117,17.966,10042.763,17.966,7290.898
18.911,13054.611,18.911,5794.675,18.911,5438.548,18.911,9950.833,18.911,7479.952,18.911,10099.554,18.911,7271.869
19.857,12987.335,19.857,5836.389,19.857,5518.047,19.857,10077.283,19.857,7679.42,19.857,9980.85,19.857,7385.234
