X,Y
0.000,13228.181
0.946,13193.707
1.891,13185.493
2.837,13268.858
3.782,13193.414
4.728,13036.466
5.673,12973.439
6.619,13079.260
7.564,13121.540
8.510,13081.042
9.456,13099.859
10.401,13061.657
11.347,13004.640
12.292,13039.745
13.238,13066.042
14.183,13049.927
15.129,13131.692
16.075,13140.438
17.020,12868.706
17.966,12878.384
18.911,13086.260
19.857,12983.905
20.802,13087.805
21.748,13065.470
22.693,12954.277
23.639,13002.231
24.585,13064.042
25.530,12959.838
26.476,13049.949
27.421,12929.999
28.367,12890.497
29.312,13024.959
30.258,12919.636
31.204,12923.903
32.149,12825.408
33.095,12891.524
34.040,13020.819
34.986,12886.306
35.931,12793.108
36.877,12876.064
37.822,12966.678
38.768,12892.351
39.714,12872.581
40.659,12805.073
41.605,12965.735
42.550,12881.449
43.496,12805.798
44.441,12711.260
45.387,12730.671
46.333,12926.596
47.278,12752.095
48.224,12743.905
49.169,12675.022
50.115,12577.393
51.060,12394.936
52.006,12715.023
52.951,12621.967
53.897,12721.407
54.843,12812.821
55.788,12774.419
56.734,12712.381
57.679,12773.158
58.625,12695.706
59.570,12737.584
60.516,12758.809
61.462,12681.033
62.407,12606.442
63.353,12623.204
64.298,12675.118
65.244,12720.600
66.189,12568.862
67.135,12657.308
68.080,12705.684
69.026,12564.418
69.972,12550.146
70.917,12559.244
71.863,12537.715
72.808,12535.802
73.754,12577.016
74.699,12544.251
75.645,12479.065
76.590,12680.702
77.536,12457.285
78.482,12369.353
79.427,12525.929
80.373,12554.599
81.318,12550.675
82.264,12494.160
83.209,12515.897
84.155,12545.710
85.101,12546.532
86.046,12448.766
86.992,12406.524
87.937,12612.879
88.883,12472.993
89.828,12444.958
90.774,12519.365
91.719,12437.889
92.665,12428.099
93.611,12403.748
94.556,12386.688
95.502,12452.440
96.447,12378.799
97.393,12337.688
98.338,12368.617
99.284,12326.509
100.230,12406.753
101.175,12335.070
102.121,12546.020
103.066,12346.328
104.012,12383.566
104.957,12285.486
105.903,12297.854
106.848,12187.524
107.794,12136.564
108.740,12179.208
109.685,12194.184
110.631,12148.601
111.576,12271.332
112.522,12371.825
113.467,12145.466
114.413,12249.562
115.359,12210.557
116.304,12119.281
117.250,12147.409
118.195,12183.348
119.141,12234.425
120.086,12219.411
121.032,12211.714
121.977,12243.581
122.923,12142.958
123.869,12183.841
124.814,12168.613
125.760,12190.215
126.705,12218.193
127.651,12149.369
128.596,12167.165
129.542,12134.745
130.488,12248.601
131.433,12004.238
132.379,12132.636
133.324,12142.466
134.270,12151.438
135.215,12039.355
136.161,12070.064
137.106,12094.551
138.052,11982.425
138.998,12162.611
139.943,12093.974
140.889,12137.364
141.834,11985.235
142.780,12076.659
143.725,12033.696
144.671,11959.305
145.616,12085.508
146.562,11936.442
147.508,12020.454
148.453,11987.392
149.399,12000.057
150.344,12053.864
151.290,11871.265
152.235,11971.638
153.181,11997.562
