X,Y
0.000,1425.433
0.946,1423.855
1.891,1476.641
2.837,1404.730
3.782,1421.253
4.728,1075.734
5.673,1475.135
6.619,1164.422
7.564,2970.028
8.510,1692.824
9.456,1615.906
10.401,1824.816
11.347,1713.794
12.292,1779.176
13.238,1774.674
14.183,1744.695
15.129,1762.543
16.075,1742.368
17.020,1743.149
17.966,1746.802
18.911,1717.728
19.857,1709.228
20.802,1651.005
21.748,1615.316
22.693,1639.203
23.639,1611.506
24.585,1390.780
25.530,1496.773
26.476,1575.035
27.421,1529.767
28.367,1618.400
29.312,1605.099
30.258,1520.458
31.204,1628.066
32.149,1332.135
33.095,1597.384
34.040,1633.721
34.986,1346.784
35.931,1600.256
36.877,1548.612
37.822,1620.506
38.768,1564.320
39.714,1642.056
40.659,1622.912
41.605,1542.519
42.550,1595.021
43.496,1620.598
44.441,1602.428
45.387,1594.274
46.333,1592.199
47.278,1658.357
48.224,1634.330
49.169,1548.802
50.115,1599.119
51.060,1605.486
52.006,1626.235
52.951,1604.514
53.897,1635.102
54.843,1778.830
55.788,1638.048
56.734,1611.416
57.679,1495.318
58.625,1650.899
59.570,1652.523
60.516,1635.222
61.462,1607.751
62.407,1611.779
63.353,1603.058
64.298,1649.855
65.244,1615.628
66.189,1353.114
67.135,1667.889
68.080,1634.482
69.026,1610.315
69.972,1653.675
70.917,1680.942
71.863,1639.522
72.808,1638.516
73.754,1615.062
74.699,1696.408
75.645,1690.245
76.590,1558.378
77.536,1614.470
78.482,1530.829
79.427,1425.239
80.373,1688.161
81.318,1651.797
82.264,1778.083
83.209,1678.439
84.155,1676.010
85.101,1454.479
86.046,1658.762
86.992,1325.554
87.937,1363.743
88.883,1643.809
89.828,1674.896
90.774,1703.845
91.719,1822.038
92.665,1827.255
93.611,1656.946
94.556,1670.024
95.502,1515.635
96.447,1693.551
97.393,1682.027
98.338,1735.061
99.284,1773.702
100.230,1627.288
101.175,1678.192
102.121,1873.421
103.066,1661.618
104.012,1636.465
104.957,1666.570
105.903,1651.737
106.848,1679.532
107.794,971.054
108.740,1504.494
109.685,1303.575
110.631,1509.129
111.576,1628.508
112.522,1422.281
113.467,1621.113
114.413,1409.940
115.359,1677.396
116.304,1646.665
117.250,1657.959
118.195,1663.120
119.141,1656.920
120.086,1508.881
121.032,1692.884
121.977,1574.191
122.923,1705.850
123.869,1830.299
124.814,1772.019
125.760,1709.197
126.705,1643.296
127.651,1648.182
128.596,1716.994
129.542,1737.553
130.488,1818.577
131.433,1642.741
132.379,1661.702
133.324,1703.976
134.270,1703.558
135.215,2003.916
136.161,1761.048
137.106,1762.994
138.052,1741.926
138.998,1699.370
139.943,1627.200
140.889,1741.904
141.834,1728.586
142.780,1855.949
143.725,1489.421
144.671,1729.996
145.616,1765.338
146.562,1688.333
147.508,1742.052
148.453,1873.096
149.399,1846.397
150.344,1724.470
151.290,1768.313
152.235,1785.552
153.181,1845.554
154.127,1803.307
155.072,1841.912
156.018,2085.391
156.963,1834.703
157.909,2554.581
158.854,1816.203
159.800,1830.757
160.745,1592.677
161.691,1837.315
162.637,1795.461
163.582,1752.488
164.528,1441.055
165.473,1554.455
166.419,1789.133
167.364,1862.257
168.310,1587.755
169.256,1770.517
170.201,1721.491
171.147,1756.065
172.092,1680.012
173.038,1772.969
173.983,1786.731
174.929,1769.937
175.874,1825.179
176.820,1778.241
177.766,1523.979
178.711,1844.909
179.657,1733.938
180.602,1880.827
181.548,1860.588
182.493,1379.612
183.439,1752.103
184.385,1862.740
185.330,1794.739
186.276,1893.565
187.221,1637.754
188.167,1870.099
189.112,1823.395
190.058,1870.025
191.003,1884.314
191.949,1949.787
192.895,1757.648
193.840,1876.231
194.786,1803.187
195.731,1831.953
196.677,1769.126
197.622,1849.020
198.568,1915.846
199.513,1629.481
200.459,1236.029
201.405,1678.069
202.350,1679.143
203.296,1663.919
204.241,1785.061
205.187,1722.568
206.132,1829.053
207.078,1886.708
208.024,1495.007
208.969,1904.349
209.915,1817.064
210.860,1666.698
211.806,1866.391
212.751,1921.562
213.697,1535.113
214.642,1814.165
215.588,1838.996
216.534,1898.764
217.479,1926.030
218.425,1671.143
219.370,1913.119
220.316,1981.553
221.261,1973.609
222.207,1994.288
223.153,1932.422
224.098,1735.580
225.044,1895.984
225.989,2108.352
226.935,1965.151
227.880,2193.500
228.826,1992.383
229.771,1983.467
230.717,1925.311
231.663,1985.328
232.608,1926.080
233.554,1940.325
234.499,1521.600
235.445,1811.069
236.390,1893.087
237.336,1984.479
238.282,1972.092
239.227,1703.361
240.173,1895.118
241.118,1937.060
242.064,1332.460
243.009,1717.207
243.955,1697.380
244.900,1832.410
245.846,1559.001
246.792,2198.647
247.737,2913.532
248.683,2240.272
249.628,2131.604
250.574,2141.627
251.519,2166.164
252.465,2365.367
253.411,2209.177
254.356,1581.498
255.302,1717.752
256.247,1798.321
257.193,1916.878
258.138,2050.410
259.084,2133.462
260.029,2207.780
260.975,2238.135
261.921,2239.815
262.866,2249.190
263.812,2265.625
264.757,2108.000
265.703,2218.360
266.648,2173.831
267.594,2195.161
268.539,2253.324
269.485,2213.711
270.431,2092.128
271.376,2095.357
272.322,2144.129
273.267,2100.302
274.213,2024.699
275.158,2132.260
276.104,2107.819
277.050,1916.855
277.995,2178.097
278.941,1966.224
279.886,2146.370
280.832,2091.017
281.777,2118.259
282.723,1939.740
283.668,2159.193
284.614,2035.065
285.560,2124.862
286.505,2092.533
287.451,2060.562
288.396,2150.194
289.342,2111.459
290.287,2198.213
291.233,2242.358
292.179,1724.552
293.124,2174.122
294.070,2119.524
295.015,2100.918
295.961,2033.115
296.906,2165.911
297.852,2020.934
298.797,2136.885
299.743,2200.291
300.689,2131.922
301.634,2162.701
302.580,2136.163
303.525,2086.356
304.471,1626.173
305.416,2126.017
306.362,1763.773
307.308,2136.183
308.253,1798.569
309.199,2127.565
310.144,2074.966
311.090,2121.566
312.035,2129.203
312.981,2311.134
313.926,1652.669
314.872,2100.189
315.818,2031.121
316.763,2132.578
317.709,1833.561
318.654,2084.802
319.600,1699.518
320.545,2124.730
321.491,2083.606
322.436,1890.398
323.382,2051.325
324.328,2089.203
325.273,1967.009
326.219,1955.630
327.164,1894.780
328.110,2101.010
329.055,2042.406
330.001,2086.391
330.947,1972.918
331.892,2090.311
332.838,2092.999
333.783,2141.327
334.729,2096.414
335.674,2372.838
336.620,2166.905
337.565,2465.796
338.511,2183.425
339.457,2112.055
340.402,1755.780
341.348,2053.743
342.293,2133.611
343.239,2083.998
344.184,2023.439
345.130,2120.883
346.076,2218.884
347.021,2192.092
347.967,1705.687
348.912,2078.407
349.858,1825.424
350.803,1995.436
351.749,1821.812
352.694,1954.114
353.640,2077.888
354.586,2032.514
355.531,2047.484
356.477,2083.419
357.422,2156.110
358.368,2086.856
359.313,2144.453
360.259,1784.465
361.205,2201.694
362.150,2165.609
363.096,2247.397
364.041,2112.864
364.987,2245.989
365.932,2244.522
366.878,2245.642
367.823,2263.934
368.769,2202.649
369.715,2222.923
370.660,1692.167
371.606,2225.785
372.551,2134.596
373.497,1984.293
374.442,2244.626
375.388,2229.299
376.334,2253.553
377.279,2232.119
378.225,2210.934
379.170,2278.479
380.116,2165.199
381.061,2206.601
382.007,2186.016
382.952,2481.380
383.898,2143.836
384.844,2124.365
385.789,2172.543
386.735,2130.979
387.680,1833.830
388.626,2227.172
389.571,2232.825
390.517,2233.683
391.462,1924.964
392.408,2373.586
393.354,2073.976
394.299,1816.607
395.245,2176.552
396.190,1787.513
397.136,2194.187
398.081,2220.868
399.027,1615.426
399.973,2236.205
400.918,2197.279
401.864,2150.605
402.809,2169.281
403.755,2218.402
404.700,2148.221
405.646,2288.988
406.591,2260.824
407.537,1975.339
408.483,2658.577
409.428,2651.662
410.374,2608.806
411.319,2653.513
412.265,2616.664
413.210,2410.755
414.156,2562.585
415.102,1849.324
416.047,1921.826
416.993,2237.896
417.938,2382.855
418.884,2379.531
419.829,2343.382
420.775,2376.901
421.720,2300.825
422.666,2264.745
423.612,2227.763
424.557,2272.025
425.503,2290.896
426.448,1679.571
427.394,2330.249
428.339,2328.139
429.285,2316.772
430.231,2241.450
431.176,2249.876
432.122,2238.977
433.067,2135.331
434.013,2313.391
434.958,2331.237
435.904,2754.533
436.849,2129.040
437.795,2247.062
438.741,2294.559
439.686,2265.400
440.632,2287.124
441.577,1900.855
442.523,2121.434
443.468,2190.890
444.414,2111.196
445.359,2248.902
446.305,2148.047
447.251,2097.306
448.196,2316.024
449.142,2178.607
450.087,2251.060
451.033,2268.288
451.978,2230.837
452.924,2270.390
453.870,2157.035
454.815,2139.000
455.761,2234.873
456.706,2253.512
457.652,2219.174
458.597,2061.288
459.543,2223.687
460.488,2207.017
461.434,2155.151
462.380,2143.950
463.325,2143.900
464.271,1998.556
465.216,2113.940
466.162,2119.434
467.107,2031.326
468.053,2161.017
468.999,1811.142
469.944,2164.034
470.890,1755.021
471.835,2108.853
472.781,2228.239
473.726,2158.656
474.672,2127.102
475.617,2109.875
476.563,2117.809
477.509,2147.638
478.454,2109.522
479.400,1938.601
480.345,2110.099
481.291,2134.010
482.236,2155.823
483.182,1964.741
484.128,2116.112
485.073,2140.140
486.019,1979.786
486.964,2068.788
487.910,2026.071
488.855,2100.756
489.801,2052.944
490.746,1623.634
491.692,1938.007
492.638,1988.359
493.583,1826.948
494.529,1993.127
495.474,2122.474
496.420,2312.759
497.365,2103.444
498.311,2177.694
499.257,1962.322
500.202,1686.580
501.148,2103.602
502.093,2123.172
503.039,2014.262
503.984,2079.407
504.930,1974.669
505.875,2448.915
506.821,1996.151
507.767,1376.915
508.712,1927.548
509.658,2024.483
510.603,2060.974
511.549,1938.287
512.494,2054.103
513.440,2729.564
514.385,1834.714
515.331,1985.652
516.277,2527.506
517.222,1953.815
518.168,2095.807
519.113,1978.666
520.059,2010.346
521.004,1739.579
521.950,1677.084
522.896,2096.031
523.841,1510.023
524.787,1743.087
525.732,1520.106
526.678,1963.554
527.623,2044.927
528.569,2010.788
529.514,1890.999
530.460,2025.308
531.406,2017.662
532.351,2005.816
533.297,2012.728
534.242,2586.115
535.188,1903.095
536.133,1915.776
537.079,1980.667
538.025,1919.530
538.970,2067.723
539.916,2087.481
540.861,2277.314
541.807,2075.208
542.752,2266.483
543.698,2107.505
544.643,2127.116
545.589,2159.893
546.535,1502.551
547.480,2035.420
548.426,1950.366
549.371,1775.577
550.317,2125.904
551.262,1848.155
552.208,2043.097
553.154,1961.387
554.099,2206.132
555.045,1408.723
555.990,1691.160
556.936,1847.231
557.881,1854.994
558.827,1443.765
559.772,1896.037
560.718,1918.212
561.664,1738.703
562.609,1964.103
563.555,1971.901
564.500,1956.085
565.446,2039.788
566.391,2024.245
567.337,1947.986
568.283,1937.159
569.228,2028.328
570.174,2029.573
571.119,2182.579
572.065,1983.821
573.010,2071.841
573.956,1670.425
574.901,2060.207
575.847,2066.868
576.793,2072.929
577.738,2013.849
578.684,2020.073
579.629,2020.780
580.575,2054.256
581.520,1929.941
582.466,2084.306
583.411,2020.750
584.357,1527.038
585.303,1927.870
586.248,1990.319
587.194,1686.342
588.139,2006.941
589.085,1916.830
590.030,2119.077
590.976,1490.342
591.922,1951.909
592.867,1842.644
593.813,1886.733
594.758,1831.889
595.704,1996.876
596.649,1936.474
597.595,2001.685
598.540,1584.681
599.486,2048.897
600.432,2836.481
601.377,1892.844
602.323,1991.941
603.268,1594.382
604.214,2053.875
605.159,2221.910
606.105,2082.365
607.051,2039.122
607.996,1940.222
608.942,2050.586
609.887,2041.151
610.833,1996.364
611.778,1885.659
612.724,2007.261
613.669,2018.686
614.615,1954.695
615.561,1521.673
616.506,1717.043
617.452,1822.817
618.397,1572.175
619.343,2104.647
620.288,1973.121
621.234,1886.642
622.180,1976.423
623.125,2002.048
624.071,1939.692
625.016,1837.728
625.962,1927.224
626.907,1770.557
627.853,1899.307
628.798,1809.540
629.744,1529.451
630.690,1923.709
631.635,1361.535
632.581,1870.857
633.526,1983.144
634.472,1968.136
635.417,1813.417
636.363,2027.380
637.309,1998.196
638.254,1759.263
639.200,1953.647
640.145,1797.140
641.091,1534.060
642.036,1912.300
642.982,1912.554
643.927,895.587
644.873,2350.105
645.819,2898.887
646.764,3090.082
647.710,3412.147
648.655,2903.703
649.601,2177.278
650.546,2852.514
651.492,2684.838
652.438,1971.314
653.383,2957.148
654.329,2088.677
655.274,1995.832
656.220,1823.892
657.165,1572.664
658.111,1346.079
659.056,1314.933
660.002,1298.522
660.948,1336.291
661.893,1412.033
662.839,1437.425
663.784,1490.648
664.730,1535.519
665.675,1594.363
666.621,1768.183
667.566,1864.902
668.512,2008.632
669.458,2032.171
670.403,2160.683
671.349,2282.993
672.294,2264.755
673.240,2236.791
674.185,2318.342
675.131,2305.854
676.077,2287.540
677.022,2142.621
677.968,2285.264
678.913,1846.827
679.859,2282.416
680.804,2235.122
681.750,1694.625
682.695,2208.802
683.641,2304.154
684.587,2340.859
685.532,2207.198
686.478,2308.680
687.423,1601.132
688.369,2198.713
689.314,2176.411
690.260,2248.360
691.206,2200.220
692.151,2024.944
693.097,2189.869
694.042,2228.108
694.988,2191.887
695.933,2236.627
696.879,1982.169
697.824,2146.338
698.770,1554.370
699.716,2066.090
700.661,2123.212
701.607,2151.363
702.552,2157.218
703.498,1767.790
704.443,1722.960
705.389,2097.316
706.335,2200.962
707.280,2165.325
708.226,2145.124
709.171,1815.312
710.117,2123.130
711.062,2140.240
712.008,2042.281
712.953,3000.092
713.899,2286.568
714.845,2130.272
715.790,2142.675
716.736,2096.101
717.681,1984.301
718.627,2063.609
719.572,1759.538
720.518,1999.918
721.464,2114.994
722.409,1709.426
723.355,2053.719
724.300,2074.799
725.246,2135.123
726.191,1789.866
727.137,2061.557
728.082,1523.377
729.028,1461.632
729.974,1932.593
730.919,1993.244
731.865,1653.515
732.810,2031.144
733.756,2080.985
734.701,1786.638
735.647,2099.683
736.592,2154.224
737.538,2109.240
738.484,1639.166
739.429,2007.685
740.375,2050.334
741.320,2085.578
742.266,1652.446
743.211,2064.507
744.157,1905.294
745.103,2132.347
746.048,1411.902
746.994,2005.765
747.939,1911.349
748.885,1875.278
749.830,2032.835
750.776,1875.838
751.721,1971.231
752.667,2027.620
753.613,1693.172
754.558,2072.002
755.504,2102.197
756.449,1786.295
757.395,2079.646
758.340,2022.586
759.286,2001.154
760.232,1741.264
761.177,1940.297
762.123,1990.323
763.068,1908.127
764.014,1869.257
764.959,1923.584
765.905,1914.676
766.850,1887.236
767.796,1901.230
768.742,2072.625
769.687,2040.126
770.633,2132.366
771.578,2027.246
772.524,2365.909
773.469,1939.172
774.415,1930.972
775.360,1384.863
776.306,1834.385
777.252,1805.332
778.197,1935.446
779.143,1510.506
780.088,1919.479
781.034,1857.614
781.979,1979.081
782.925,1839.164
783.871,1702.902
784.816,1890.462
785.762,1917.320
786.707,1996.783
787.653,1757.594
788.598,1741.600
789.544,1950.309
790.490,1784.805
791.435,1911.606
792.381,1967.044
793.326,1895.100
794.272,1929.496
795.217,1914.214
796.163,1866.133
797.108,1957.390
798.054,1543.698
799.000,1943.297
799.945,1828.020
800.891,1836.596
801.836,1968.509
802.782,1593.106
803.727,1969.992
804.673,1742.600
805.618,1731.451
806.564,1911.709
807.510,1510.813
808.455,1478.162
809.401,1743.217
810.346,1818.949
