X,Y,X,Y,X,Y,X,Y
0,15767.553,0,12206.514,0,21479.25,0,6524.541
0.946,15659.818,0.946,12037.729,0.946,21467.664,0.946,6369.079
1.891,15732.117,1.891,12241.001,1.891,21654.82,1.891,6493.353
2.837,15710.293,2.837,12039.077,2.837,21525.42,2.837,6516.783
3.782,15738.688,3.782,12242.051,3.782,21339.631,3.782,6477.15
4.728,15551.943,4.728,11981.758,4.728,21325.115,4.728,6652.619
5.673,15636.523,5.673,11970.826,5.673,21530.914,5.673,6356.012
6.619,15719.943,6.619,11832.938,6.619,21213.162,6.619,6387.733
7.564,15687.76,7.564,11993.684,7.564,21156.566,7.564,6484.43
8.51,15688.854,8.51,11956.691,8.51,21342.414,8.51,6271.276
9.456,15581.194,9.456,11913.726,9.456,21243.396,9.456,6421.564
10.401,15485.495,10.401,11930.271,10.401,21247.811,10.401,6320.364
11.347,15477.294,11.347,11892.227,11.347,21229.799,11.347,6243.32
12.292,15614.49,12.292,11847.997,12.292,21232.246,12.292,6557.445
13.238,15702.04,13.238,12025.471,13.238,21091.316,13.238,6534.932
14.183,15521.669,14.183,11929.506,14.183,21223.941,14.183,6314.602
15.129,15469.882,15.129,11927.099,15.129,21175.514,15.129,6476.803
16.075,15604.052,16.075,11787.805,16.075,20913.951,16.075,6375.484
17.02,15596.035,17.02,12081.487,17.02,21027.512,17.02,6223.987
17.966,15593.563,17.966,11966.914,17.966,20935.861,17.966,6265.998
18.911,15445.463,18.911,11959.521,18.911,20912.908,18.911,6409.596
19.857,15698.593,19.857,11978.837,19.857,20967.729,19.857,6444.975
20.802,15473.271,20.802,12162.228,20.802,21047.256,20.802,6499.827
21.748,15478.985,21.748,11794.664,21.748,20916.248,21.748,6169.837
22.693,15435.005,22.693,11889.327,22.693,20963.914,22.693,6256.449
23.639,15427.185,23.639,11743.13,23.639,20856.824,23.639,6405.759
24.585,15385.913,24.585,11778.312,24.585,20674.162,24.585,6224.612
25.53,15467.433,25.53,11731.504,25.53,20760.141,25.53,6575.385
26.476,15355.156,26.476,12048.482,26.476,20943.066,26.476,6270.765
27.421,15496.404,27.421,11800.465,27.421,20572.807,27.421,6498.656
28.367,15399.481,28.367,11998.078,28.367,20655.896,28.367,6421.807
29.312,15500.418,29.312,11880.516,29.312,20794.146,29.312,6462.13
30.258,15375.193,30.258,11800.098,30.258,20635.523,30.258,6308.393
31.204,15269.78,31.204,11706.094,31.204,20688.131,31.204,6435.144
32.149,15373.353,32.149,11696.612,32.149,20639.65,32.149,6492.453
33.095,15393.781,33.095,11809.925,33.095,20581.377,33.095,6355.236
34.04,15370.312,34.04,11697.359,34.04,20849.26,34.04,6299.742
34.986,15243.878,34.986,11666.743,34.986,20558.598,34.986,6420.307
35.931,15379.695,35.931,11786.882,35.931,20761.012,35.931,6217.817
36.877,15220.32,36.877,11760.576,36.877,20403.816,36.877,6324.383
37.822,15338.46,37.822,11774.879,37.822,20449.863,37.822,6128.031
38.768,15287.873,38.768,11735.539,38.768,20462.318,38.768,6240.113
39.714,15297.597,39.714,11805.641,39.714,20362.979,39.714,6152.678
40.659,15187.74,40.659,11596.638,40.659,20342.992,40.659,6397.351
41.605,15129.331,41.605,11712.99,41.605,20319.562,41.605,6267.906
42.55,15316.6,42.55,11643.988,42.55,20377.785,42.55,6425.97
43.496,15306.351,43.496,12166.555,43.496,20370.898,43.496,6362.628
44.441,15252.266,44.441,11586.279,44.441,20436.982,44.441,6281.184
45.387,15223.888,45.387,11387.552,45.387,20173.666,45.387,6539.963
46.333,15228.396,46.333,11494.735,46.333,20259.404,46.333,6172.88
47.278,15261.765,47.278,11681.481,47.278,20176.938,47.278,6463.311
48.224,15196.654,48.224,11650.676,48.224,20126.592,48.224,6319.946
49.169,15117.492,49.169,11638.475,49.169,20215.146,49.169,6279.892
50.115,15138.4,50.115,11650.473,50.115,20271.189,50.115,6174.237
51.06,15153.186,51.06,12029.362,51.06,20121.842,51.06,6367.402
52.006,15085.504,52.006,11807.277,52.006,20094.373,52.006,6311.314
52.951,15097.939,52.951,11487.405,52.951,20182.742,52.951,6353.461
53.897,15160.421,53.897,11527.912,53.897,19901.891,53.897,6165.712
54.843,15104.111,54.843,11647.978,54.843,20066.393,54.843,6399.377
55.788,15072.909,55.788,11674.86,55.788,20038.643,55.788,6277.005
56.734,15097.379,56.734,11716.149,56.734,19992.035,56.734,6526.241
57.679,15111.915,57.679,11535.924,57.679,19975.041,57.679,6077.126
58.625,15091.55,58.625,11588.513,58.625,20092.895,58.625,6325.109
59.57,14976.399,59.57,11585.007,59.57,19839.467,59.57,6146.861
60.516,15025.318,60.516,11608.529,60.516,19782.861,60.516,6329.896
61.462,15023.493,61.462,11467.162,61.462,19840.631,61.462,6449.73
62.407,15173.801,62.407,11616.251,62.407,19903.904,62.407,6360.472
63.353,15007.987,63.353,11553.288,63.353,19694.689,63.353,6192.758
64.298,15035.384,64.298,11320.268,64.298,19769.322,64.298,6109.525
65.244,14941.198,65.244,11506.234,65.244,19815.793,65.244,6170.802
66.189,15021.86,66.189,11653.493,66.189,19834.539,66.189,6201.953
67.135,15098.773,67.135,11289.324,67.135,19800.385,67.135,6187.023
68.08,15068.337,68.08,11461.028,68.08,19754.26,68.08,6255.411
69.026,14941.044,69.026,11425.603,69.026,19998.764,69.026,6122.03
69.972,14882.385,69.972,11524.16,69.972,19733.596,69.972,6231.023
70.917,15038.241,70.917,11455.379,70.917,19557.688,70.917,6303.883
71.863,14895.958,71.863,11467.836,71.863,19533.354,71.863,6192.298
72.808,14975.287,72.808,11541.91,72.808,19506.789,72.808,6207.695
73.754,15001.712,73.754,11330.488,73.754,19727.506,73.754,6264.363
74.699,14895.382,74.699,11556.387,74.699,19478.475,74.699,6390.195
75.645,14969.36,75.645,11322.025,75.645,19721.172,75.645,6141.479
76.59,14754.879,76.591,11444.09,76.591,19477.139,76.59,6427.52
77.536,14989.03,77.536,11546.151,77.536,19585.043,77.536,6147.164
78.482,14834.663,78.482,11351.923,78.482,19503.311,78.482,6366.731
79.427,14825.719,79.427,11346.159,79.427,19634.891,79.427,6298.368
80.373,14747.414,80.373,11363.152,80.373,19398.939,80.373,6163.103
81.318,14920.549,81.318,11234.793,81.318,19452.723,81.318,6318.119
82.264,14774.445,82.264,11334.526,82.264,19351.08,82.264,6427.029
83.209,14909.175,83.209,11186.678,83.209,19355.881,83.209,6254.148
84.155,14930.64,84.155,11254.191,84.155,19427.9,84.155,6275.266
85.101,14749.655,85.101,11352.737,85.101,19445.697,85.101,6152.226
86.046,14722.734,86.046,11100.219,86.046,19390.16,86.046,6226.151
86.992,14777.878,86.992,11399.934,86.992,19444.016,86.992,6223.289
87.937,14742.091,87.937,11369.944,87.937,19305.031,87.937,6184.797
88.883,14635.117,88.883,11343.745,88.883,19255.484,88.883,6251.402
89.828,14707.875,89.828,11353.397,89.828,19134.416,89.828,6154.2
90.774,14647.729,90.774,11300.926,90.774,19202.127,90.774,6298.178
91.719,14676.409,91.72,11256.647,91.72,19197.658,91.719,6175.916
92.665,14730.693,92.665,11254.902,92.665,19081.02,92.665,6213.729
93.611,14695.453,93.611,11192.034,93.611,19218.525,93.611,6128.135
94.556,14816.664,94.556,11305.41,94.556,19205.287,94.556,5999.494
95.502,14681.295,95.502,11379.322,95.502,19087.67,95.502,6230.147
96.447,14834.374,96.447,11318.259,96.447,19182.32,96.447,6245.107
97.393,14623.53,97.393,11374.31,97.393,19085.625,97.393,6124.944
98.338,14622.781,98.338,11429.128,98.338,19045.557,98.338,6282.954
99.284,14640.921,99.284,11432.735,99.284,19026.229,99.284,6391.205
100.23,14700.954,100.23,11385.48,100.23,19123.102,100.23,6093.01
101.175,14550.055,101.175,11343.949,101.175,19124.506,101.175,6231.719
102.121,14713.687,102.121,11309.319,102.121,18992.613,102.121,6341.135
103.066,14701.049,103.066,11216.883,103.066,19094.455,103.066,6039.701
104.012,14473.484,104.012,11170.007,104.012,18883.309,104.012,6239.902
104.957,14588.802,104.957,11349.562,104.957,18761.535,104.957,5983.812
105.903,14701.651,105.903,11152.836,105.903,19070.41,105.903,6172.358
106.848,14761.654,106.848,11307.814,106.848,18967.285,106.848,6115.941
107.794,14580.289,107.794,11140.373,107.794,18813.844,107.794,6075.245
108.74,14417.341,108.74,11260.733,108.74,18910.398,108.74,5983.12
109.685,14408.697,109.685,11120.793,109.685,18859.705,109.685,6219.794
110.631,14505.959,110.631,11205.388,110.631,18763.771,110.631,5942.034
111.576,14683.766,111.576,11120.105,111.576,18757.314,111.576,6219.823
112.522,14469.443,112.522,11278.359,112.522,18777.703,112.522,6280.276
113.467,14603.383,113.467,11325.282,113.467,18673.225,113.467,6047.481
114.413,14831.109,114.413,11235.677,114.413,18772.699,114.413,6141.775
115.359,15108.655,115.359,11213.551,115.359,18685.953,115.359,6093.597
116.304,15108.466,116.304,11155.955,116.304,18520.291,116.304,6270.097
117.25,15307.383,117.25,11113.936,117.25,18696.293,117.25,6185.044
118.195,15367.776,118.195,11049.197,118.195,18663.709,118.195,6182.061
119.141,15543.271,119.141,11090.759,119.141,18581.994,119.141,6153.878
120.086,15506.555,120.086,11219.155,120.086,18512.617,120.086,6031.123
121.032,15441.616,121.032,11209.825,121.032,18622.15,121.032,6060.457
121.977,15391.036,121.977,11273.07,121.977,18441.525,121.977,6141.227
122.923,15478.231,122.923,11228.413,122.923,18624.289,122.923,6088.957
123.869,15564.468,123.869,11400.389,123.869,18677.873,123.869,5997.331
124.814,15529.385,124.814,11227.389,124.814,18797.004,124.814,6200.208
125.76,15389.111,125.76,11155.146,125.76,19226.102,125.76,6031.192
126.705,15505.188,126.705,11146.299,126.705,19224.129,126.705,6165.83
127.651,15435.912,127.651,11175.758,127.651,19277.65,127.651,6253.83
128.596,15504.08,128.596,11313.465,128.596,19226.182,128.596,6052.407
129.542,15495.004,129.542,11254.436,129.542,19194.74,129.542,6019.25
130.488,15419.749,130.488,11160.052,130.488,19278.521,130.488,5998.084
131.433,15583.654,131.433,11070.167,131.433,19330.391,131.433,5982.535
132.379,15476.049,132.379,11250.392,132.379,19243.031,132.379,6133.697
133.324,15420.736,133.324,11266.425,133.324,19228,133.324,6017.416
134.27,15403.471,134.27,10907.376,134.27,19043.082,134.27,6254.208
135.215,15355.513,135.215,11240.195,135.215,19197.08,135.215,6246.382
136.161,15342.626,136.161,10933.268,136.161,19226.387,136.161,6228.909
137.106,15292.663,137.106,11132.681,137.106,19046.664,137.106,6053.99
138.052,15131.939,138.052,10926.468,138.052,18898.529,138.052,6055.366
138.998,15286.165,138.998,11061.582,138.998,18997.676,138.998,6190.782
139.943,15273.998,139.943,10831.09,139.943,18936.828,139.943,6093.151
140.889,15354.944,140.889,10975.704,140.889,18981.35,140.889,5973.255
141.834,15236.521,141.834,11074.363,141.834,18956.879,141.834,6127.487
142.78,15274.791,142.78,10947.749,142.78,19024.223,142.78,6155.421
143.725,15339.393,143.725,11476.524,143.725,19053.199,143.725,6010.453
144.671,15206.92,144.671,11421.32,144.671,18878.396,144.671,6122.309
145.616,15247.143,145.617,11329.892,145.617,18716.896,145.616,6005.935
146.562,15374.152,146.562,11473.412,146.562,18839.859,146.562,6071.449
147.508,15250.605,147.508,11479.658,147.508,18743.623,147.508,6166.789
148.453,15399.553,148.453,11374.752,148.453,18755.67,148.453,6033.011
149.399,15175.541,149.399,11346.352,149.399,18809.707,149.399,6151.087
150.344,15458.48,150.344,11209.008,150.344,18799.125,150.344,6014.287
151.29,15223.326,151.29,11285.341,151.29,18830.529,151.29,6006.942
152.235,15206.695,152.235,11401.59,152.235,18886.305,152.235,6185.75
153.181,15138.459,153.181,11504.904,153.181,18762.062,153.181,5995.383
154.127,15129.467,154.127,11379.028,154.127,18536.752,154.127,6109.836
155.072,15263.932,155.072,11381.949,155.072,18639.5,155.072,6092.898
156.018,15292.479,156.018,11220.447,156.018,18785.059,156.018,6055.102
156.963,15138.73,156.963,11349.886,156.963,18873.514,156.963,5896.877
157.909,15068.136,157.909,11510.26,157.909,18669.139,157.909,6118.686
158.854,15115.958,158.854,11425.942,158.854,18589.797,158.854,6062.044
159.8,15122.21,159.8,11490.93,159.8,18588.273,159.8,5912.223
160.745,15201.376,160.746,11709.234,160.746,18504.686,160.745,6013.984
161.691,15017.181,161.691,11538.361,161.691,18401.156,161.691,6113.062
162.637,15096.889,162.637,11112.606,162.637,18546.494,162.637,6029.022
163.582,15051.413,163.582,11518.639,163.582,17884.209,163.582,6231.948
164.528,14971.63,164.528,11367.082,164.528,18427.072,164.528,6090.932
165.473,15117.543,165.473,11360.618,165.473,18526.139,165.473,6003.103
166.419,14907.709,166.419,11457.004,166.419,18390.887,166.419,6068.461
167.364,15129.514,167.364,11301.653,167.364,18662.938,167.364,6075.15
168.31,15306.413,168.31,11290.554,168.31,18631.557,168.31,6017.653
