X,Y
0.000,8105.129
0.946,8330.077
1.891,8117.362
2.837,8065.400
3.782,8177.292
4.728,8292.630
5.673,8092.202
6.619,8086.902
7.564,8152.622
8.510,8105.809
9.456,8312.351
10.401,8124.232
11.347,8139.844
12.292,8007.679
13.238,8123.620
14.183,7981.494
15.129,8065.025
16.075,8048.439
17.020,8010.016
17.966,7982.955
18.911,8031.765
19.857,8162.528
20.802,8135.263
21.748,7988.683
22.693,8023.250
23.639,7985.890
24.585,7973.229
25.530,8056.741
26.476,7949.704
27.421,7861.164
28.367,7937.556
29.312,7955.015
30.258,7902.131
31.204,7936.453
32.149,8002.051
33.095,8078.424
34.040,7998.288
34.986,7984.852
35.931,7962.606
36.877,8064.434
37.822,7874.888
38.768,8083.973
39.714,8108.738
40.659,8007.077
41.605,7891.859
42.550,7871.682
43.496,8014.444
44.441,7977.969
45.387,7879.677
46.333,7976.737
47.278,7897.993
48.224,7875.905
49.169,7813.342
50.115,7827.379
51.060,7829.823
52.006,7829.566
52.951,7829.148
53.897,7886.142
54.843,7856.489
55.788,7781.458
56.734,7836.654
57.679,7764.485
58.625,7740.817
59.570,7759.416
60.516,7699.626
61.462,7769.529
62.407,7700.676
63.353,7912.875
64.298,7747.114
65.244,7873.256
66.189,7736.319
67.135,7698.671
68.080,7840.533
69.026,7740.332
69.972,7601.987
70.917,7750.221
71.863,7734.103
72.808,7793.930
73.754,7715.228
74.699,7700.804
75.645,7732.996
76.590,7831.876
77.536,7692.333
78.482,7728.529
79.427,7683.802
80.373,7626.708
81.318,7625.511
82.264,7508.235
83.209,7647.163
84.155,7721.428
85.101,7615.908
86.046,7742.258
86.992,7732.189
87.937,7789.393
88.883,7792.059
89.828,7799.283
90.774,7711.844
91.719,7638.684
92.665,7700.965
93.611,7646.018
94.556,7646.291
95.502,7581.042
96.447,7680.590
97.393,7706.845
98.338,7670.159
99.284,7634.943
100.230,7548.620
101.175,7678.342
102.121,7601.328
103.066,7641.238
104.012,7740.081
104.957,7513.716
105.903,7616.422
106.848,7541.434
107.794,7548.928
108.740,8202.528
109.685,7722.830
110.631,9262.472
111.576,7707.468
112.522,7395.263
113.467,7104.720
114.413,7698.406
115.359,7537.904
116.304,7619.757
117.250,7574.329
118.195,7646.775
119.141,7657.360
120.086,7652.792
121.032,7700.695
121.977,7639.272
122.923,7758.686
123.869,7580.992
124.814,7710.078
125.760,7690.698
126.705,7621.166
127.651,7741.688
128.596,7861.029
129.542,7609.432
130.488,7702.022
131.433,7613.701
132.379,7622.942
133.324,7705.268
134.270,7644.820
135.215,7630.013
136.161,7660.256
137.106,7672.045
138.052,7712.691
138.998,7721.549
139.943,7617.832
140.889,7681.441
141.834,7572.224
142.780,7616.484
143.725,7621.923
144.671,7512.748
145.616,7698.825
146.562,7839.673
147.508,7709.277
148.453,7550.518
149.399,7670.958
150.344,7692.909
151.290,7642.623
152.235,7545.810
153.181,7676.556
154.127,7760.021
155.072,7627.195
156.018,7523.040
156.963,7585.891
157.909,7668.965
158.854,7635.204
159.800,7561.051
160.745,7706.280
161.691,7617.439
162.637,7543.946
163.582,7495.678
164.528,7503.580
165.473,7444.133
166.419,7521.115
167.364,7429.260
168.310,7541.617
169.256,7564.190
170.201,7403.117
171.147,7439.963
172.092,7537.805
173.038,7416.587
173.983,7434.316
174.929,7450.113
175.874,7543.458
176.820,7510.114
177.766,7456.534
178.711,7390.349
179.657,7587.405
180.602,7551.026
181.548,7398.584
182.493,7400.890
183.439,7512.924
184.385,7378.663
185.330,7306.305
186.276,7535.408
187.221,7315.835
188.167,7311.774
189.112,7435.146
190.058,7246.149
191.003,7460.402
191.949,7418.152
192.895,7490.810
193.840,7317.002
194.786,7287.614
195.731,7245.577
196.677,7514.552
197.622,7262.411
198.568,7542.539
199.513,7794.122
200.459,7307.474
201.405,7600.984
202.350,7626.137
203.296,6988.254
204.241,7340.624
205.187,7514.500
206.132,7636.115
207.078,8125.970
208.024,7971.935
208.969,7607.037
209.915,7536.944
210.860,7547.415
211.806,7380.143
212.751,7483.776
213.697,7408.059
214.642,7346.036
215.588,7356.795
216.534,7405.327
217.479,7444.861
218.425,7338.858
219.370,7353.204
220.316,7351.330
221.261,7426.986
222.207,7403.607
223.153,7379.062
224.098,7282.471
225.044,7410.931
225.989,7447.459
226.935,7388.551
227.880,7418.464
228.826,7383.153
229.771,7390.339
230.717,7366.175
231.663,7427.638
232.608,7484.632
233.554,7327.207
234.499,7328.049
235.445,7350.909
236.390,7359.984
237.336,7355.409
238.282,7482.880
239.227,7356.286
240.173,7411.443
241.118,7374.084
242.064,7351.990
243.009,7324.476
243.955,7330.818
244.900,7298.329
245.846,7367.248
246.792,7424.601
247.737,7384.818
248.683,7403.620
249.628,7386.999
250.574,7359.510
251.519,7348.162
252.465,7433.361
253.411,7246.167
254.356,7246.757
255.302,7291.486
256.247,7219.739
257.193,7238.342
258.138,7371.761
259.084,7326.134
260.029,7274.244
260.975,7403.122
261.921,7295.545
262.866,7347.163
263.812,7347.156
264.757,7290.100
265.703,7299.653
266.648,7271.691
267.594,7257.923
268.539,7304.417
269.485,7210.457
270.431,7221.063
271.376,7177.979
272.322,7242.609
273.267,7156.619
274.213,7106.637
275.158,7154.298
276.104,7147.344
277.050,7309.567
277.995,7172.386
278.941,7111.201
279.886,7157.159
280.832,7203.745
281.777,7138.548
282.723,7120.661
283.668,7278.379
284.614,7231.504
285.560,7128.467
286.505,7258.706
287.451,7208.861
288.396,7378.912
289.342,7223.705
290.287,7137.264
291.233,7215.093
292.179,7239.535
293.124,7107.559
294.070,7207.841
295.015,7324.445
295.961,7319.852
296.906,7158.396
297.852,7127.066
298.797,7222.823
299.743,7171.891
300.689,7156.780
301.634,7186.748
302.580,7268.262
303.525,7680.961
304.471,7664.390
305.416,7335.190
306.362,7072.264
307.308,7648.620
308.253,7895.731
309.199,7446.359
310.144,7358.205
311.090,7315.814
312.035,7290.373
312.981,7294.835
313.926,7272.594
314.872,7220.437
315.818,7201.759
316.763,7298.280
317.709,7198.500
318.654,7217.974
319.600,7175.583
320.545,7150.889
321.491,7264.864
322.436,7168.250
323.382,7155.416
324.328,7247.892
325.273,7263.657
326.219,7259.448
327.164,7276.846
328.110,7284.111
329.055,7144.858
330.001,7209.701
330.947,7298.860
331.892,7252.600
332.838,7198.595
333.783,7375.095
334.729,7235.733
335.674,7230.050
336.620,7254.198
337.565,7200.957
338.511,7312.239
339.457,7355.337
340.402,7176.657
341.348,7202.022
342.293,7174.175
343.239,7363.936
344.184,7126.079
345.130,7176.262
346.076,7299.640
347.021,7206.938
347.967,7284.035
348.912,7229.679
349.858,7369.242
350.803,7182.402
351.749,7160.983
352.694,7362.526
353.640,7308.018
354.586,7178.394
355.531,7165.487
356.477,7221.736
357.422,7263.677
358.368,7291.642
359.313,7287.213
360.259,7258.851
361.205,7208.201
362.150,7167.115
363.096,7182.089
364.041,7161.676
364.987,7228.228
365.932,7113.541
366.878,7123.130
367.823,7122.644
368.769,7231.537
369.715,7203.918
370.660,7125.130
371.606,7177.413
372.551,7162.496
373.497,7157.117
374.442,7079.045
375.388,7211.728
376.334,7167.002
377.279,7177.921
378.225,7188.677
379.170,7103.518
380.116,7642.527
381.061,7650.213
382.007,7728.050
382.952,7383.618
383.898,6793.455
384.844,8307.809
385.789,7763.664
386.735,7314.136
387.680,7286.055
388.626,7235.713
389.571,7229.021
390.517,7216.282
391.462,7153.889
392.408,7037.831
393.354,7219.830
394.299,7280.294
395.245,7186.115
396.190,7186.222
397.136,7160.430
398.081,7168.410
399.027,7183.603
399.973,7214.711
400.918,7169.356
401.864,7190.747
402.809,7200.311
403.755,7301.728
404.700,7248.184
405.646,7165.527
406.591,7254.598
407.537,7201.848
408.483,7318.462
409.428,7186.593
410.374,7181.341
411.319,7388.168
412.265,7194.070
413.210,7262.233
414.156,7191.664
415.102,7302.118
416.047,7150.029
416.993,7323.810
417.938,7171.518
418.884,7211.839
419.829,7259.012
420.775,7129.982
421.720,7180.376
422.666,7230.990
423.612,7240.555
424.557,7240.191
425.503,7142.454
426.448,7357.892
427.394,7220.189
428.339,7197.000
429.285,7250.578
430.231,7195.224
431.176,7123.698
432.122,7274.616
433.067,7166.160
434.013,7246.742
434.958,7213.976
435.904,7270.384
436.849,7347.019
437.795,7193.887
438.741,7124.534
439.686,7170.546
440.632,7325.401
441.577,7209.619
442.523,7263.095
443.468,7169.877
444.414,7095.165
445.359,7159.673
446.305,7100.103
447.251,7250.311
448.196,7218.754
449.142,7141.885
450.087,7085.137
451.033,7136.843
451.978,7260.970
452.924,7086.308
453.870,7184.253
454.815,7136.997
455.761,7173.020
456.706,7114.723
457.652,7223.328
458.597,7088.818
459.543,7166.095
460.488,7105.417
461.434,7073.307
462.380,7220.600
463.325,7132.533
464.271,7106.877
465.216,7234.910
466.162,7097.604
467.107,7179.174
468.053,7114.591
468.999,7149.905
469.944,7045.443
470.890,7090.068
471.835,7158.193
472.781,7210.763
473.726,7201.231
474.672,7184.773
475.617,7219.801
476.563,7095.985
477.509,7097.339
478.454,7104.983
479.400,7177.243
480.345,7098.321
481.291,7174.959
482.236,7166.668
483.182,7265.489
484.128,7210.625
485.073,7189.787
486.019,7207.919
486.964,7516.136
487.910,7525.732
488.855,7445.121
489.801,7016.621
490.746,7162.817
491.692,7223.617
492.638,7322.292
493.583,7143.116
494.529,7078.821
495.474,7161.636
496.420,7062.995
497.365,7064.279
498.311,7067.651
499.257,7085.048
500.202,7119.119
501.148,7077.858
502.093,7146.894
503.039,7077.192
503.984,7081.533
504.930,7111.870
505.875,7133.265
506.821,7165.633
507.767,7078.470
508.712,7075.922
509.658,7119.766
510.603,7129.641
511.549,7101.039
512.494,7144.801
513.440,7166.308
514.385,7055.000
515.331,7224.830
516.277,7153.841
517.222,7203.229
518.168,7227.790
519.113,7123.656
520.059,7121.397
521.004,7199.896
521.950,7093.612
522.896,7151.074
523.841,7249.215
524.787,7184.106
525.732,7295.116
526.678,7202.553
527.623,7061.863
528.569,7118.443
529.514,7071.478
530.460,7122.841
531.406,7057.770
532.351,7291.591
533.297,7107.880
534.242,7071.962
535.188,7151.172
536.133,7150.206
537.079,7149.493
538.025,7217.698
538.970,7192.996
539.916,7247.949
540.861,7211.350
541.807,7169.600
542.752,7116.110
543.698,7166.031
544.643,7183.901
545.589,7123.212
546.535,7131.249
547.480,7174.292
548.426,7184.520
549.371,7277.669
550.317,7172.221
551.262,7189.644
552.208,7108.132
553.154,7132.012
554.099,7245.950
555.045,7092.134
555.990,7191.015
556.936,7103.893
557.881,7236.439
558.827,7112.089
559.772,7098.712
560.718,7167.248
561.664,7128.819
562.609,7158.869
563.555,7098.771
564.500,7106.220
565.446,7095.692
566.391,7086.435
567.337,7166.243
568.283,7222.717
569.228,7215.965
570.174,7094.101
571.119,7146.974
572.065,7118.631
573.010,7034.446
573.956,7115.515
574.901,7102.869
575.847,7086.928
576.793,7156.567
577.738,7074.455
578.684,7154.046
579.629,7251.428
580.575,7123.078
581.520,7833.743
582.466,7644.809
583.411,7407.205
584.357,6837.484
585.303,7375.244
586.248,7102.456
587.194,7129.520
588.139,7094.990
589.085,7081.198
590.030,7139.694
590.976,7052.706
591.922,7053.619
592.867,7111.309
593.813,7098.053
594.758,7118.630
595.704,7042.324
596.649,7074.668
597.595,7070.739
598.540,7157.298
599.486,7049.090
600.432,7101.573
601.377,7126.198
602.323,7090.768
603.268,7180.395
604.214,7036.909
605.159,7068.830
606.105,7088.569
607.051,7177.469
607.996,7203.301
608.942,7205.931
609.887,7115.295
610.833,7181.373
611.778,7175.529
612.724,7183.867
613.669,7167.238
614.615,7106.429
615.561,7183.734
616.506,7141.145
617.452,7244.562
618.397,7129.920
619.343,7261.776
620.288,7159.503
621.234,7265.497
622.180,7170.275
623.125,7248.008
624.071,7274.327
625.016,7113.545
625.962,7202.073
626.907,7267.434
627.853,7172.836
628.798,7352.214
629.744,7209.958
630.690,7262.889
631.635,7095.449
632.581,7230.100
633.526,7113.621
634.472,7164.811
635.417,7209.786
636.363,7057.934
637.309,7087.623
638.254,7230.340
639.200,7200.199
640.145,7142.600
641.091,7217.034
642.036,7149.169
642.982,7147.938
643.927,7208.593
644.873,7160.630
645.819,7285.596
646.764,7154.599
647.710,7170.668
648.655,7201.979
649.601,7130.109
650.546,7148.440
651.492,7187.542
652.438,7177.745
653.383,7156.186
654.329,7167.698
655.274,7162.504
656.220,7207.773
657.165,7147.366
658.111,7176.130
659.056,7118.306
660.002,7104.480
660.948,7189.201
661.893,7187.266
662.839,7187.293
663.784,7297.615
664.730,7160.136
665.675,7102.503
666.621,7275.416
667.566,7155.833
668.512,7163.252
669.458,7225.395
670.403,7113.404
671.349,7140.237
672.294,7208.525
673.240,7140.142
674.185,7103.407
675.131,7269.667
676.077,7213.864
677.022,7134.219
677.968,7238.036
678.913,7231.563
679.859,7183.190
680.804,7185.897
681.750,7129.479
682.695,7270.217
683.641,7094.000
684.587,7100.139
685.532,7136.998
686.478,7140.611
687.423,7120.668
688.369,7197.780
689.314,7187.614
690.260,7284.612
691.206,7150.063
692.151,7134.173
693.097,7115.316
694.042,7233.213
694.988,7180.528
695.933,7217.473
696.879,7106.106
697.824,7162.444
698.770,7190.410
699.716,7087.240
700.661,7088.906
701.607,7138.916
702.552,7124.039
703.498,7110.404
704.443,7167.467
705.389,7136.680
706.335,7178.742
707.280,7110.530
708.226,7186.670
709.171,7128.653
710.117,7147.115
711.062,7112.668
712.008,7173.981
712.953,7175.329
713.899,7113.635
714.845,7544.720
715.790,7227.895
716.736,7116.172
717.681,7071.558
718.627,7093.545
719.572,7107.716
720.518,7063.906
721.464,7025.165
722.409,7132.623
723.355,7116.061
724.300,7102.580
725.246,7168.024
726.191,7096.966
727.137,7136.870
728.082,7114.556
729.028,7124.354
729.974,7196.106
730.919,7170.498
731.865,7094.581
732.810,7250.949
733.756,7117.154
734.701,7112.988
735.647,7136.598
736.592,7130.795
737.538,7159.785
738.484,7106.123
739.429,7150.386
740.375,7084.779
741.320,7143.161
742.266,7041.942
743.211,7183.155
744.157,7174.762
745.103,7259.970
746.048,7086.028
746.994,7123.433
747.939,7156.683
748.885,7049.965
749.830,7112.851
750.776,7120.645
751.721,7081.808
752.667,7018.424
753.613,7118.176
754.558,7145.967
755.504,7204.333
756.449,7157.125
757.395,7160.981
758.340,7620.125
759.286,7291.342
760.232,7264.993
761.177,6796.348
762.123,7509.976
763.068,7736.345
764.014,7162.583
764.959,7025.379
765.905,7046.007
766.850,7131.371
767.796,7080.237
768.742,6927.627
769.687,7033.476
770.633,6991.466
771.578,6999.881
772.524,6983.646
773.469,7034.953
774.415,6998.335
775.360,7036.477
776.306,6985.758
777.252,7010.118
778.197,7000.513
779.143,6987.717
780.088,6958.766
781.034,7071.401
781.979,6927.235
782.925,6966.899
783.871,6971.712
784.816,7038.173
785.762,6979.153
786.707,6969.434
787.653,7045.911
788.598,6944.228
789.544,6955.648
790.490,7057.037
791.435,7114.328
792.381,7057.329
