X,Y
0.000,12206.514
0.946,12037.729
1.891,12241.001
2.837,12039.077
3.782,12242.051
4.728,11981.758
5.673,11970.826
6.619,11832.938
7.564,11993.684
8.510,11956.691
9.456,11913.726
10.401,11930.271
11.347,11892.227
12.292,11847.997
13.238,12025.471
14.183,11929.506
15.129,11927.099
16.075,11787.805
17.020,12081.487
17.966,11966.914
18.911,11959.521
19.857,11978.837
20.802,12162.228
21.748,11794.664
22.693,11889.327
23.639,11743.130
24.585,11778.312
25.530,11731.504
26.476,12048.482
27.421,11800.465
28.367,11998.078
29.312,11880.516
30.258,11800.098
31.204,11706.094
32.149,11696.612
33.095,11809.925
34.040,11697.359
34.986,11666.743
35.931,11786.882
36.877,11760.576
37.822,11774.879
38.768,11735.539
39.714,11805.641
40.659,11596.638
41.605,11712.990
42.550,11643.988
43.496,12166.555
44.441,11586.279
45.387,11387.552
46.333,11494.735
47.278,11681.481
48.224,11650.676
49.169,11638.475
50.115,11650.473
51.060,12029.362
52.006,11807.277
52.951,11487.405
53.897,11527.912
54.843,11647.978
55.788,11674.860
56.734,11716.149
57.679,11535.924
58.625,11588.513
59.570,11585.007
60.516,11608.529
61.462,11467.162
62.407,11616.251
63.353,11553.288
64.298,11320.268
65.244,11506.234
66.189,11653.493
67.135,11289.324
68.080,11461.028
69.026,11425.603
69.972,11524.160
70.917,11455.379
71.863,11467.836
72.808,11541.910
73.754,11330.488
74.699,11556.387
75.645,11322.025
76.591,11444.090
77.536,11546.151
78.482,11351.923
79.427,11346.159
80.373,11363.152
81.318,11234.793
82.264,11334.526
83.209,11186.678
84.155,11254.191
85.101,11352.737
86.046,11100.219
86.992,11399.934
87.937,11369.944
88.883,11343.745
89.828,11353.397
90.774,11300.926
91.720,11256.647
92.665,11254.902
93.611,11192.034
94.556,11305.410
95.502,11379.322
96.447,11318.259
97.393,11374.310
98.338,11429.128
99.284,11432.735
100.230,11385.480
101.175,11343.949
102.121,11309.319
103.066,11216.883
104.012,11170.007
104.957,11349.562
105.903,11152.836
106.848,11307.814
107.794,11140.373
108.740,11260.733
