X,Y
0.000,20748.404
0.946,21228.758
1.891,21107.145
2.837,20985.395
3.782,20937.914
4.728,21028.658
5.673,21339.711
6.619,20861.514
7.564,20911.449
8.510,20971.604
9.456,21097.107
10.401,21059.121
11.347,20868.020
12.292,20961.887
13.238,21073.473
14.183,20662.998
15.129,21018.525
16.075,20720.662
17.020,21091.443
17.966,20895.816
18.911,21019.596
19.857,20998.064
20.802,20921.150
21.748,20818.006
22.693,20764.877
23.639,20962.846
24.585,20658.387
25.530,20730.816
26.476,20684.365
27.421,20822.834
28.367,20539.521
29.312,20775.289
30.258,20523.156
31.204,20778.869
32.149,20604.936
33.095,20886.525
34.040,20609.090
34.986,21108.232
35.931,20883.115
36.877,20464.934
37.822,20476.611
38.768,20711.982
39.714,20468.977
40.659,20521.703
41.605,20733.137
42.550,20561.682
43.496,20397.826
44.441,20551.236
45.387,20558.598
46.333,20532.521
47.278,20404.002
48.224,20454.773
49.169,20548.795
50.115,20364.734
51.060,20522.193
52.006,20442.953
52.951,20545.617
53.897,20494.861
54.843,20536.773
55.788,20250.234
56.734,20339.064
57.679,20548.041
58.625,20396.510
59.570,20319.682
60.516,20152.086
61.462,20279.953
62.407,20253.869
63.353,20147.402
64.298,20605.461
65.244,20308.145
66.189,20364.961
67.135,20544.230
68.080,20354.502
69.026,20299.549
69.972,20261.486
70.917,20104.209
71.863,20197.305
72.808,20323.777
73.754,20208.986
74.699,20139.791
75.645,20299.115
76.590,20331.008
77.536,20173.225
78.482,20214.648
79.427,20108.652
80.373,20395.877
81.318,20170.859
82.264,20013.990
83.209,20048.232
84.155,20145.473
85.101,19996.383
86.046,20066.906
86.992,20144.582
87.937,19694.768
88.883,20005.818
89.828,20167.215
90.774,19917.996
91.719,19929.822
92.665,19977.203
93.611,20234.451
94.556,19883.635
95.502,19737.311
96.447,20098.191
97.393,19915.586
98.338,20033.248
99.284,19619.936
100.230,19825.305
101.175,19896.066
102.121,20003.088
103.066,19825.117
104.012,19715.230
104.957,19772.529
105.903,19967.574
106.848,19501.682
107.794,19863.021
108.740,19747.709
109.685,19627.066
110.631,19761.094
111.576,19488.820
112.522,19939.773
113.467,19711.422
114.413,19638.098
115.359,19652.043
116.304,19588.176
117.250,19630.426
118.195,19946.586
119.141,19813.248
120.086,19597.883
121.032,19839.260
121.977,19737.613
122.923,19731.100
123.869,19334.312
124.814,19720.066
125.760,19711.877
126.705,19473.387
127.651,19787.689
128.596,19807.000
129.542,19679.430
130.488,19590.078
131.433,19880.881
132.379,19981.039
133.324,19608.924
134.270,19552.994
135.215,19440.436
136.161,19763.994
137.106,19481.449
138.052,19616.713
138.998,19657.629
139.943,19480.531
140.889,19530.322
141.834,19566.689
142.780,19338.461
143.725,19548.422
144.671,19441.900
145.616,19458.865
146.562,19305.889
147.508,19399.990
148.453,19580.752
149.399,19279.799
150.344,19372.896
151.290,19277.133
152.235,19268.729
153.181,19403.746
154.127,19292.588
155.072,19245.703
156.018,19633.896
156.963,19466.666
157.909,19415.627
158.854,19381.219
159.800,19219.854
160.745,19450.867
161.691,19560.098
162.637,19203.012
163.582,19455.727
164.528,19324.238
165.473,19209.391
166.419,19205.682
167.364,19256.488
168.310,19424.162
169.256,19074.889
170.201,19169.320
171.147,19370.164
172.092,19278.443
173.038,19242.232
173.983,19234.326
174.929,19203.814
175.874,19201.920
176.820,19067.889
177.766,19139.848
178.711,18932.260
179.657,18961.211
180.602,19411.008
181.548,19134.797
182.493,18969.234
183.439,19202.750
184.385,19187.115
185.330,19228.703
186.276,18869.742
187.221,18702.736
188.167,19099.340
189.112,18883.865
190.058,19253.254
191.003,18966.191
191.949,18830.662
192.895,18948.633
193.840,18746.084
194.786,18935.881
195.731,18819.701
196.677,18919.996
197.622,19121.488
198.568,19054.852
199.513,18866.369
200.459,18599.531
201.405,18792.830
202.350,18867.246
203.296,18885.623
204.241,18850.932
205.187,19108.053
206.132,18813.146
207.078,18948.156
208.024,19036.355
208.969,18799.895
209.915,18883.082
210.860,18905.051
211.806,18620.420
212.751,18740.783
213.697,18989.797
214.642,18705.594
215.588,18522.512
216.534,18878.840
217.479,18605.648
218.425,18610.930
219.370,18765.996
220.316,18772.461
221.261,18710.674
222.207,18744.832
223.153,18794.660
224.098,18628.125
225.044,18674.654
225.989,18609.602
226.935,18412.234
227.880,18302.387
228.826,18672.209
229.771,18743.016
230.717,18635.627
231.663,18528.078
232.608,18599.490
233.554,18583.889
234.499,18532.105
235.445,18679.148
236.390,18598.625
237.336,18412.971
238.282,18822.635
239.227,18542.641
240.173,18241.936
241.118,18561.758
242.064,18281.789
243.009,18569.555
243.955,18553.551
244.900,18402.451
245.846,18683.793
246.792,18599.176
247.737,18455.727
248.683,18470.947
249.628,18395.289
250.574,18636.877
251.519,18382.301
252.465,18723.969
253.411,18734.662
254.356,18376.572
255.302,18256.684
256.247,18354.303
257.193,18214.973
258.138,18220.498
259.084,18322.305
260.029,18356.600
260.975,18328.883
261.921,18496.248
262.866,18431.021
263.812,18294.270
264.757,18253.945
265.703,18132.918
266.648,18326.951
267.594,18050.459
268.539,18241.754
269.485,18090.336
270.431,18286.213
271.376,18092.809
272.322,18323.490
273.267,18133.049
274.213,17960.932
275.158,18161.838
276.104,17999.180
277.050,18201.244
277.995,18336.906
278.941,18364.094
279.886,18087.340
280.832,18249.525
281.777,17991.906
282.723,18142.088
283.668,17992.373
284.614,18069.859
285.560,18116.625
286.505,18020.391
287.451,18313.896
288.396,18288.998
289.342,17832.701
290.287,18035.182
291.233,18223.701
292.179,17826.803
293.124,18055.660
294.070,18129.596
295.015,17978.514
295.961,17816.102
296.906,18170.971
297.852,17926.695
298.797,17893.891
299.743,18193.623
300.689,17958.324
301.634,17865.502
302.580,18138.510
303.525,18200.203
304.471,17871.283
305.416,17664.883
306.362,17826.236
307.308,17993.096
308.253,18015.967
309.199,17861.568
310.144,18000.020
311.090,17963.246
312.035,18010.621
312.981,17962.572
313.926,17762.598
314.872,17743.080
315.818,18000.596
316.763,17857.564
317.709,18104.438
318.654,18002.639
319.600,17969.098
320.545,17924.363
321.491,17858.820
322.436,17992.219
323.382,17636.332
324.328,17701.775
325.273,17820.611
326.219,17779.406
327.164,17521.244
328.110,17752.441
329.055,17513.105
330.001,17849.434
330.947,17605.715
331.892,17695.438
332.838,17686.348
333.783,17497.023
334.729,17863.648
335.674,17242.297
336.620,17663.154
337.565,17628.449
338.511,17744.596
339.457,17556.943
340.402,17621.207
341.348,17496.920
342.293,17626.473
343.239,17696.965
344.184,17186.734
345.130,17507.436
346.076,17407.553
347.021,17532.125
347.967,17696.389
348.912,17530.207
349.858,17532.475
350.803,17487.959
351.749,17489.426
352.694,17539.980
353.640,17629.273
354.586,17382.518
355.531,17479.066
356.477,17351.869
357.422,17608.691
358.368,17321.414
359.313,17601.971
360.259,17170.285
361.205,17409.971
362.150,17278.039
363.096,17252.535
364.041,17321.021
364.987,17353.373
365.932,17267.752
366.878,17131.361
367.823,17451.803
368.769,17163.609
369.715,17223.799
370.660,17190.586
371.606,17419.918
372.551,17271.213
373.497,17222.740
374.442,17452.057
375.388,17343.266
376.334,17303.762
377.279,17478.605
378.225,17069.373
379.170,17248.656
380.116,17391.750
381.061,17167.852
382.007,17325.516
382.952,17175.113
383.898,17411.500
384.844,17208.479
385.789,17248.311
386.735,17135.023
387.680,17204.490
388.626,17086.127
389.571,17392.518
390.517,17229.041
391.462,16940.975
392.408,17206.332
393.354,17502.396
394.299,17043.783
395.245,17097.969
396.190,17086.123
397.136,17009.262
398.081,17347.344
399.027,17067.076
399.973,16942.613
400.918,16993.414
401.864,17093.645
402.809,16976.902
403.755,17244.414
404.700,17251.115
405.646,17196.746
406.591,17153.477
407.537,16870.861
408.483,16980.449
409.428,16922.184
410.374,16840.174
411.319,16888.678
412.265,17087.791
413.210,16748.305
414.156,16685.361
415.102,16681.934
416.047,17115.803
416.993,16652.564
417.938,16895.502
418.884,16740.080
419.829,16956.475
420.775,16847.012
421.720,16698.055
422.666,16954.830
423.612,16848.492
424.557,16722.299
425.503,16547.811
426.448,16826.016
427.394,16750.139
428.339,16716.443
429.285,16900.086
430.231,16739.061
431.176,16729.506
432.122,16733.246
433.067,17041.170
434.013,16827.439
434.958,16743.604
435.904,16561.713
436.849,16661.137
437.795,16612.582
438.741,16865.262
439.686,16672.404
440.632,16829.031
441.577,16695.781
442.523,16860.305
443.468,16460.990
444.414,16724.516
445.359,16577.877
446.305,16880.047
447.251,16616.924
448.196,16480.707
449.142,16585.910
450.087,16705.131
451.033,16897.137
451.978,16651.018
452.924,16659.660
453.870,16697.717
454.815,16728.230
455.761,16584.400
456.706,16383.139
457.652,16635.404
458.597,16529.814
459.543,16811.408
460.488,16390.740
461.434,16536.789
462.380,16604.506
463.325,16245.730
464.271,16774.100
465.216,16500.697
466.162,16556.299
467.107,16566.629
468.053,16519.699
468.999,16577.629
469.944,16548.117
470.890,16567.242
471.835,16321.332
472.781,16654.230
473.726,16595.221
474.672,16416.139
475.617,16298.924
476.563,16620.621
477.509,16437.555
478.454,16430.232
479.400,16649.682
480.345,16390.111
481.291,16487.256
482.236,16593.986
483.182,16564.311
484.128,16281.315
485.073,16427.359
486.019,16286.474
486.964,16222.863
487.910,16165.556
488.855,16155.330
489.801,16427.867
490.746,16414.490
491.692,16438.275
492.638,16180.151
493.583,16359.940
494.529,16468.617
495.474,16423.537
496.420,16216.202
497.365,16394.801
498.311,16408.768
499.257,16196.560
500.202,16269.575
501.148,16533.893
502.093,16271.305
503.039,16115.225
503.984,16226.935
504.930,16338.142
505.875,16439.234
506.821,16222.123
507.767,16233.710
508.712,16205.957
509.658,16373.758
510.603,16422.826
511.549,16382.537
512.494,16214.301
513.440,16188.437
514.385,16281.791
515.331,16325.775
516.277,16292.174
517.222,16372.141
518.168,16168.488
519.113,16368.510
520.059,16378.532
521.004,16201.781
521.950,16328.521
522.896,16150.727
523.841,16416.291
524.787,16332.387
525.732,16222.721
526.678,16047.809
527.623,16424.363
528.569,16333.815
529.514,16148.569
530.460,16160.751
531.406,16467.828
532.351,16123.812
533.297,16000.926
534.242,16216.307
535.188,16161.691
536.133,16028.524
537.079,16166.210
538.025,16063.039
538.970,15889.043
539.916,16010.624
540.861,16031.265
541.807,15829.947
542.752,16025.333
543.698,15974.335
544.643,16084.420
545.589,15796.931
546.535,16013.407
547.480,15965.249
548.426,16110.029
549.371,16007.791
550.317,15912.963
551.262,15997.560
552.208,16126.526
553.154,16277.814
554.099,16094.769
555.045,16011.246
555.990,16248.734
556.936,16310.824
557.881,16121.033
558.827,16089.262
559.772,16056.056
560.718,16207.211
561.664,16237.523
562.609,16182.665
563.555,16034.597
564.500,15920.179
565.446,15959.504
566.391,16249.193
567.337,15891.383
568.283,16106.640
569.228,16035.065
570.174,16053.259
571.119,15910.163
572.065,15997.489
573.010,16149.440
573.956,16206.050
574.901,15895.284
575.847,15878.912
576.793,16008.419
577.738,16081.498
578.684,15968.483
579.629,16007.101
580.575,16098.455
581.520,16129.592
582.466,15948.426
583.411,15936.602
584.357,16041.408
585.303,15953.605
586.248,16020.104
587.194,16013.639
588.139,16051.661
589.085,15974.649
590.030,16103.372
590.976,15915.763
591.922,15894.196
592.867,15743.186
593.813,15798.927
594.758,16090.947
595.704,15781.085
596.649,16018.151
597.595,15932.512
598.540,15881.732
599.486,15900.016
600.432,15781.825
601.377,15863.644
602.323,15877.738
603.268,16063.586
604.214,16063.132
605.159,15995.926
606.105,15924.574
607.051,15808.537
607.996,15726.951
608.942,15777.182
609.887,15925.088
610.833,15767.697
611.778,15850.478
612.724,15644.789
613.669,15757.939
614.615,15678.912
615.561,15697.070
616.506,15721.846
617.452,15819.926
618.397,15876.287
619.343,15747.090
620.288,15756.084
621.234,15731.335
622.180,15789.377
623.125,15625.775
624.071,15622.039
625.016,15739.454
625.962,15662.072
626.907,15573.962
627.853,15738.844
628.798,15785.151
629.744,15711.318
630.690,15725.438
631.635,15873.471
632.581,15780.461
633.526,15410.105
634.472,15666.897
635.417,15906.459
636.363,15689.036
637.309,15607.851
638.254,15835.434
639.200,15688.321
640.145,16073.154
641.091,15538.185
642.036,15659.070
642.982,15620.479
643.927,15529.872
644.873,15515.471
645.819,15687.303
646.764,15758.479
647.710,15559.323
648.655,15544.371
649.601,15667.432
650.546,15723.446
651.492,15675.017
652.438,15467.847
653.383,15615.847
654.329,15418.688
655.274,15480.667
656.220,15597.167
657.165,15634.437
658.111,15490.637
659.056,15617.567
660.002,15425.094
660.948,15639.282
661.893,15418.533
662.839,15551.167
663.784,15531.189
664.730,15598.360
665.675,15693.894
666.621,15678.181
667.566,15521.902
668.512,15586.707
669.458,15604.642
670.403,15618.125
671.349,15717.017
672.294,15342.830
673.240,15570.401
674.185,15453.598
675.131,15507.532
676.077,15342.917
677.022,15456.113
677.968,15580.056
678.913,15604.481
679.859,15471.808
680.804,15656.275
681.750,15699.173
682.695,15604.037
683.641,15272.141
684.587,15276.199
685.532,15567.135
686.478,15530.959
687.423,15646.777
688.369,15396.730
689.314,15300.886
690.260,15336.499
691.206,15352.043
692.151,15368.759
693.097,15339.719
694.042,15278.554
694.988,15395.553
695.933,15423.708
696.879,15424.712
697.824,15523.787
698.770,15403.648
699.716,15316.419
700.661,15269.338
701.607,15280.131
702.552,15454.393
703.498,15650.484
704.443,15317.937
705.389,15475.682
706.335,15658.910
707.280,15413.796
708.226,15387.720
709.171,15719.259
710.117,15301.311
711.062,15454.181
712.008,15443.392
712.953,15388.396
713.899,15383.185
714.845,15171.390
715.790,15441.427
716.736,15500.646
717.681,15541.700
718.627,15442.279
719.572,15324.711
720.518,15169.089
721.464,15444.509
722.409,15506.146
723.355,15441.875
724.300,15292.344
725.246,15502.520
726.191,15287.696
727.137,15412.914
728.082,15246.213
729.028,15243.255
729.974,15228.538
730.919,15268.829
731.865,15204.315
732.810,15251.964
733.756,15445.009
734.701,15401.655
735.647,15450.716
736.592,15277.996
