X,Y
0.000,6276.475
0.946,6231.509
1.891,5887.959
2.837,6028.568
3.782,6135.536
4.728,6212.859
5.673,5867.929
6.619,6063.851
7.564,6079.267
8.510,6155.884
9.456,6260.961
10.401,6299.235
11.347,6243.912
12.292,6103.556
13.238,6070.594
14.183,6006.035
15.129,6047.472
16.075,6066.031
17.020,6027.392
17.966,6016.343
18.911,5936.383
19.857,6123.010
20.802,6144.434
21.748,5711.216
22.693,5931.274
23.639,6045.609
24.585,6018.117
25.530,6025.401
26.476,6202.016
27.421,5972.889
28.367,6190.515
29.312,6076.724
30.258,6119.059
31.204,5976.059
32.149,6105.439
33.095,6141.610
34.040,6026.534
34.986,6011.121
35.931,5868.223
36.877,6072.184
37.822,6046.213
38.768,5566.719
39.714,5275.312
40.659,5284.378
41.605,6264.467
42.550,6209.812
43.496,6098.832
44.441,6179.651
45.387,6382.937
46.333,6306.952
47.278,6135.653
48.224,6210.688
49.169,6278.160
50.115,6163.456
51.060,6198.470
52.006,6170.154
52.951,5994.687
53.897,5879.338
54.843,5970.052
55.788,6068.122
56.734,6038.654
57.679,6168.391
58.625,5823.903
59.570,5980.222
60.516,5980.176
61.462,6035.426
62.407,6042.762
63.353,5888.974
64.298,5813.213
65.244,6034.874
66.189,5953.054
67.135,6002.538
68.080,5764.391
69.026,5863.305
69.972,6021.455
70.917,5738.122
71.863,6058.066
72.808,5707.400
73.754,6013.845
74.699,6006.482
75.645,5842.362
76.590,6097.911
77.536,6085.315
78.482,5984.208
79.427,5982.301
80.373,5766.128
81.318,5904.959
82.264,5916.123
83.209,5650.727
84.155,6015.669
85.101,6103.972
86.046,5833.537
86.992,5995.527
87.937,6248.840
88.883,5947.923
89.828,6044.162
90.774,6106.557
91.719,6120.601
92.665,5872.716
93.611,6041.009
94.556,6091.239
95.502,5877.412
96.447,6164.226
97.393,5907.683
98.338,5794.810
99.284,5993.380
100.230,5980.953
101.175,5615.105
102.121,5461.897
103.066,6053.152
104.012,5949.843
104.957,5889.581
105.903,5956.475
106.848,5559.762
107.794,5265.902
108.740,5376.386
109.685,6282.634
110.631,6119.683
111.576,6978.789
112.522,6080.888
113.467,5926.176
114.413,6038.210
115.359,5966.590
116.304,5973.742
117.250,5850.429
118.195,6028.052
119.141,5797.673
120.086,6031.406
121.032,6052.258
121.977,5956.718
122.923,5963.431
123.869,5998.370
124.814,5915.605
125.760,5860.272
126.705,5953.470
127.651,5978.473
128.596,5988.850
129.542,5604.693
130.488,5707.400
131.433,5882.922
132.379,5693.013
133.324,5814.790
134.270,6007.596
135.215,5907.531
136.161,5850.971
137.106,5879.756
138.052,5666.164
138.998,5845.473
139.943,5831.288
140.889,5911.904
141.834,5911.465
142.780,5871.649
143.725,5735.455
144.671,5579.566
145.616,5719.602
146.562,5776.023
147.508,5956.638
148.453,6041.701
149.399,5864.008
150.344,5926.447
151.290,5596.619
152.235,5698.269
153.181,5460.276
154.127,5864.656
155.072,5928.086
156.018,5819.277
156.963,5938.601
157.909,6003.060
158.854,5855.874
159.800,5594.740
160.745,5763.176
161.691,5900.226
162.637,5835.812
163.582,5643.780
164.528,5886.519
165.473,5941.205
166.419,5919.435
167.364,5896.305
168.310,5881.886
169.256,5623.492
170.201,5960.581
171.147,5899.269
172.092,5750.115
173.038,5906.587
173.983,6043.436
174.929,5880.233
175.874,5977.309
176.820,6041.161
177.766,5698.287
178.711,5782.581
179.657,5802.400
180.602,5711.580
181.548,5523.160
182.493,5812.443
183.439,5947.528
184.385,5664.901
185.330,5705.293
186.276,5883.454
187.221,5057.109
188.167,5319.988
189.112,6041.030
190.058,6068.194
191.003,6817.210
191.949,6646.452
192.895,6695.638
193.840,6491.844
194.786,6347.925
195.731,6333.846
196.677,6346.859
197.622,6225.750
198.568,6249.825
199.513,6489.713
200.459,6468.879
201.405,6323.153
202.350,6198.619
203.296,6305.664
204.241,6200.661
205.187,6185.683
206.132,6042.074
207.078,6127.835
208.024,6072.550
208.969,5699.032
209.915,5774.890
210.860,6163.364
211.806,5974.406
212.751,6153.848
213.697,6009.981
214.642,6049.291
215.588,5927.879
216.534,5928.332
217.479,6045.232
218.425,5600.533
219.370,5917.948
220.316,6167.222
221.261,5986.790
