[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,X,Y,X,Y
0,12248.464,0,15040.208,0,18294.596,0,11820.716,0,20748.404,0,15185.361
0.946,12219.347,0.945,15042.754,0.946,18341.629,0.945,11794.858,0.946,21228.758,0.946,15160.247
1.891,12234.821,1.89,15038.148,1.891,18336.49,1.89,11797.285,1.891,21107.145,1.891,15261.5
2.837,12192.461,2.836,15021.333,2.837,18284.594,2.835,11802.243,2.837,20985.395,2.837,15362.708
3.782,12189.556,3.781,15042.752,3.782,18307.24,3.78,11774.255,3.782,20937.914,3.782,15414.628
4.728,12181.915,4.726,15041.516,4.728,18275.531,4.725,11756.719,4.728,21028.658,4.728,15213.945
5.673,12153.644,5.671,15048.037,5.673,18250.297,5.671,11804.17,5.673,21339.711,5.673,15264.189
6.619,12176.264,6.616,15059.124,6.619,18368.279,6.616,11768.016,6.619,20861.514,6.619,15381.828
7.564,12171.906,7.561,15067.124,7.564,18271.723,7.561,11771.584,7.564,20911.449,7.564,15409.72
8.51,12113.069,8.507,15065.573,8.51,18258.66,8.506,11799.68,8.51,20971.604,8.51,15297.085
9.456,12132.798,9.452,15056.461,9.456,18203.711,9.451,11820.745,9.456,21097.107,9.456,15396.525
10.401,12134.091,10.397,15056.529,10.401,18245.219,10.396,11806.853,10.401,21059.121,10.401,15354.956
11.347,12150.841,11.342,15068.896,11.347,18223.316,11.341,11792.881,11.347,20868.02,11.347,15521.551
12.292,12123.361,12.287,15029.506,12.292,18129.992,12.286,11791.572,12.292,20961.887,12.292,15613.891
13.238,12104.457,13.232,15070.231,13.238,18261.02,13.231,11828.851,13.238,21073.473,13.238,15507.007
14.183,12090.473,14.178,15072.942,14.183,18232.375,14.176,11809.644,14.183,20662.998,14.183,15362.852
15.129,12118.381,15.123,15068.156,15.129,18171.092,15.122,11821.092,15.129,21018.525,15.129,15302.773
16.075,12115.854,16.068,15050.801,16.075,18207.088,16.067,11808.109,16.075,20720.662,16.075,15460.008
17.02,12105.583,17.013,15084.295,17.02,18220.564,17.012,11815.007,17.02,21091.443,17.02,15510.961
17.966,12116.831,17.958,15057.364,17.966,18176.93,17.957,11787.662,17.966,20895.816,17.966,15703.026
18.911,12083.545,18.903,15082.924,18.911,18193.738,18.902,11772.428,18.911,21019.596,18.911,15425.704
19.857,12113.476,19.849,15070.232,19.857,18162.396,19.847,11760.325,19.857,20998.064,19.857,15400.704
20.802,12114.349,20.794,15061.138,20.802,18234.219,20.792,11770.886,20.802,20921.15,20.802,15480.323
21.748,12080.072,21.739,15058.526,21.748,18186.266,21.737,11752.074,21.748,20818.006,21.748,15553.707
22.693,12076.051,22.684,15046.454,22.693,18247.668,22.682,11751.106,22.693,20764.877,22.693,15447.623
23.639,12095.149,23.629,15058.034,23.639,18169.893,23.627,11772.88,23.639,20962.846,23.639,15566.498
24.585,12075.586,24.574,15029.32,24.585,18184.834,24.572,11764.509,24.585,20658.387,24.585,15488.932
25.53,12053.041,25.52,15052.279,25.53,18205.592,25.518,11752.351,25.53,20730.816,25.53,15486.41
26.476,12047.008,26.465,15033.382,26.476,18162.867,26.463,11758.673,26.476,20684.365,26.476,15312.399
27.421,12097.592,27.41,15056.667,27.421,18161.834,27.408,11769.411,27.421,20822.834,27.421,15428.247
28.367,12075.109,28.355,15086.886,28.367,18168.992,28.353,11773.064,28.367,20539.521,28.367,15540.022
29.312,12055.938,29.3,15050.778,29.312,18181.365,29.298,11783.875,29.312,20775.289,29.312,15570.702
30.258,12063.947,30.245,15056.49,30.258,18258.643,30.243,11765.649,30.258,20523.156,30.258,15566.897
31.204,12051.497,31.191,15090.862,31.204,18235.24,31.188,11761.511,31.204,20778.869,31.204,15520.801
32.149,12034.377,32.136,15077.051,32.149,18150.346,32.133,11754.951,32.149,20604.936,32.149,15598.256
33.095,12089.773,33.081,15035.049,33.095,18172.586,33.078,11746.247,33.095,20886.525,33.095,15450.568
34.04,12046.878,34.026,15067.471,34.04,18129.303,34.023,11761.212,34.04,20609.09,34.04,15804.68
34.986,12026.616,34.971,15058.508,34.986,18127.488,34.969,11752.729,34.986,21108.232,34.986,15569.812
35.931,12019.475,35.916,15055.925,35.931,18154.008,35.914,11743.397,35.931,20883.115,35.931,15575.168
36.877,12045.097,36.862,15077.954,36.877,18191.426,36.859,11788.141,36.877,20464.934,36.877,15606.286
37.822,11993.978,37.807,15050.04,37.822,18151.488,37.804,11757.543,37.822,20476.611,37.822,15606.29
38.768,12014.656,38.752,15032.123,38.768,18157.453,38.749,11745.467,38.768,20711.982,38.768,15600.63
39.714,12020.891,39.697,15041.044,39.714,18145.936,39.694,11757.895,39.714,20468.977,39.714,15753.176
40.659,11971.444,40.642,15078.424,40.659,18160.459,40.639,11750.053,40.659,20521.703,40.659,15590.332
41.605,11998.098,41.587,15042.71,41.605,18126.896,41.584,11756.623,41.605,20733.137,41.605,15475.191
42.55,11984.162,42.533,15062.293,42.55,18185.262,42.529,11712.484,42.55,20561.682,42.55,15474.207
43.496,12000.267,43.478,15028.864,43.496,18157.041,43.474,11723.896,43.496,20397.826,43.496,15631.021
44.441,11990.255,44.423,15075.057,44.441,18130.422,44.419,11761.298,44.441,20551.236,44.441,15492.051
45.387,11976.421,45.368,15037.801,45.387,18111.537,45.365,11737.808,45.387,20558.598,45.387,15440.82
46.333,11962.709,46.313,15050.74,46.333,18112.07,46.31,11742.517,46.333,20532.521,46.333,15554.337
47.278,11949.093,47.259,15033.909,47.278,18125.926,47.255,11746.818,47.278,20404.002,47.278,15448.801
48.224,11926.551,48.204,15031.881,48.224,18109.18,48.2,11752.315,48.224,20454.773,48.224,15672.076
49.169,11947.562,49.149,15048.735,49.169,18169.248,49.145,11732.549,49.169,20548.795,49.169,15477.493
50.115,12004.364,50.094,15057.248,50.115,18166.641,50.09,11727.178,50.115,20364.734,50.115,15627.146
51.06,11938.259,51.039,15036.808,51.06,18084.398,51.035,11726.609,51.06,20522.193,51.06,15525.589
52.006,11970.2,51.984,15031.174,52.006,18161.17,51.98,11740.785,52.006,20442.953,52.006,15519.677
52.951,11967.807,52.93,15070.898,52.951,18147.582,52.925,11722.611,52.951,20545.617,52.951,15591.824
53.897,11992.165,53.875,15042.151,53.897,18138.531,53.87,11744.149,53.897,20494.861,53.897,15570.143
54.843,11947.873,54.82,15073.971,54.843,18160.619,54.816,11691.65,54.843,20536.773,54.843,15485.372
55.788,11974.281,55.765,15055.107,55.788,18144.506,55.761,11709.231,55.788,20250.234,55.788,15590.307
56.734,11928.76,56.71,15043.161,56.734,18142.785,56.706,11709.063,56.734,20339.064,56.734,15490.057
57.679,11908.742,57.655,15020.506,57.679,18137.125,57.651,11702.32,57.679,20548.041,57.679,15642.126
58.625,11889.594,58.601,15010.214,58.625,18184.264,58.596,11698.711,58.625,20396.51,58.625,15357.445
59.57,11920.605,59.546,15036.853,59.57,18204.564,59.541,11702.719,59.57,20319.682,59.57,15542.82
60.516,11938.753,60.491,15022.116,60.516,18134.82,60.486,11684.975,60.516,20152.086,60.516,15359.975
61.462,11896.347,61.436,15031.477,61.462,18096.762,61.431,11708.228,61.462,20279.953,61.462,15425.594
62.407,11927.146,62.381,15014.568,62.407,18100.031,62.376,11665.963,62.407,20253.869,62.407,15462.59
