[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
0,6.84211,0,6.682,0,7.83902,0,16.8463,0,6.07857
0.16,6.79352,0.16,6.6,0.16,7.91667,0.16,16.81852,0.16,6.05357
0.319,6.90688,0.319,6.514,0.319,7.88258,0.319,16.93518,0.319,5.97143
0.479,6.97166,0.479,6.56,0.479,7.80114,0.479,16.86111,0.479,6.03036
0.639,7.09717,0.639,6.584,0.639,7.8125,0.639,16.81296,0.639,6.03393
0.799,6.93522,0.799,6.638,0.799,7.98674,0.799,16.74444,0.799,6.07321
0.958,6.7166,0.958,6.512,0.958,7.82008,0.958,16.68148,0.958,6.07321
1.118,6.92308,1.118,6.582,1.118,7.77841,1.118,16.69815,1.118,6.01607
1.278,6.93522,1.278,6.596,1.278,7.68939,1.278,16.81296,1.278,6.05
1.438,7.03239,1.438,6.554,1.438,7.79735,1.438,16.84444,1.438,6.00536
1.597,6.94332,1.597,6.508,1.597,7.67235,1.597,16.68518,1.597,5.88929
1.757,6.92713,1.757,6.438,1.757,7.7197,1.757,16.57593,1.757,5.97143
1.917,7.06478,1.917,6.604,1.917,7.75,1.917,16.84444,1.917,5.98214
2.077,6.89474,2.077,6.618,2.077,7.82386,2.077,16.82778,2.077,6.075
2.236,7.16599,2.236,6.646,2.236,7.79545,2.236,16.8,2.236,5.95536
2.396,6.97976,2.396,6.528,2.396,7.83523,2.396,16.71852,2.396,5.89821
2.556,6.98381,2.556,6.62,2.556,7.69318,2.556,16.68704,2.556,5.96786
2.716,6.9919,2.716,6.488,2.716,7.85985,2.716,16.73148,2.716,5.97143
2.875,7.04049,2.875,6.558,2.875,7.70455,2.875,16.75,2.875,6.05893
3.035,6.96761,3.035,6.474,3.035,7.76894,3.035,16.74444,3.035,6.01964
3.195,6.78543,3.195,6.474,3.195,7.69318,3.195,16.78889,3.195,5.89464
3.355,7.04858,3.355,6.544,3.355,7.70833,3.355,16.67778,3.355,5.9875
3.514,6.86235,3.514,6.56,3.514,7.7178,3.514,16.75556,3.514,6.04643
3.674,6.97166,3.674,6.522,3.674,7.66667,3.674,16.57593,3.674,5.94107
3.834,7.07692,3.834,6.592,3.834,7.61174,3.834,16.6463,3.834,5.89821
3.994,6.91903,3.994,6.504,3.994,7.64962,3.994,16.73704,3.994,5.89643
4.153,6.82996,4.153,6.476,4.153,7.70455,4.153,16.62593,4.153,5.83929
4.313,6.8583,4.313,6.53,4.313,7.63258,4.313,16.59259,4.313,5.8375
4.473,6.82591,4.473,6.572,4.473,7.62879,4.473,16.64259,4.473,5.93393
4.633,6.94737,4.633,6.492,4.633,7.68939,4.633,16.72593,4.633,5.79821
4.792,6.87854,4.792,6.512,4.792,7.79545,4.792,16.74444,4.792,5.94821
4.952,6.76923,4.952,6.646,4.952,7.69508,4.952,16.66296,4.952,5.88571
5.112,6.87449,5.112,6.464,5.112,7.77462,5.112,16.61852,5.112,5.92857
5.272,6.89879,5.272,6.518,5.272,7.57197,5.272,16.61481,5.272,5.94107
5.431,6.9919,5.431,6.486,5.431,7.63826,5.431,16.63889,5.431,5.93929
5.591,6.90688,5.591,6.578,5.591,7.80492,5.591,16.60185,5.591,5.94464
5.751,6.79352,5.751,6.46,5.751,7.625,5.751,16.75556,5.751,5.95357
5.911,6.87854,5.911,6.512,5.911,7.68939,5.911,16.7463,5.911,5.90179
6.07,6.90283,6.07,6.504,6.07,7.70265,6.07,16.7463,6.07,6.00357
6.23,6.95951,6.23,6.54,6.23,7.59848,6.23,16.71667,6.23,5.89821
6.39,7.06478,6.39,6.608,6.39,7.65152,6.39,16.67593,6.39,5.95893
6.55,7.02429,6.549,6.494,6.549,7.61553,6.549,16.64074,6.549,5.85
6.709,6.88259,6.709,6.47,6.709,7.59659,6.709,16.67963,6.709,6.02143
6.869,6.94332,6.869,6.5,6.869,7.56061,6.869,16.51667,6.869,5.86071
7.029,6.95951,7.029,6.576,7.029,7.72159,7.029,16.65926,7.029,5.98036
7.188,6.81377,7.188,6.484,7.188,7.78598,7.188,16.74074,7.188,5.84286
7.348,6.95547,7.348,6.558,7.348,7.55682,7.348,16.69074,7.348,5.83571
7.508,6.83401,7.508,6.516,7.508,7.61932,7.508,16.51667,7.508,5.88929
7.668,6.92713,7.668,6.458,7.668,7.68371,7.668,16.61481,7.668,5.90536
7.827,7.0081,7.827,6.344,7.827,7.61742,7.827,16.66852,7.827,5.93214
7.987,6.91093,7.987,6.508,7.987,7.75947,7.987,16.55,7.987,5.83036
8.147,6.86235,8.147,6.46,8.147,7.57576,8.147,16.52407,8.147,5.87679
8.307,6.98785,8.307,6.568,8.307,7.50189,8.307,16.49815,8.307,5.95714
8.466,6.95547,8.466,6.516,8.466,7.54356,8.466,16.7037,8.466,5.83036
8.626,6.92713,8.626,6.526,8.626,7.63068,8.626,16.64444,8.626,5.99464
8.786,6.96761,8.786,6.412,8.786,7.55682,8.786,16.67778,8.786,5.9625
8.946,6.79757,8.946,6.544,8.946,7.51705,8.946,16.71296,8.946,5.91786
9.105,6.8583,9.105,6.424,9.105,7.62689,9.105,16.55926,9.105,5.86786
9.265,6.99595,9.265,6.456,9.265,7.54356,9.265,16.57593,9.265,6.00893
9.425,6.89474,9.425,6.432,9.425,7.6572,9.425,16.61111,9.425,5.88393
9.585,6.82186,9.585,6.558,9.585,7.54735,9.585,16.70926,9.585,5.98214
