[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
0,16.73684,0,18.122,0,21.12311,0,18.82222,0,9.44286
0.16,16.66802,0.16,18.094,0.16,21.81818,0.16,18.92778,0.16,9.64286
0.319,16.90283,0.319,18.614,0.319,21.96402,0.319,19.35,0.319,9.71786
0.479,17.54656,0.479,18.986,0.479,22.64583,0.479,19.6037,0.479,9.71607
0.639,17.82591,0.639,19.732,0.639,22.875,0.639,20.1463,0.639,10.07143
0.799,17.81781,0.799,20.17,0.799,23.24242,0.799,20.40926,0.799,10.14643
0.958,18.08907,0.958,20.382,0.958,23.46402,0.958,20.79445,0.958,10.35714
1.118,18.23482,1.118,20.568,1.118,23.90909,1.118,20.87963,1.118,10.54107
1.278,18.34818,1.278,20.984,1.278,24.18371,1.278,21.29074,1.278,10.62857
1.438,18.48178,1.438,20.882,1.438,24.29545,1.438,21.05741,1.438,10.575
1.597,18.53846,1.597,21.232,1.597,24.56061,1.597,21.2537,1.597,10.74464
1.757,18.57085,1.757,21.126,1.757,24.55303,1.757,21.21482,1.757,10.6125
1.917,18.73279,1.917,21.168,1.917,24.82008,1.917,21.41481,1.917,10.74643
2.077,18.68016,2.077,21.188,2.077,24.5947,2.077,21.52407,2.077,10.8
2.236,18.80972,2.236,21.454,2.236,24.625,2.236,21.33704,2.236,10.77321
2.396,19.05668,2.396,21.356,2.396,24.46402,2.396,21.56482,2.396,10.6375
2.556,19.09717,2.556,21.308,2.556,24.53977,2.556,21.64259,2.556,10.80179
2.716,19.34008,2.716,21.31,2.716,24.68182,2.716,21.65185,2.716,10.91964
2.875,19.12551,2.875,21.612,2.875,24.77083,2.875,21.67407,2.875,11.00536
3.035,19.25506,3.035,21.736,3.035,24.73295,3.035,21.59074,3.035,10.86786
3.195,19.20648,3.195,21.462,3.195,24.8125,3.195,21.61667,3.195,10.81429
3.355,18.91903,3.355,21.418,3.355,24.62879,3.355,21.73148,3.355,10.89107
3.514,19.27126,3.514,21.744,3.514,24.49811,3.514,21.49074,3.514,10.85
3.674,19.33603,3.674,21.634,3.674,24.87689,3.674,21.39444,3.674,10.9875
3.834,19.46154,3.834,21.668,3.834,24.41667,3.834,21.64074,3.834,10.88214
3.994,19.42105,3.994,21.438,3.994,24.66667,3.994,21.6537,3.994,10.775
4.153,19.58704,4.153,21.648,4.153,24.61174,4.153,21.74074,4.153,10.84821
4.313,19.46964,4.313,21.544,4.313,24.63826,4.313,21.74444,4.313,10.86964
4.473,19.47368,4.473,21.692,4.473,24.57008,4.473,21.52037,4.473,10.81071
4.633,19.45344,4.633,21.378,4.633,24.86364,4.633,21.4037,4.633,10.74286
4.792,19.38057,4.792,21.362,4.792,24.76136,4.792,21.51111,4.792,10.72143
4.952,19.4332,4.952,21.53,4.952,24.77273,4.952,21.47963,4.952,10.80714
5.112,19.33198,5.112,21.606,5.112,24.60795,5.112,21.53518,5.112,10.93214
5.272,19.25101,5.272,21.63,5.272,24.60985,5.272,21.6963,5.272,10.80893
5.431,19.05263,5.431,21.454,5.431,24.66477,5.431,21.62778,5.431,10.88929
5.591,19.4332,5.591,21.368,5.591,24.54545,5.591,21.55185,5.591,10.98571
5.751,19.09717,5.751,21.522,5.751,24.43371,5.751,21.62222,5.751,10.8625
5.911,19.49798,5.911,21.616,5.911,24.53409,5.911,21.59074,5.911,10.91964
6.07,19.10122,6.07,21.654,6.07,24.70265,6.07,21.6537,6.07,10.94107
6.23,19.47773,6.23,21.472,6.23,24.59659,6.23,21.42037,6.23,10.76964
6.39,19.41296,6.39,21.712,6.39,24.54545,6.39,21.58333,6.39,10.9
6.55,19.08502,6.549,21.602,6.549,24.52841,6.549,21.62222,6.549,10.80179
6.709,19.37247,6.709,21.462,6.709,24.56061,6.709,21.52407,6.709,10.95179
6.869,19.01215,6.869,21.5,6.869,24.62879,6.869,21.63889,6.869,10.84821
7.029,19.40081,7.029,21.584,7.029,24.53788,7.029,21.57963,7.029,10.91607
